archivo,anio,observaciones
inViales_2014_2015.csv,2013,25
inViales_2014_2015.csv,2014,171237
inViales_2014_2015.csv,2015,184810
inViales_2016_2018.csv,2015,8
inViales_2016_2018.csv,2016,191007
inViales_2016_2018.csv,2017,226530
inViales_2016_2018.csv,2018,246563
inViales_2019_2021.csv,2018,16
inViales_2019_2021.csv,2019,229501
inViales_2019_2021.csv,2020,162676
inViales_2019_2021.csv,2021,198434
inViales_2022_2023.csv,2021,73
inViales_2022_2023.csv,2022,234938
inViales_2022_2023.csv,2023,128361
inViales_2022_2024.csv,2021,73
inViales_2022_2024.csv,2022,234938
inViales_2022_2024.csv,2023,233325
inViales_2022_2024.csv,2024,35925
