archivo,variable
inViales_2014_2015.csv,folio
inViales_2014_2015.csv,fecha_creacion
inViales_2014_2015.csv,hora_creacion
inViales_2014_2015.csv,dia_semana
inViales_2014_2015.csv,fecha_cierre
inViales_2014_2015.csv,hora_cierre
inViales_2014_2015.csv,tipo_incidente_c4
inViales_2014_2015.csv,incidente_c4
inViales_2014_2015.csv,alcaldia_inicio
inViales_2014_2015.csv,latitud
inViales_2014_2015.csv,longitud
inViales_2014_2015.csv,codigo_cierre
inViales_2014_2015.csv,clas_con_f_alarma
inViales_2014_2015.csv,tipo_entrada
inViales_2014_2015.csv,alcaldia_cierre
inViales_2014_2015.csv,colonia
inViales_2016_2018.csv,folio
inViales_2016_2018.csv,fecha_creacion
inViales_2016_2018.csv,hora_creacion
inViales_2016_2018.csv,dia_semana
inViales_2016_2018.csv,fecha_cierre
inViales_2016_2018.csv,hora_cierre
inViales_2016_2018.csv,tipo_incidente_c4
inViales_2016_2018.csv,incidente_c4
inViales_2016_2018.csv,alcaldia_inicio
inViales_2016_2018.csv,latitud
inViales_2016_2018.csv,longitud
inViales_2016_2018.csv,codigo_cierre
inViales_2016_2018.csv,clas_con_f_alarma
inViales_2016_2018.csv,tipo_entrada
inViales_2016_2018.csv,alcaldia_cierre
inViales_2016_2018.csv,colonia
inViales_2019_2021.csv,folio
inViales_2019_2021.csv,fecha_creacion
inViales_2019_2021.csv,hora_creacion
inViales_2019_2021.csv,dia_semana
inViales_2019_2021.csv,fecha_cierre
inViales_2019_2021.csv,hora_cierre
inViales_2019_2021.csv,tipo_incidente_c4
inViales_2019_2021.csv,incidente_c4
inViales_2019_2021.csv,alcaldia_inicio
inViales_2019_2021.csv,latitud
inViales_2019_2021.csv,longitud
inViales_2019_2021.csv,codigo_cierre
inViales_2019_2021.csv,clas_con_f_alarma
inViales_2019_2021.csv,tipo_entrada
inViales_2019_2021.csv,alcaldia_cierre
inViales_2019_2021.csv,colonia
inViales_2022_2023.csv,folio
inViales_2022_2023.csv,fecha_creacion
inViales_2022_2023.csv,hora_creacion
inViales_2022_2023.csv,dia_semana
inViales_2022_2023.csv,fecha_cierre
inViales_2022_2023.csv,hora_cierre
inViales_2022_2023.csv,tipo_incidente_c4
inViales_2022_2023.csv,incidente_c4
inViales_2022_2023.csv,alcaldia_inicio
inViales_2022_2023.csv,latitud
inViales_2022_2023.csv,longitud
inViales_2022_2023.csv,codigo_cierre
inViales_2022_2023.csv,clas_con_f_alarma
inViales_2022_2023.csv,tipo_entrada
inViales_2022_2023.csv,alcaldia_cierre
inViales_2022_2023.csv,colonia
inViales_2022_2024.csv,folio
inViales_2022_2024.csv,fecha_creacion
inViales_2022_2024.csv,hora_creacion
inViales_2022_2024.csv,dia_semana
inViales_2022_2024.csv,fecha_cierre
inViales_2022_2024.csv,hora_cierre
inViales_2022_2024.csv,tipo_incidente_c4
inViales_2022_2024.csv,incidente_c4
inViales_2022_2024.csv,alcaldia_inicio
inViales_2022_2024.csv,codigo_cierre
inViales_2022_2024.csv,clas_con_f_alarma
inViales_2022_2024.csv,tipo_entrada
inViales_2022_2024.csv,alcaldia_cierre
inViales_2022_2024.csv,alcaldia_catalogo
inViales_2022_2024.csv,colonia_catalogo
inViales_2022_2024.csv,longitud
inViales_2022_2024.csv,latitud
