archivo,variable,clase
inViales_2014_2015.csv,folio,character
inViales_2014_2015.csv,fecha_creacion,Date
inViales_2014_2015.csv,hora_creacion,hms/difftime
inViales_2014_2015.csv,dia_semana,character
inViales_2014_2015.csv,fecha_cierre,Date
inViales_2014_2015.csv,hora_cierre,hms/difftime
inViales_2014_2015.csv,tipo_incidente_c4,character
inViales_2014_2015.csv,incidente_c4,character
inViales_2014_2015.csv,alcaldia_inicio,character
inViales_2014_2015.csv,latitud,numeric
inViales_2014_2015.csv,longitud,numeric
inViales_2014_2015.csv,codigo_cierre,character
inViales_2014_2015.csv,clas_con_f_alarma,character
inViales_2014_2015.csv,tipo_entrada,character
inViales_2014_2015.csv,alcaldia_cierre,character
inViales_2014_2015.csv,colonia,character
inViales_2016_2018.csv,folio,character
inViales_2016_2018.csv,fecha_creacion,Date
inViales_2016_2018.csv,hora_creacion,hms/difftime
inViales_2016_2018.csv,dia_semana,character
inViales_2016_2018.csv,fecha_cierre,Date
inViales_2016_2018.csv,hora_cierre,hms/difftime
inViales_2016_2018.csv,tipo_incidente_c4,character
inViales_2016_2018.csv,incidente_c4,character
inViales_2016_2018.csv,alcaldia_inicio,character
inViales_2016_2018.csv,latitud,numeric
inViales_2016_2018.csv,longitud,numeric
inViales_2016_2018.csv,codigo_cierre,character
inViales_2016_2018.csv,clas_con_f_alarma,character
inViales_2016_2018.csv,tipo_entrada,character
inViales_2016_2018.csv,alcaldia_cierre,character
inViales_2016_2018.csv,colonia,character
inViales_2019_2021.csv,folio,character
inViales_2019_2021.csv,fecha_creacion,Date
inViales_2019_2021.csv,hora_creacion,hms/difftime
inViales_2019_2021.csv,dia_semana,character
inViales_2019_2021.csv,fecha_cierre,Date
inViales_2019_2021.csv,hora_cierre,hms/difftime
inViales_2019_2021.csv,tipo_incidente_c4,character
inViales_2019_2021.csv,incidente_c4,character
inViales_2019_2021.csv,alcaldia_inicio,character
inViales_2019_2021.csv,latitud,numeric
inViales_2019_2021.csv,longitud,numeric
inViales_2019_2021.csv,codigo_cierre,character
inViales_2019_2021.csv,clas_con_f_alarma,character
inViales_2019_2021.csv,tipo_entrada,character
inViales_2019_2021.csv,alcaldia_cierre,character
inViales_2019_2021.csv,colonia,character
inViales_2022_2023.csv,folio,character
inViales_2022_2023.csv,fecha_creacion,Date
inViales_2022_2023.csv,hora_creacion,hms/difftime
inViales_2022_2023.csv,dia_semana,character
inViales_2022_2023.csv,fecha_cierre,Date
inViales_2022_2023.csv,hora_cierre,hms/difftime
inViales_2022_2023.csv,tipo_incidente_c4,character
inViales_2022_2023.csv,incidente_c4,character
inViales_2022_2023.csv,alcaldia_inicio,character
inViales_2022_2023.csv,latitud,numeric
inViales_2022_2023.csv,longitud,numeric
inViales_2022_2023.csv,codigo_cierre,character
inViales_2022_2023.csv,clas_con_f_alarma,character
inViales_2022_2023.csv,tipo_entrada,character
inViales_2022_2023.csv,alcaldia_cierre,character
inViales_2022_2023.csv,colonia,character
inViales_2022_2024.csv,folio,character
inViales_2022_2024.csv,fecha_creacion,Date
inViales_2022_2024.csv,hora_creacion,hms/difftime
inViales_2022_2024.csv,dia_semana,character
inViales_2022_2024.csv,fecha_cierre,Date
inViales_2022_2024.csv,hora_cierre,hms/difftime
inViales_2022_2024.csv,tipo_incidente_c4,character
inViales_2022_2024.csv,incidente_c4,character
inViales_2022_2024.csv,alcaldia_inicio,character
inViales_2022_2024.csv,codigo_cierre,character
inViales_2022_2024.csv,clas_con_f_alarma,character
inViales_2022_2024.csv,tipo_entrada,character
inViales_2022_2024.csv,alcaldia_cierre,character
inViales_2022_2024.csv,alcaldia_catalogo,character
inViales_2022_2024.csv,colonia_catalogo,character
inViales_2022_2024.csv,longitud,numeric
inViales_2022_2024.csv,latitud,numeric
