archivo,variable,filas_muestra,valores_unicos,faltantes,duplicados_aprox
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,id,2000,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,no_folio,2000,1999,1,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,fecha_evento,2000,210,0,1790
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,ano_evento,2000,1,0,1999
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_evento,2000,6,0,1994
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,identidad,2000,7,0,1993
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,unidad_medica_de_apoyo,2000,68,0,1932
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,prioridad,2000,3,0,1997
nuevo_acumulado_hechos_de_transito_2023_12.csv,fecha_evento,2000,159,0,1841
nuevo_acumulado_hechos_de_transito_2023_12.csv,hora_evento,2000,1034,1,965
nuevo_acumulado_hechos_de_transito_2023_12.csv,tipo_evento,2000,6,0,1994
nuevo_acumulado_hechos_de_transito_2023_12.csv,folio,2000,1999,0,1
nuevo_acumulado_hechos_de_transito_2023_12.csv,unidad_a_cargo,2000,1162,0,838
nuevo_acumulado_hechos_de_transito_2023_12.csv,clasificacion_de_la_vialidad,2000,7,0,1993
nuevo_acumulado_hechos_de_transito_2023_12.csv,sentido_de_circulacion,2000,8,0,1992
nuevo_acumulado_hechos_de_transito_2023_12.csv,prioridad,2000,3,0,1997
nuevo_acumulado_hechos_de_transito_2023_12.csv,unidad_medica_de_apoyo,2000,197,0,1803
nuevo_acumulado_hechos_de_transito_2023_12.csv,matricula_unidad_medica,2000,0,2000,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,personas_fallecidas,2000,4,0,1996
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,fecha_evento,2000,143,0,1857
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,hora_evento,2000,947,0,1053
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,tipo_evento,2000,6,0,1994
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,folio,2000,1720,0,280
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,unidad_a_cargo,2000,1021,0,979
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,clasificacion_de_la_vialidad,2000,7,0,1993
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,sentido_de_circulacion,2000,8,0,1992
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,prioridad,2000,3,0,1997
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,fecha_evento,2000,151,0,1849
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,hora_evento,2000,1002,1,997
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,tipo_evento,2000,6,0,1994
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,folio,2000,1873,0,127
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,unidad_a_cargo,2000,1111,0,889
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,clasificacion_de_la_vialidad,2000,7,0,1993
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,sentido_de_circulacion,2000,8,0,1992
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,prioridad,2000,3,0,1997
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,fecha_evento,2000,149,0,1851
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,hora_evento,2000,995,1,1004
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,tipo_evento,2000,6,0,1994
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,folio,2000,1849,0,151
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,unidad_a_cargo,2000,1101,0,899
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,clasificacion_de_la_vialidad,2000,7,0,1993
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,sentido_de_circulacion,2000,8,0,1992
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,prioridad,2000,3,0,1997
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,fecha_evento,2000,37,0,1963
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,hora_evento,2000,766,4,1230
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,tipo_evento,2000,6,0,1994
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,folio,2000,190,0,1810
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,unidad_a_cargo,2000,0,2000,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,clasificacion_de_la_vialidad,2000,0,2000,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,sentido_de_circulacion,2000,0,2000,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,prioridad,2000,3,0,1997
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,unidad_medica_de_apoyo,2000,6,0,1994
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,matricula_unidad_medica,2000,0,2000,0
