tabla,anio,observaciones
hechos,2018,17028
hechos,2019,18014
hechos,2020,16440
hechos,2021,22860
hechos,2022,30704
hechos,2023,29033
personas_edad,2018,20296
personas_edad,2019,21084
personas_edad,2020,18810
personas_edad,2021,26654
personas_edad,2022,36779
personas_edad,2023,34454
personas_sexo,2018,18311
personas_sexo,2019,19238
personas_sexo,2020,17455
personas_sexo,2021,24461
personas_sexo,2022,33247
personas_sexo,2023,31332
personas_tipo,2020,17717
personas_tipo,2021,24783
personas_tipo,2022,33586
personas_tipo,2023,31709
vehiculos,2018,26945
vehiculos,2019,26975
vehiculos,2020,26152
vehiculos,2021,37069
vehiculos,2022,50189
vehiculos,2023,47749
