archivo,posicion,variable
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,1,id
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,2,no_folio
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,3,fecha_evento
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,4,ano_evento
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,5,mes
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,6,hora
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,7,condicion
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,8,tipo_de_evento
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,9,coordenada_x
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,10,coordenada_y
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,11,punto_1
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,12,punto_2
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,13,colonia
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,14,alcaldia
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,15,tipo_de_interseccion
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,16,tipo_de_vehiculo_1
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,17,tipo_de_vehiculo_2
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,18,tipo_de_vehiculo_3
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,19,tipo_de_vehiculo_4
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,20,marca_de_vehiculo_1
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,21,marca_de_vehiculo_2
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,22,marca_de_vehiculo_3
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,23,marca_de_vehiculo_4
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,24,lesiones
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,25,edad_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,26,edad_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,27,se_desconoce_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,28,se_desconoce_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,29,rango_de_edades_menores_de_1_ano_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,30,rango_de_edades_menores_de_1_ano_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,31,rango_edades_1_4_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,32,rango_edades_1_4_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,33,rango_edades_5_14_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,34,rango_edades_5_14_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,35,rango_edades_15_24_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,36,rango_edades_15_24_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,37,rango_edades_25_34_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,38,rango_edades_25_34_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,39,rango_edades_35_44_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,40,rango_edades_35_44_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,41,rango_edades_45_64_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,42,rango_edades_45_64_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,43,rango_edades_65_occiso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,44,rango_edades_65_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,45,total_occisos
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,46,occisos_femeninos
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,47,occisos_masculinos
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,48,occiso_se_desconoce
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,49,total_lesionados
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,50,lesionados_femeninos
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,51,lesionados_masculinos
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,52,lesionado_se_desconoce
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,53,identidad
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,54,unidad_medica_de_apoyo
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,55,lugar_del_deceso
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,56,trasladado_s_lesionado
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,57,hospital
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,58,dia
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,59,hora2
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,60,prioridad
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,61,observaciones
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,62,coordenada
nuevo_acumulado_hechos_de_transito_2023_12.csv,1,fecha_evento
nuevo_acumulado_hechos_de_transito_2023_12.csv,2,hora_evento
nuevo_acumulado_hechos_de_transito_2023_12.csv,3,tipo_evento
nuevo_acumulado_hechos_de_transito_2023_12.csv,4,fecha_captura
nuevo_acumulado_hechos_de_transito_2023_12.csv,5,folio
nuevo_acumulado_hechos_de_transito_2023_12.csv,6,latitud
nuevo_acumulado_hechos_de_transito_2023_12.csv,7,longitud
nuevo_acumulado_hechos_de_transito_2023_12.csv,8,punto_1
nuevo_acumulado_hechos_de_transito_2023_12.csv,9,punto_2
nuevo_acumulado_hechos_de_transito_2023_12.csv,10,colonia
nuevo_acumulado_hechos_de_transito_2023_12.csv,11,alcaldia
nuevo_acumulado_hechos_de_transito_2023_12.csv,12,zona_vial
nuevo_acumulado_hechos_de_transito_2023_12.csv,13,sector
nuevo_acumulado_hechos_de_transito_2023_12.csv,14,unidad_a_cargo
nuevo_acumulado_hechos_de_transito_2023_12.csv,15,tipo_de_interseccion
nuevo_acumulado_hechos_de_transito_2023_12.csv,16,interseccion_semaforizada
nuevo_acumulado_hechos_de_transito_2023_12.csv,17,clasificacion_de_la_vialidad
nuevo_acumulado_hechos_de_transito_2023_12.csv,18,sentido_de_circulacion
nuevo_acumulado_hechos_de_transito_2023_12.csv,19,dia
nuevo_acumulado_hechos_de_transito_2023_12.csv,20,prioridad
nuevo_acumulado_hechos_de_transito_2023_12.csv,21,origen
nuevo_acumulado_hechos_de_transito_2023_12.csv,22,unidad_medica_de_apoyo
nuevo_acumulado_hechos_de_transito_2023_12.csv,23,matricula_unidad_medica
nuevo_acumulado_hechos_de_transito_2023_12.csv,24,trasladado_lesionados
nuevo_acumulado_hechos_de_transito_2023_12.csv,25,personas_fallecidas
nuevo_acumulado_hechos_de_transito_2023_12.csv,26,personas_lesionadas
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,1,fecha_evento
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,2,hora_evento
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,3,tipo_evento
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,4,fecha_captura
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,5,folio
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,6,latitud
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,7,longitud
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,8,punto_1
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,9,punto_2
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,10,colonia
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,11,alcaldia
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,12,zona_vial
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,13,sector
