folio,n
SD,7288
617475,5
435043,3
436675,3
436728,3
437776,3
437795,3
439004,3
440647,3
442152,3
444638,3
444829,3
448798,3
452489,3
455948,3
458807,3
459625,3
460303,3
460725,3
461908,3
469284,3
472563,3
475492,3
479157,3
484563,3
493232,3
494045,3
494443,3
494569,3
497411,3
497888,3
498736,3
499533,3
499814,3
501478,3
505504,3
506934,3
508985,3
512032,3
512460,3
514282,3
517747,3
525594,3
531078,3
532374,3
537369,3
538057,3
539805,3
540587,3
541665,3
543821,3
544011,3
544124,3
544303,3
545660,3
546087,3
546197,3
546648,3
549182,3
551031,3
557119,3
559645,3
565304,3
566150,3
566525,3
566553,3
569832,3
574468,3
576263,3
579421,3
580200,3
585776,3
590173,3
592402,3
592414,3
593455,3
595731,3
598974,3
600817,3
602029,3
602174,3
604290,3
605767,3
620157,3
625955,3
628313,3
638199,3
638814,3
640220,3
644345,3
645671,3
649512,3
651347,3
651860,3
653202,3
657603,3
657709,3
666877,3
677494,3
680921,3
1097536,2
1136192,2
2404440,2
2411167,2
314955,2
316753,2
318025,2
324527,2
325980,2
327616,2
328860,2
331272,2
335173,2
335514,2
337089,2
337492,2
339782,2
341897,2
342287,2
342404,2
345337,2
346785,2
346838,2
348091,2
348107,2
350393,2
352646,2
353280,2
357762,2
357868,2
358608,2
360950,2
362096,2
363543,2
363595,2
365695,2
365926,2
365971,2
368084,2
372498,2
375539,2
375542,2
377076,2
377643,2
379473,2
380449,2
386285,2
386535,2
386570,2
387454,2
389077,2
391889,2
394781,2
395872,2
397657,2
398085,2
399075,2
400283,2
400305,2
404917,2
405817,2
406024,2
407118,2
409075,2
411164,2
412352,2
414071,2
414549,2
415189,2
415517,2
416424,2
417457,2
417576,2
418839,2
420200,2
420237,2
424277,2
424358,2
428660,2
429836,2
430042,2
430101,2
430159,2
431306,2
431399,2
432927,2
433874,2
525616,2
537330,2
569211,2
596779,2
657668,2
657676,2
663366,2
663400,2
946959,2
950084,2
991661,2
C5/200201/08997,2
C5/200204/02194,2
C5/200205/06468,2
C5/200205/07433,2
C5/200205/08294,2
C5/200211/00711,2
C5/200221/07575,2
C5/200223/04741,2
C5/200224/02510,2
C5/200225/05416,2
C5/200228/06927,2
C5/200304/04299,2
C5/200305/02512,2
C5/200307/03488,2
C5/200309/07802,2
C5/200722/01007,2
C5/200911/01158,2
C5/200927/08010,2
IZ/200214/06570,2
PM,2
SIN FOLIO,2
