archivo,variable,observaciones_muestra,faltantes,porcentaje_faltantes
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,id,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,no_folio,2000,1,0.05
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,fecha_evento,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,ano_evento,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,mes,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,hora,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,condicion,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_evento,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,coordenada_x,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,coordenada_y,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,punto_1,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,punto_2,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,colonia,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,alcaldia,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_interseccion,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_vehiculo_1,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_vehiculo_2,2000,1025,51.25
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_vehiculo_3,2000,1944,97.2
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_vehiculo_4,2000,1991,99.55
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,marca_de_vehiculo_1,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,marca_de_vehiculo_2,2000,1075,53.75
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,marca_de_vehiculo_3,2000,1946,97.3
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,marca_de_vehiculo_4,2000,1991,99.55
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lesiones,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,edad_occiso,2000,1943,97.15
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,edad_lesionado,2000,49,2.45
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,se_desconoce_occiso,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,se_desconoce_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_de_edades_menores_de_1_ano_occiso,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_de_edades_menores_de_1_ano_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_1_4_occiso,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_1_4_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_5_14_occiso,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_5_14_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_15_24_occiso,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_15_24_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_25_34_occiso,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_25_34_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_35_44_occiso,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_35_44_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_45_64_occiso,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_45_64_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_65_occiso,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_65_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,total_occisos,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,occisos_femeninos,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,occisos_masculinos,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,occiso_se_desconoce,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,total_lesionados,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lesionados_femeninos,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lesionados_masculinos,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lesionado_se_desconoce,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,identidad,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,unidad_medica_de_apoyo,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lugar_del_deceso,2000,1943,97.15
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,trasladado_s_lesionado,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,hospital,2000,1411,70.55
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,dia,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,hora2,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,prioridad,2000,0,0
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,observaciones,2000,1779,88.95
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,coordenada,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,fecha_evento,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,hora_evento,2000,1,0.05
nuevo_acumulado_hechos_de_transito_2023_12.csv,tipo_evento,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,fecha_captura,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,folio,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,latitud,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,longitud,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,punto_1,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,punto_2,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,colonia,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,alcaldia,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,zona_vial,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,sector,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,unidad_a_cargo,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,tipo_de_interseccion,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,interseccion_semaforizada,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,clasificacion_de_la_vialidad,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,sentido_de_circulacion,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,dia,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,prioridad,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,origen,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,unidad_medica_de_apoyo,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,matricula_unidad_medica,2000,2000,100
nuevo_acumulado_hechos_de_transito_2023_12.csv,trasladado_lesionados,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,personas_fallecidas,2000,0,0
nuevo_acumulado_hechos_de_transito_2023_12.csv,personas_lesionadas,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,fecha_evento,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,hora_evento,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,tipo_evento,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,fecha_captura,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,folio,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,latitud,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,longitud,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,punto_1,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,punto_2,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,colonia,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,alcaldia,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,zona_vial,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,sector,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,unidad_a_cargo,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,tipo_de_interseccion,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,interseccion_semaforizada,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,clasificacion_de_la_vialidad,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,sentido_de_circulacion,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,dia,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,prioridad,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,origen,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,condicion_persona,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,edad,2000,383,19.15
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,fecha_evento,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,hora_evento,2000,1,0.05
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,tipo_evento,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,fecha_captura,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,folio,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,latitud,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,longitud,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,punto_1,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,punto_2,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,colonia,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,alcaldia,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,zona_vial,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,sector,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,unidad_a_cargo,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,tipo_de_interseccion,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,interseccion_semaforizada,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,clasificacion_de_la_vialidad,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,sentido_de_circulacion,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,dia,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,prioridad,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,origen,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,sexo,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,condicion_persona,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,total,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,fecha_evento,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,hora_evento,2000,1,0.05
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,tipo_evento,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,fecha_captura,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,folio,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,latitud,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,longitud,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,punto_1,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,punto_2,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,colonia,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,alcaldia,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,zona_vial,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,sector,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,unidad_a_cargo,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,tipo_de_interseccion,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,interseccion_semaforizada,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,clasificacion_de_la_vialidad,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,sentido_de_circulacion,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,dia,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,prioridad,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,origen,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,tipo_persona,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,condicion_persona,2000,0,0
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,total,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,fecha_evento,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,hora_evento,2000,4,0.2
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,tipo_evento,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,fecha_captura,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,folio,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,latitud,2000,4,0.2
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,longitud,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,punto_1,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,punto_2,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,colonia,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,alcaldia,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,zona_vial,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,sector,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,unidad_a_cargo,2000,2000,100
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,tipo_de_interseccion,2000,0,0
