variable,numero_archivos,archivos
alcaldia,6,hechos-de-transito-reportados-por-ssc-base-comparativa.csv | nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
colonia,6,hechos-de-transito-reportados-por-ssc-base-comparativa.csv | nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
dia,6,hechos-de-transito-reportados-por-ssc-base-comparativa.csv | nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
fecha_evento,6,hechos-de-transito-reportados-por-ssc-base-comparativa.csv | nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
prioridad,6,hechos-de-transito-reportados-por-ssc-base-comparativa.csv | nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
punto_1,6,hechos-de-transito-reportados-por-ssc-base-comparativa.csv | nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
punto_2,6,hechos-de-transito-reportados-por-ssc-base-comparativa.csv | nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
tipo_de_interseccion,6,hechos-de-transito-reportados-por-ssc-base-comparativa.csv | nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
clasificacion_de_la_vialidad,5,nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
fecha_captura,5,nuevo_acumulado_hechos_de_transito_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv | nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv | nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
