archivo,variable,clase
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,id,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,no_folio,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,fecha_evento,Date
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,ano_evento,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,mes,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,hora,hms/difftime
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,condicion,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_evento,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,coordenada_x,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,coordenada_y,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,punto_1,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,punto_2,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,colonia,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,alcaldia,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_interseccion,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_vehiculo_1,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_vehiculo_2,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_vehiculo_3,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,tipo_de_vehiculo_4,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,marca_de_vehiculo_1,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,marca_de_vehiculo_2,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,marca_de_vehiculo_3,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,marca_de_vehiculo_4,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lesiones,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,edad_occiso,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,edad_lesionado,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,se_desconoce_occiso,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,se_desconoce_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_de_edades_menores_de_1_ano_occiso,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_de_edades_menores_de_1_ano_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_1_4_occiso,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_1_4_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_5_14_occiso,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_5_14_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_15_24_occiso,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_15_24_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_25_34_occiso,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_25_34_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_35_44_occiso,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_35_44_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_45_64_occiso,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_45_64_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_65_occiso,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,rango_edades_65_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,total_occisos,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,occisos_femeninos,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,occisos_masculinos,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,occiso_se_desconoce,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,total_lesionados,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lesionados_femeninos,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lesionados_masculinos,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lesionado_se_desconoce,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,identidad,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,unidad_medica_de_apoyo,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,lugar_del_deceso,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,trasladado_s_lesionado,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,hospital,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,dia,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,hora2,numeric
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,prioridad,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,observaciones,character
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,coordenada,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,fecha_evento,Date
nuevo_acumulado_hechos_de_transito_2023_12.csv,hora_evento,hms/difftime
nuevo_acumulado_hechos_de_transito_2023_12.csv,tipo_evento,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,fecha_captura,Date
nuevo_acumulado_hechos_de_transito_2023_12.csv,folio,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,latitud,numeric
nuevo_acumulado_hechos_de_transito_2023_12.csv,longitud,numeric
nuevo_acumulado_hechos_de_transito_2023_12.csv,punto_1,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,punto_2,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,colonia,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,alcaldia,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,zona_vial,numeric
nuevo_acumulado_hechos_de_transito_2023_12.csv,sector,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,unidad_a_cargo,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,tipo_de_interseccion,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,interseccion_semaforizada,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,clasificacion_de_la_vialidad,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,sentido_de_circulacion,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,dia,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,prioridad,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,origen,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,unidad_medica_de_apoyo,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,matricula_unidad_medica,logical
nuevo_acumulado_hechos_de_transito_2023_12.csv,trasladado_lesionados,character
nuevo_acumulado_hechos_de_transito_2023_12.csv,personas_fallecidas,numeric
nuevo_acumulado_hechos_de_transito_2023_12.csv,personas_lesionadas,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,fecha_evento,Date
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,hora_evento,hms/difftime
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,tipo_evento,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,fecha_captura,Date
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,folio,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,latitud,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,longitud,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,punto_1,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,punto_2,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,colonia,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,alcaldia,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,zona_vial,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,sector,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,unidad_a_cargo,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,tipo_de_interseccion,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,interseccion_semaforizada,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,clasificacion_de_la_vialidad,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,sentido_de_circulacion,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,dia,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,prioridad,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,origen,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,condicion_persona,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,edad,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,fecha_evento,Date
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,hora_evento,hms/difftime
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,tipo_evento,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,fecha_captura,Date
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,folio,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,latitud,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,longitud,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,punto_1,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,punto_2,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,colonia,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,alcaldia,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,zona_vial,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,sector,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,unidad_a_cargo,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,tipo_de_interseccion,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,interseccion_semaforizada,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,clasificacion_de_la_vialidad,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,sentido_de_circulacion,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,dia,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,prioridad,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,origen,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,sexo,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,condicion_persona,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,total,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,fecha_evento,Date
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,hora_evento,hms/difftime
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,tipo_evento,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,fecha_captura,Date
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,folio,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,latitud,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,longitud,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,punto_1,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,punto_2,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,colonia,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,alcaldia,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,zona_vial,numeric
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,sector,character
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,unidad_a_cargo,character
