articulo,fraccion,infracciones,porcentaje
9,I,6265962,51.83
9,II,2990418,24.74
10,VI,659486,5.46
11,II,439788,3.64
30,XXI,328980,2.72
11,X,320423,2.65
11,I,299367,2.48
33,II,180168,1.49
30,V,133096,1.1
30,I,72710,0.6
30,II,42570,0.35
30,XII,28402,0.23
30,XIX,28086,0.23
37,III,26456,0.22
45,I,22147,0.18
45,IV,21572,0.18
10,X,20998,0.17
44,I,20157,0.17
38,II,17395,0.14
8,I,15146,0.13
35,I,14748,0.12
37,II,12058,0.1
26,I,11602,0.1
30,IV,9924,0.08
34,VI,8451,0.07
21,II,6562,0.05
40,II,6532,0.05
30,VI,6196,0.05
11,III,5976,0.05
30,X,5541,0.05
26,II,5408,0.04
22,VIII,3501,0.03
8,VIII,3278,0.03
21,IV,3033,0.03
30,XIII,3032,0.03
11,VIII,2965,0.02
8,IV,2848,0.02
21,V,2722,0.02
51,I,2674,0.02
25,III,2593,0.02
30,XX,2485,0.02
50,NA,2320,0.02
44,II,1976,0.02
11,VII,1860,0.02
11,IV,1754,0.01
44,V,1510,0.01
34,I,1471,0.01
21,I,1418,0.01
22,IV,1382,0.01
21,III,1232,0.01
47,NA,1207,0.01
7,I,1201,0.01
43,III,1059,0.01
22,VI,1016,0.01
25,II,859,0.01
23,I,853,0.01
34,II,833,0.01
48,I,819,0.01
30,III,782,0.01
40,V,775,0.01
30,VII,746,0.01
43,VII,509,0
30,XVII,485,0
23,III,478,0
45,II,393,0
22,VII,314,0
30,VIII,313,0
30,XV,311,0
36,I,300,0
30,XI,242,0
8,V,223,0
30,IX,219,0
30,XVIII,201,0
9,III,183,0
35,II,175,0
46,NA,174,0
21,VI,169,0
34,IV,169,0
45,III,164,0
38,III,152,0
6,I,140,0
8,III,121,0
25,I,116,0
38,IV,116,0
39,NA,115,0
7,II,112,0
44,IV,103,0
33,I,97,0
20,I,94,0
10,V,89,0
21,VII,85,0
48,III,85,0
7,III,76,0
10,IV,73,0
22,I,66,0
33,NA,57,0
11,XI,56,0
22,V,53,0
29,I,52,0
8,IX,51,0
11,XIII,50,0
37,IV,50,0
8,II,49,0
28,I,46,0
30,XIV,45,0
11,XII,41,0
8,VI,41,0
10,III,38,0
38,V,38,0
28,II,37,0
11,VI,35,0
29,V,34,0
11,V,33,0
34,XI,33,0
45,NA,32,0
43,V,31,0
12,NA,28,0
22,III,28,0
10,XI,27,0
40,IV,26,0
20,II,23,0
24,I,23,0
10,VIII,20,0
27,I,20,0
30,XVI,20,0
8,VII,20,0
8,XIV,19,0
43,IV,18,0
13,II,17,0
34,V,16,0
36,II,15,0
37,V,14,0
6,III,14,0
22,II,13,0
24,II,13,0
40,III,13,0
13,V,12,0
27,II,12,0
29,II,12,0
43,II,12,0
17,I,11,0
20,III,11,0
34,VII,11,0
15,I,10,0
5,IX,10,0
44,III,9,0
10,VII,8,0
11,IX,8,0
13,I,8,0
23,II,8,0
41,I,8,0
8,X,8,0
8,XII,8,0
27,V,7,0
34,III,7,0
6,II,7,0
43,VI,6,0
6,V,6,0
23,IV,5,0
27,IV,5,0
36,III,5,0
38,VI,5,0
44,VI,5,0
12,I,4,0
29,IV,4,0
42,II,4,0
43,I,4,0
8,XI,4,0
10,I,3,0
10,IX,3,0
13,III,3,0
13,IV,3,0
22,IX,3,0
24,III,3,0
34,X,3,0
42,I,3,0
48,II,3,0
8,XIII,3,0
11,XIV,2,0
11,XV,2,0
13,VI,2,0
15,II,2,0
29,VI,2,0
34,IX,2,0
41,II,2,0
41,III,2,0
41,V,2,0
49,NA,2,0
6,IV,2,0
9,V,2,0
15,III,1,0
15,IV,1,0
17,II,1,0
29,III,1,0
33,VIII,1,0
41,IV,1,0
56,NA,1,0
