articulo,infracciones,porcentaje,porcentaje_acumulado
9,9256565,76.57,76.57
11,1072360,8.87,85.44
10,680745,5.63,91.07
30,664386,5.5,96.57
33,180323,1.49,98.06
45,44308,0.37,98.43
37,38578,0.32,98.75
44,23760,0.2,98.94
8,21819,0.18,99.12
38,17706,0.15,99.27
26,17010,0.14,99.41
21,15221,0.13,99.54
35,14923,0.12,99.66
34,10996,0.09,99.75
40,7346,0.06,99.81
22,6376,0.05,99.86
25,3568,0.03,99.89
51,2674,0.02,99.92
50,2320,0.02,99.94
43,1639,0.01,99.95
7,1389,0.01,99.96
23,1344,0.01,99.97
47,1207,0.01,99.98
48,907,0.01,99.99
36,320,0,99.99
46,174,0,99.99
6,169,0,99.99
20,128,0,100
39,115,0,100
29,105,0,100
28,83,0,100
13,45,0,100
27,44,0,100
24,39,0,100
12,32,0,100
41,15,0,100
15,14,0,100
17,12,0,100
5,10,0,100
42,7,0,100
49,2,0,100
56,1,0,100
