archivo,observaciones,fecha_min,fecha_max,fechas_invalidas,variable_id,ids_unicos,ids_duplicados,codigo_postal_no_na,porcentaje_cp,latitud_no_na,longitud_no_na,coordenadas_completas,porcentaje_coordenadas,alcaldia_no_na,porcentaje_alcaldia,colonia_no_na,porcentaje_colonia,articulo_no_na,porcentaje_articulo,anio_archivo,bimestre_archivo
infracciones_infracciones_transito_2020_b1.csv,771190,2020-01-01,2020-02-29,0,id_folio,771190,0,766365,99.37,760477,760477,760477,98.61,760078,98.56,760078,98.56,769622,99.8,2020,b1
infracciones_infracciones_transito_2020_b2.csv,313938,2020-03-01,2020-04-30,0,id_folio,313938,0,307079,97.82,303856,303856,303856,96.79,303737,96.75,303737,96.75,312989,99.7,2020,b2
infracciones_infracciones_transito_2020_b3.csv,30993,2020-05-01,2020-06-30,0,id_folio,30993,0,16138,52.07,19718,19718,19718,63.62,19709,63.59,19709,63.59,30945,99.85,2020,b3
infracciones_infracciones_transito_2020_b4.csv,414494,2020-07-01,2020-08-31,0,id_folio,414494,0,387810,93.56,390902,390902,390902,94.31,390889,94.31,390889,94.31,414427,99.98,2020,b4
infracciones_infracciones_transito_2020_b5.csv,885530,2020-09-01,2020-10-31,0,id_folio,885530,0,864625,97.64,865761,865761,865761,97.77,865746,97.77,865746,97.77,885418,99.99,2020,b5
infracciones_infracciones_transito_2020_b6.csv,964446,2020-11-01,2020-12-31,0,id_folio,964446,0,944497,97.93,942791,942791,942791,97.75,942776,97.75,942776,97.75,964214,99.98,2020,b6
infracciones_infracciones_transito_2021_b1.csv,788354,2021-01-02,2021-02-28,0,id_folio,788354,0,480146,60.9,747533,747533,747533,94.82,747533,94.82,747533,94.82,788350,100,2021,b1
infracciones_infracciones_transito_2021_b2.csv,306607,2021-03-01,2021-03-31,0,id_folio,306607,0,184485,60.17,273759,273759,273759,89.29,273759,89.29,273759,89.29,306604,100,2021,b2
infracciones_infracciones_transito_2021_b3.csv,623134,2021-05-01,2021-06-30,0,id_infraccion,623134,0,154970,24.87,0,0,0,0,622433,99.89,622433,99.89,623134,100,2021,b3
infracciones_infracciones_transito_2021_b4.csv,720717,2021-07-01,2021-08-31,0,id_infraccion,720717,0,187168,25.97,0,0,0,0,720697,100,720697,100,720717,100,2021,b4
infracciones_infracciones_transito_2021_b5.csv,629068,2021-09-01,2021-10-31,0,id_infraccion,629068,0,181348,28.83,0,0,0,0,629007,99.99,629007,99.99,629068,100,2021,b5
infracciones_infracciones_transito_2021_b6.csv,638408,2021-11-01,2021-12-31,0,id_infraccion,638408,0,168802,26.44,0,0,0,0,638346,99.99,638346,99.99,638408,100,2021,b6
infracciones_infracciones_transito_2022_b1.csv,445759,2022-01-01,2023-01-01,0,id_infraccion,445759,0,121700,27.3,0,0,0,0,445713,99.99,445713,99.99,445759,100,2022,b1
infracciones_infracciones_transito_2022_b2.csv,628622,2022-03-01,2022-04-30,0,id_infraccion,628622,0,161885,25.75,0,0,0,0,628620,100,628620,100,628622,100,2022,b2
infracciones_infracciones_transito_2022_b3.csv,787210,2022-05-01,2022-06-30,0,id_infraccion,787210,0,202755,25.76,0,0,0,0,787210,100,787210,100,787210,100,2022,b3
infracciones_infracciones_transito_2022_b4.csv,819940,2022-07-01,2022-08-31,0,id_infraccion,819940,0,219886,26.82,0,0,0,0,819940,100,819940,100,819940,100,2022,b4
infracciones_infracciones_transito_2022_b5.csv,615297,2022-09-01,2022-10-31,0,id_infraccion,615297,0,154100,25.04,0,0,0,0,615297,100,615297,100,615297,100,2022,b5
infracciones_infracciones_transito_2022_b6.csv,533660,2022-11-01,2022-12-31,0,id_infraccion,533660,0,123386,23.12,0,0,0,0,533660,100,533660,100,533660,100,2022,b6
infracciones_infracciones_transito_2023_b1.csv,635591,2023-01-01,2023-02-28,0,id_infraccion,635591,0,150596,23.69,0,0,0,0,635591,100,635591,100,635591,100,2023,b1
infracciones_infracciones_transito_2023_b2.csv,538810,2023-03-01,2023-04-30,0,id_infraccion,538810,0,118156,21.93,0,0,0,0,538810,100,538810,100,538810,100,2023,b2
