categoria,infracciones,porcentaje
Exceder límites de velocidad,5496077,72.16
Infringir normas generales de circulación,855265,11.23
Estacionar en lugares prohíbidos,527924,6.93
No respetar preferencias de paso,449162,5.9
Inmovilización de vehículo,150735,1.98
Documentación incompleta,34246,0.45
Incumplir con disposiciones de seguridad,23983,0.31
No tener licencia o permiso,16511,0.22
Violaciones de vehículos de carga,12916,0.17
Poner en riesgo la integridad de usuarios de la vía,11357,0.15
Violaciones de motocicletas,9803,0.13
Violar normas básicas de educación vial,8632,0.11
Abandono de vehículo en la vía pública,8317,0.11
Incumplir con el equipamiento para circular,3816,0.05
Violaciones de vehículos de transporte público,2585,0.03
Conducir bajo los efectos del alcohol,1516,0.02
Mal uso de la vía pública,1326,0.02
Otra,1267,0.02
Faltar a la sana convivencia entre usuarios de la vía,778,0.01
