mes,infracciones,archivos
2020-01-01,429327,1
2020-02-01,341863,1
2020-03-01,233406,1
2020-04-01,80532,1
2020-05-01,19911,1
2020-06-01,11082,1
2020-07-01,68053,1
2020-08-01,346441,1
2020-09-01,426605,1
2020-10-01,458925,1
2020-11-01,509816,1
2020-12-01,454630,1
2021-01-01,368810,1
2021-02-01,419544,1
2021-03-01,306607,1
2021-05-01,273356,1
2021-06-01,349778,1
2021-07-01,375983,1
2021-08-01,344734,1
2021-09-01,331490,1
2021-10-01,297578,1
2021-11-01,318361,1
2021-12-01,320047,1
2022-01-01,254623,1
2022-02-01,191080,1
2022-03-01,274202,1
2022-04-01,354420,1
2022-05-01,375545,1
2022-06-01,411665,1
2022-07-01,445886,1
2022-08-01,374054,1
2022-09-01,331336,1
2022-10-01,283961,1
2022-11-01,241884,1
2022-12-01,291776,1
2023-01-01,293451,2
2023-02-01,342196,1
2023-03-01,335382,1
2023-04-01,203428,1
