mes,infracciones,pct_articulo,pct_fraccion,pct_inciso,pct_parrafo,pct_motivacion,pct_categoria
2020-01-01,429327,99.83,99.81,100,100,100,0
2020-02-01,341863,99.75,99.73,100,100,100,0
2020-03-01,233406,99.69,99.65,100,100,100,0
2020-04-01,80532,99.72,99.47,100,100,100,0
2020-05-01,19911,99.93,96.6,100,100,100,0
2020-06-01,11082,99.68,97.88,100,100,100,0
2020-07-01,68053,99.96,99.92,100,100,100,0
2020-08-01,346441,99.99,99.99,100,100,100,0
2020-09-01,426605,99.99,99.99,100,100,100,0
2020-10-01,458925,99.98,99.98,100,100,100,0
2020-11-01,509816,99.96,99.96,100,100,100,0
2020-12-01,454630,99.99,99.99,100,100,100,0
2021-01-01,368810,100,100,100,100,100,0
2021-02-01,419544,100,99.95,100,100,100,0
2021-03-01,306607,100,99.82,100,100,99.99,0
2021-05-01,273356,100,99.67,100,100,0,100
2021-06-01,349778,100,99.98,100,100,0,100
2021-07-01,375983,100,99.99,100,100,0,100
2021-08-01,344734,100,99.99,100,100,0,100
2021-09-01,331490,100,99.99,100,100,0,100
2021-10-01,297578,100,99.98,100,100,0,100
2021-11-01,318361,100,99.99,100,100,0,100
2021-12-01,320047,100,99.98,100,100,0,100
2022-01-01,254623,100,99.98,100,100,0,100
2022-02-01,191080,100,99.98,100,100,0,100
2022-03-01,274202,100,99.99,100,100,0,100
2022-04-01,354420,100,99.99,100,100,0,100
2022-05-01,375545,100,99.99,100,100,0,100
2022-06-01,411665,100,100,100,100,0,100
2022-07-01,445886,100,99.99,100,100,0,100
2022-08-01,374054,100,100,100,100,0,100
2022-09-01,331336,100,99.99,100,100,0,100
2022-10-01,283961,100,99.99,100,100,0,100
2022-11-01,241884,100,99.99,100,100,0,100
2022-12-01,291776,100,99.99,100,100,0,100
2023-01-01,293451,100,99.99,100,100,0,100
2023-02-01,342196,100,99.99,100,100,0,100
2023-03-01,335382,100,99.98,100,100,0,100
2023-04-01,203428,100,99.98,100,100,0,100
