archivo,n_variables,id_estructura
infracciones_infracciones_transito_2020_b1.csv,21,1
infracciones_infracciones_transito_2020_b2.csv,21,1
infracciones_infracciones_transito_2020_b3.csv,21,1
infracciones_infracciones_transito_2020_b4.csv,21,1
infracciones_infracciones_transito_2020_b5.csv,21,1
infracciones_infracciones_transito_2020_b6.csv,21,1
infracciones_infracciones_transito_2021_b1.csv,21,1
infracciones_infracciones_transito_2021_b2.csv,21,1
infracciones_infracciones_transito_2021_b3.csv,22,2
infracciones_infracciones_transito_2021_b4.csv,22,2
infracciones_infracciones_transito_2021_b5.csv,22,2
infracciones_infracciones_transito_2021_b6.csv,22,2
infracciones_infracciones_transito_2022_b1.csv,22,2
infracciones_infracciones_transito_2022_b2.csv,22,2
infracciones_infracciones_transito_2022_b3.csv,22,2
infracciones_infracciones_transito_2022_b4.csv,22,2
infracciones_infracciones_transito_2022_b5.csv,22,2
infracciones_infracciones_transito_2022_b6.csv,22,2
infracciones_infracciones_transito_2023_b1.csv,22,2
infracciones_infracciones_transito_2023_b2.csv,22,2
