ruta,archivo,tamano_mb,anio,bimestre
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2020_b1.csv,infracciones_infracciones_transito_2020_b1.csv,414.9,2020,b1
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2020_b2.csv,infracciones_infracciones_transito_2020_b2.csv,167,2020,b2
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2020_b3.csv,infracciones_infracciones_transito_2020_b3.csv, 14.9,2020,b3
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2020_b4.csv,infracciones_infracciones_transito_2020_b4.csv,218.7,2020,b4
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2020_b5.csv,infracciones_infracciones_transito_2020_b5.csv,465.8,2020,b5
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2020_b6.csv,infracciones_infracciones_transito_2020_b6.csv,502.6,2020,b6
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2021_b1.csv,infracciones_infracciones_transito_2021_b1.csv,404.8,2021,b1
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2021_b2.csv,infracciones_infracciones_transito_2021_b2.csv,154.9,2021,b2
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2021_b3.csv,infracciones_infracciones_transito_2021_b3.csv,147,2021,b3
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2021_b4.csv,infracciones_infracciones_transito_2021_b4.csv,172,2021,b4
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2021_b5.csv,infracciones_infracciones_transito_2021_b5.csv,151.8,2021,b5
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2021_b6.csv,infracciones_infracciones_transito_2021_b6.csv,153.8,2021,b6
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2022_b1.csv,infracciones_infracciones_transito_2022_b1.csv,105.2,2022,b1
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2022_b2.csv,infracciones_infracciones_transito_2022_b2.csv,149.7,2022,b2
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2022_b3.csv,infracciones_infracciones_transito_2022_b3.csv,187.4,2022,b3
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2022_b4.csv,infracciones_infracciones_transito_2022_b4.csv,197.6,2022,b4
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2022_b5.csv,infracciones_infracciones_transito_2022_b5.csv,149.2,2022,b5
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2022_b6.csv,infracciones_infracciones_transito_2022_b6.csv,128.9,2022,b6
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2023_b1.csv,infracciones_infracciones_transito_2023_b1.csv,149.4,2023,b1
D:/maestría/tesis-maestria/data/raw/05_infracciones/generales/infracciones_infracciones_transito_2023_b2.csv,infracciones_infracciones_transito_2023_b2.csv,125.1,2023,b2
