motivacion,infracciones,porcentaje
"LOS CONDUCTORES DE VEHÍCULOS DEBERÁN RESPETAR LOS LÍMITES DE VELOCIDAD ESTABLECIDOS EN LA SEÑALIZACIÓN VIAL. A FALTA DE SEÑALAMIENTO RESTRICTIVO ESPECÍFICO, LOS LÍMITES DE VELOCIDAD SE ESTABLECERÁN DE ACUERDO A LO SIGUIENTE: EN LOS CARRILES CENTRALES DE LAS VÍAS DE ACCESO CONTROLADO LA VELOCIDAD MÁXIMA SERÁ DE 80 KILÓMETROS POR HORA;",2394570,53.5
"VEHICULO USO PARTICULAR - LOS CONDUCTORES DE VEHÍCULOS DEBERÁN RESPETAR LOS LÍMITES DE VELOCIDAD ESTABLECIDOS EN LA SEÑALIZACIÓN VIAL. A FALTA DE SEÑALAMIENTO RESTRICTIVO ESPECÍFICO, LOS LÍMITES DE VELOCIDAD SE ESTABLECERÁN DE ACUERDO A LO SIGUIENTE: EN VÍAS PRIMARIAS LA VELOCIDAD MÁXIMA SERÁ DE 50 KILÓMETROS POR HORA;",1365832,30.52
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: EN LAS INTERSECCIONES REGULADAS MEDIANTE SEMÁFOROS SE RESPETARÁN LAS SIGUIENTES REGLAS: CUANDO LA LUZ DEL SEMÁFORO ESTÉ EN ROJO, LOS CONDUCTORES DEBEN DETENER SU VEHÍCULO EN LA LÍNEA DE ¿ALTO¿, SIN INVADIR EL CRUCE PEATONAL O EL ÁREA DE ESPERA PARA BICICLETAS O MOTOCICLETAS; LOS CICLISTAS Y MOTOCICLISTAS DEBERÁN HACER USO DE SUS ÁREAS DE ESPERA CUANDO ÉSTAS EXISTAN;",221051,4.94
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: DETENER SU VEHÍCULO SOBRE UN ÁREA DE ESPERA PARA BICICLETAS O MOTOCICLETAS, A MENOS QUE SE TRATE DEL USUARIO PARA EL CUAL ESTÁ DESTINADO;",102386,2.29
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: DETENER SU VEHÍCULO INVADIENDO LOS CRUCES PEATONALES MARCADOS EN EL PAVIMENTO, ASÍ COMO DENTRO DE LA INTERSECCIÓN DE VÍAS;",57098,1.28
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: CUANDO SE ESTACIONEN VEHÍCULOS EN LUGARES AUTORIZADOS PARA TAL FIN, Y NO SE CUBRA LA CUOTA DETERMINADA POR SU USO, ADEMÁS DE LO DISPUESTO EN LA FRACCIÓN II DEL ARTÍCULO 33, SE IMPONDRÁ LA MULTA SEÑALADA EN ESTE ARTÍCULO.",49213,1.1
SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: EN LAS VÍAS CON CARRILES EXCLUSIVOS DE TRANSPORTE PÚBLICO: CIRCULAR SOBRE LOS CARRILES EXCLUSIVOS PARA EL TRANSPORTE PÚBLICO EN EL SENTIDO DE LA VÍA O EN CONTRAFLUJO. LOS VEHÍCULOS QUE CUENTEN CON LA AUTORIZACIÓN RESPECTIVA PARA UTILIZAR ESTOS CARRILES DEBERÁN CONDUCIR CON LOS FAROS DELANTEROS ENCENDIDOS Y CONTAR CON UNA SEÑAL LUMINOSA DE COLOR ÁMBAR;,43528,0.97
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN DONDE EXISTA SEÑALAMIENTO RESTRICTIVO, O LA GUARNICIÓN DE LA ACERA O LAS MARCAS DE PAVIMENTO SEAN DE COLOR AMARILLO, QUE INDICA EL ÁREA DONDE ESTÁ PROHIBIDO EL ESTACIONAMIENTO.",35686,0.8
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: SOBRE VÍAS PEATONALES, ESPECIALMENTE BANQUETAS Y CRUCES PEATONALES, ASÍ COMO VÍAS CICLISTAS EXCLUSIVAS, PARA ELLO ES SUFICIENTE QUE CUALQUIER PARTE DEL VEHÍCULO SE ENCUENTRE SOBRE ESTOS ESPACIOS;",15654,0.35
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN LAS VÍAS PRIMARIAS;,12931,0.29
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA,  LOS VEHÍCULOS CON PLACAS FORÁNEAS QUE SE ENCUENTREN ESTACIONADOS EN ZONAS EN LAS QUE EXISTAN SISTEMAS DE COBRO POR ESTACIONAMIENTO EN VÍA PÚBLICA, EN LOS SIGUIENTES CASOS: NO SE HAYA CUBIERTO LA CUOTA DE ESTACIONAMIENTO EN EL MOMENTO DE LA REVISIÓN",11620,0.26
"SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN VÍAS CICLISTAS, COMO CICLOVÍAS Y CICLOCARRILES, CON EXCEPCIÓN DE LOS VEHÍCULOS NO MOTORIZADOS PARA LOS CUALES ESTÁN DESTINADOS ESTOS ESPACIOS",10490,0.23
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: LA VUELTA CONTINUA, A LA DERECHA Y A LA IZQUIERDA, ESTÁ PROHIBIDA, EXCEPTO CUANDO EXISTA UN SEÑALAMIENTO QUE EXPRESAMENTE LO PERMITA, EN CUYO CASO DEBERÁ CEDERSE EL PASO A LOS PEATONES QUE ESTÉN CRUZANDO Y A LOS VEHÍCULOS QUE TRANSITEN POR LA VÍA A LA QUE SE PRETENDE INCORPORAR;",10362,0.23
"LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: OBEDECER LAS INDICACIONES DE LOS AGENTES, PERSONAL DE APOYO VIAL, PROMOTORES VOLUNTARIOS, ASÍ COMO RESPETAR LA SEÑALIZACIÓN VIAL DE ACUERDO A LO ESTIPULADO EN EL ANEXO DE LOS DISPOSITIVOS PARA EL CONTROL DEL TRÁNSITO DEL PRESENTE REGLAMENTO",8886,0.2
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA,  LOS VEHÍCULOS CON PLACAS FORÁNEAS QUE SE ENCUENTREN ESTACIONADOS EN ZONAS EN LAS QUE EXISTAN SISTEMAS DE COBRO POR ESTACIONAMIENTO EN VÍA PÚBLICA, EN LOS SIGUIENTES CASOS: EL VEHÍCULO ESTÉ ESTACIONADO FUERA DE UN CAJÓN Y/O ZONA MARCADA PARA EL ESTACIONAMIENTO, O ESTÉ INVADIENDO U OBSTRUYENDO OTRO CAJÓN O ACCESO A COCHERA, CON EXCEPCIÓN DE VEHÍCULOS QUE POR SUS DIMENSIONES REBASEN EL ESPACIO DEL CAJÓN MARCADO Y HAYAN CUBIERTO LA CUOTA DE ESTACIONAMIENTO POR LOS ESPACIOS UTILIZADOS;",8191,0.18
"EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: CERRAR U OBSTRUIR LA CIRCULACIÓN CON VEHÍCULOS, PLUMAS, REJAS O CUALQUIER OTRO OBJETO, A MENOS QUE SE CUENTE CON LA DEBIDA AUTORIZACIÓN PARA LA RESTRICCIÓN TEMPORAL DE LA CIRCULACIÓN DE VEHÍCULOS POR LA REALIZACIÓN DE ALGÚN EVENTO;",7940,0.18
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: EN LAS VÍAS CON CARRILES EXCLUSIVOS DE TRANSPORTE PÚBLICO: INTERFERIR LOS CARRILES EXCLUSIVOS DE TRANSPORTE PÚBLICO AL DAR VUELTA A LA IZQUIERDA, DERECHA O EN ¿U¿, ASÍ COMO CAMBIAR DE CUERPO DE CIRCULACIÓN EN LA MISMA VÍA CUANDO EXISTAN SEÑALAMIENTOS RESTRICTIVOS QUE PROHÍBAN ESTOS MOVIMIENTOS.",6844,0.15
"ESTÁ PROHIBIDO ABANDONAR EN LA VÍA PÚBLICA UN VEHÍCULO O REMOLQUE QUE SE ENCUENTRE INSERVIBLE, DESTRUIDO O INUTILIZADO. SE ENTIENDE POR ESTADO DE ABANDONO, LOS VEHÍCULOS QUE: NO SEAN MOVIDOS POR MÁS DE 15 DÍAS, O ACUMULEN RESIDUOS QUE GENEREN UN FOCO DE INFECCIÓN, MALOS OLORES O FAUNA NOCIVA",6498,0.15
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA, LOS VEHÍCULOS CON PLACAS FORÁNEAS QUE SE ENCUENTREN ESTACIONADOS EN ZONAS EN LAS QUE EXISTAN SISTEMAS DE COBRO POR ESTACIONAMIENTO EN VÍA PÚBLICA, EN LOS SIGUIENTES CASOS: HAYA CONCLUIDO EL TIEMPO PAGADO",6449,0.14
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN: ASEGURARSE QUE TODOS LOS PASAJEROS UTILICEN CORRECTAMENTE EL CINTURÓN DE SEGURIDAD, ADEMÁS DE COLOCARSE EL PROPIO, EXCEPTO LOS OCUPANTES DE VEHÍCULOS DE EMERGENCIA. LOS TAXISTAS, NO ESTÁN OBLIGADOS A CUMPLIR CON ESTA DISPOSICIÓN, RESPECTO DE LOS PASAJEROS;",6183,0.14
