mes,Otras infracciones,Velocidad,total,pct_velocidad
2020-01-01,86254,343073,429327,79.91
2020-02-01,73783,268080,341863,78.42
2020-03-01,51178,182228,233406,78.07
2020-04-01,22974,57558,80532,71.47
2020-05-01,13089,6822,19911,34.26
2020-06-01,9772,1310,11082,11.82
2020-07-01,23948,44105,68053,64.81
2020-08-01,59283,287158,346441,82.89
2020-09-01,49510,377095,426605,88.39
2020-10-01,56042,402883,458925,87.79
2020-11-01,54558,455258,509816,89.3
2020-12-01,49575,405055,454630,89.1
2021-01-01,50049,318761,368810,86.43
2021-02-01,56824,362720,419544,86.46
2021-03-01,58225,248382,306607,81.01
2021-05-01,67769,205587,273356,75.21
2021-06-01,80915,268863,349778,76.87
2021-07-01,86205,289778,375983,77.07
2021-08-01,81301,263433,344734,76.42
2021-09-01,82953,248537,331490,74.98
2021-10-01,81171,216407,297578,72.72
2021-11-01,79342,239019,318361,75.08
2021-12-01,65411,254636,320047,79.56
2022-01-01,68951,185672,254623,72.92
2022-02-01,66282,124798,191080,65.31
2022-03-01,88807,185395,274202,67.61
2022-04-01,62327,292093,354420,82.41
2022-05-01,77746,297799,375545,79.3
2022-06-01,117216,294449,411665,71.53
2022-07-01,114218,331668,445886,74.38
2022-08-01,121361,252693,374054,67.56
2022-09-01,94823,236513,331336,71.38
2022-10-01,86844,197117,283961,69.42
2022-11-01,75023,166861,241884,68.98
2022-12-01,87418,204358,291776,70.04
2023-01-01,105418,188033,293451,64.08
2023-02-01,147343,194853,342196,56.94
2023-03-01,110326,225056,335382,67.1
2023-04-01,70969,132459,203428,65.11
