variable,archivos_presente,porcentaje_archivos
alcaldia,20,100
articulo,20,100
codigo_postal,20,100
colonia,20,100
color,20,100
fecha_infraccion,20,100
fraccion,20,100
inciso,20,100
latitud,20,100
longitud,20,100
marca,20,100
parrafo,20,100
placa,20,100
ao_infraccion,12,60
categoria,12,60
en_la_calle,12,60
entre_calle,12,60
id_infraccion,12,60
marca_general,12,60
mes,12,60
submarca,12,60
y_calle,12,60
año_infraccion,8,40
calle,8,40
entre_calle_dos,8,40
entre_calle_uno,8,40
id_folio,8,40
mes_infraccion,8,40
modelo,8,40
motivacion,8,40
