mes,tipo_infraccion,infracciones
2020-01-01,Otras infracciones,86254
2020-01-01,Velocidad,343073
2020-02-01,Otras infracciones,73783
2020-02-01,Velocidad,268080
2020-03-01,Otras infracciones,51178
2020-03-01,Velocidad,182228
2020-04-01,Otras infracciones,22974
2020-04-01,Velocidad,57558
2020-05-01,Otras infracciones,13089
2020-05-01,Velocidad,6822
2020-06-01,Otras infracciones,9772
2020-06-01,Velocidad,1310
2020-07-01,Otras infracciones,23948
2020-07-01,Velocidad,44105
2020-08-01,Otras infracciones,59283
2020-08-01,Velocidad,287158
2020-09-01,Otras infracciones,49510
2020-09-01,Velocidad,377095
2020-10-01,Otras infracciones,56042
2020-10-01,Velocidad,402883
2020-11-01,Otras infracciones,54558
2020-11-01,Velocidad,455258
2020-12-01,Otras infracciones,49575
2020-12-01,Velocidad,405055
2021-01-01,Otras infracciones,50049
2021-01-01,Velocidad,318761
2021-02-01,Otras infracciones,56824
2021-02-01,Velocidad,362720
2021-03-01,Otras infracciones,58225
2021-03-01,Velocidad,248382
2021-05-01,Otras infracciones,67769
2021-05-01,Velocidad,205587
2021-06-01,Otras infracciones,80915
2021-06-01,Velocidad,268863
2021-07-01,Otras infracciones,86205
2021-07-01,Velocidad,289778
2021-08-01,Otras infracciones,81301
2021-08-01,Velocidad,263433
2021-09-01,Otras infracciones,82953
2021-09-01,Velocidad,248537
2021-10-01,Otras infracciones,81171
2021-10-01,Velocidad,216407
2021-11-01,Otras infracciones,79342
2021-11-01,Velocidad,239019
2021-12-01,Otras infracciones,65411
2021-12-01,Velocidad,254636
2022-01-01,Otras infracciones,68951
2022-01-01,Velocidad,185672
2022-02-01,Otras infracciones,66282
2022-02-01,Velocidad,124798
2022-03-01,Otras infracciones,88807
2022-03-01,Velocidad,185395
2022-04-01,Otras infracciones,62327
2022-04-01,Velocidad,292093
2022-05-01,Otras infracciones,77746
2022-05-01,Velocidad,297799
2022-06-01,Otras infracciones,117216
2022-06-01,Velocidad,294449
2022-07-01,Otras infracciones,114218
2022-07-01,Velocidad,331668
2022-08-01,Otras infracciones,121361
2022-08-01,Velocidad,252693
2022-09-01,Otras infracciones,94823
2022-09-01,Velocidad,236513
2022-10-01,Otras infracciones,86844
2022-10-01,Velocidad,197117
2022-11-01,Otras infracciones,75023
2022-11-01,Velocidad,166861
2022-12-01,Otras infracciones,87418
2022-12-01,Velocidad,204358
2023-01-01,Otras infracciones,105418
2023-01-01,Velocidad,188033
2023-02-01,Otras infracciones,147343
2023-02-01,Velocidad,194853
2023-03-01,Otras infracciones,110326
2023-03-01,Velocidad,225056
2023-04-01,Otras infracciones,70969
2023-04-01,Velocidad,132459
