archivo,variable,clase
infracciones_infracciones_transito_2020_b1.csv,id_folio,character
infracciones_infracciones_transito_2020_b1.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2020_b1.csv,año_infraccion,numeric
infracciones_infracciones_transito_2020_b1.csv,mes_infraccion,character
infracciones_infracciones_transito_2020_b1.csv,articulo,numeric
infracciones_infracciones_transito_2020_b1.csv,fraccion,character
infracciones_infracciones_transito_2020_b1.csv,inciso,character
infracciones_infracciones_transito_2020_b1.csv,parrafo,character
infracciones_infracciones_transito_2020_b1.csv,motivacion,character
infracciones_infracciones_transito_2020_b1.csv,placa,character
infracciones_infracciones_transito_2020_b1.csv,color,character
infracciones_infracciones_transito_2020_b1.csv,marca,character
infracciones_infracciones_transito_2020_b1.csv,modelo,character
infracciones_infracciones_transito_2020_b1.csv,calle,character
infracciones_infracciones_transito_2020_b1.csv,entre_calle_uno,character
infracciones_infracciones_transito_2020_b1.csv,entre_calle_dos,character
infracciones_infracciones_transito_2020_b1.csv,colonia,character
infracciones_infracciones_transito_2020_b1.csv,alcaldia,character
infracciones_infracciones_transito_2020_b1.csv,codigo_postal,numeric
infracciones_infracciones_transito_2020_b1.csv,longitud,numeric
infracciones_infracciones_transito_2020_b1.csv,latitud,numeric
infracciones_infracciones_transito_2020_b2.csv,id_folio,character
infracciones_infracciones_transito_2020_b2.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2020_b2.csv,año_infraccion,numeric
infracciones_infracciones_transito_2020_b2.csv,mes_infraccion,character
infracciones_infracciones_transito_2020_b2.csv,articulo,numeric
infracciones_infracciones_transito_2020_b2.csv,fraccion,character
infracciones_infracciones_transito_2020_b2.csv,inciso,character
infracciones_infracciones_transito_2020_b2.csv,parrafo,character
infracciones_infracciones_transito_2020_b2.csv,motivacion,character
infracciones_infracciones_transito_2020_b2.csv,placa,character
infracciones_infracciones_transito_2020_b2.csv,color,character
infracciones_infracciones_transito_2020_b2.csv,marca,character
infracciones_infracciones_transito_2020_b2.csv,modelo,character
infracciones_infracciones_transito_2020_b2.csv,calle,character
infracciones_infracciones_transito_2020_b2.csv,entre_calle_uno,character
infracciones_infracciones_transito_2020_b2.csv,entre_calle_dos,character
infracciones_infracciones_transito_2020_b2.csv,colonia,character
infracciones_infracciones_transito_2020_b2.csv,alcaldia,character
infracciones_infracciones_transito_2020_b2.csv,codigo_postal,numeric
infracciones_infracciones_transito_2020_b2.csv,longitud,numeric
infracciones_infracciones_transito_2020_b2.csv,latitud,numeric
infracciones_infracciones_transito_2020_b3.csv,id_folio,character
infracciones_infracciones_transito_2020_b3.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2020_b3.csv,año_infraccion,numeric
infracciones_infracciones_transito_2020_b3.csv,mes_infraccion,character
infracciones_infracciones_transito_2020_b3.csv,articulo,numeric
infracciones_infracciones_transito_2020_b3.csv,fraccion,character
infracciones_infracciones_transito_2020_b3.csv,inciso,character
infracciones_infracciones_transito_2020_b3.csv,parrafo,character
infracciones_infracciones_transito_2020_b3.csv,motivacion,character
infracciones_infracciones_transito_2020_b3.csv,placa,character
infracciones_infracciones_transito_2020_b3.csv,color,character
infracciones_infracciones_transito_2020_b3.csv,marca,character
infracciones_infracciones_transito_2020_b3.csv,modelo,character
infracciones_infracciones_transito_2020_b3.csv,calle,character
infracciones_infracciones_transito_2020_b3.csv,entre_calle_uno,character
infracciones_infracciones_transito_2020_b3.csv,entre_calle_dos,character
infracciones_infracciones_transito_2020_b3.csv,colonia,character
infracciones_infracciones_transito_2020_b3.csv,alcaldia,character
infracciones_infracciones_transito_2020_b3.csv,codigo_postal,numeric
infracciones_infracciones_transito_2020_b3.csv,longitud,numeric
infracciones_infracciones_transito_2020_b3.csv,latitud,numeric
infracciones_infracciones_transito_2020_b4.csv,id_folio,character
infracciones_infracciones_transito_2020_b4.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2020_b4.csv,año_infraccion,numeric
infracciones_infracciones_transito_2020_b4.csv,mes_infraccion,character
infracciones_infracciones_transito_2020_b4.csv,articulo,numeric
infracciones_infracciones_transito_2020_b4.csv,fraccion,character
infracciones_infracciones_transito_2020_b4.csv,inciso,character
infracciones_infracciones_transito_2020_b4.csv,parrafo,character
infracciones_infracciones_transito_2020_b4.csv,motivacion,character
infracciones_infracciones_transito_2020_b4.csv,placa,character
infracciones_infracciones_transito_2020_b4.csv,color,character
infracciones_infracciones_transito_2020_b4.csv,marca,character
infracciones_infracciones_transito_2020_b4.csv,modelo,character
infracciones_infracciones_transito_2020_b4.csv,calle,character
infracciones_infracciones_transito_2020_b4.csv,entre_calle_uno,character
infracciones_infracciones_transito_2020_b4.csv,entre_calle_dos,character
infracciones_infracciones_transito_2020_b4.csv,colonia,character
infracciones_infracciones_transito_2020_b4.csv,alcaldia,character
infracciones_infracciones_transito_2020_b4.csv,codigo_postal,numeric
infracciones_infracciones_transito_2020_b4.csv,longitud,numeric
infracciones_infracciones_transito_2020_b4.csv,latitud,numeric
infracciones_infracciones_transito_2020_b5.csv,id_folio,character
infracciones_infracciones_transito_2020_b5.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2020_b5.csv,año_infraccion,numeric
infracciones_infracciones_transito_2020_b5.csv,mes_infraccion,character
infracciones_infracciones_transito_2020_b5.csv,articulo,numeric
infracciones_infracciones_transito_2020_b5.csv,fraccion,character
infracciones_infracciones_transito_2020_b5.csv,inciso,character
infracciones_infracciones_transito_2020_b5.csv,parrafo,character
infracciones_infracciones_transito_2020_b5.csv,motivacion,character
infracciones_infracciones_transito_2020_b5.csv,placa,character
infracciones_infracciones_transito_2020_b5.csv,color,character
infracciones_infracciones_transito_2020_b5.csv,marca,character
infracciones_infracciones_transito_2020_b5.csv,modelo,character
infracciones_infracciones_transito_2020_b5.csv,calle,character
infracciones_infracciones_transito_2020_b5.csv,entre_calle_uno,character
infracciones_infracciones_transito_2020_b5.csv,entre_calle_dos,character
infracciones_infracciones_transito_2020_b5.csv,colonia,character
infracciones_infracciones_transito_2020_b5.csv,alcaldia,character
infracciones_infracciones_transito_2020_b5.csv,codigo_postal,numeric
infracciones_infracciones_transito_2020_b5.csv,longitud,numeric
infracciones_infracciones_transito_2020_b5.csv,latitud,numeric
infracciones_infracciones_transito_2020_b6.csv,id_folio,character
infracciones_infracciones_transito_2020_b6.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2020_b6.csv,año_infraccion,numeric
infracciones_infracciones_transito_2020_b6.csv,mes_infraccion,character
infracciones_infracciones_transito_2020_b6.csv,articulo,numeric
infracciones_infracciones_transito_2020_b6.csv,fraccion,character
infracciones_infracciones_transito_2020_b6.csv,inciso,character
infracciones_infracciones_transito_2020_b6.csv,parrafo,character
infracciones_infracciones_transito_2020_b6.csv,motivacion,character
infracciones_infracciones_transito_2020_b6.csv,placa,character
infracciones_infracciones_transito_2020_b6.csv,color,character
infracciones_infracciones_transito_2020_b6.csv,marca,character
infracciones_infracciones_transito_2020_b6.csv,modelo,character
infracciones_infracciones_transito_2020_b6.csv,calle,character
infracciones_infracciones_transito_2020_b6.csv,entre_calle_uno,character
infracciones_infracciones_transito_2020_b6.csv,entre_calle_dos,character
infracciones_infracciones_transito_2020_b6.csv,colonia,character
infracciones_infracciones_transito_2020_b6.csv,alcaldia,character
infracciones_infracciones_transito_2020_b6.csv,codigo_postal,numeric
infracciones_infracciones_transito_2020_b6.csv,longitud,numeric
infracciones_infracciones_transito_2020_b6.csv,latitud,numeric
infracciones_infracciones_transito_2021_b1.csv,id_folio,character
infracciones_infracciones_transito_2021_b1.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2021_b1.csv,año_infraccion,numeric
infracciones_infracciones_transito_2021_b1.csv,mes_infraccion,character
infracciones_infracciones_transito_2021_b1.csv,articulo,numeric
infracciones_infracciones_transito_2021_b1.csv,fraccion,character
infracciones_infracciones_transito_2021_b1.csv,inciso,character
infracciones_infracciones_transito_2021_b1.csv,parrafo,character
infracciones_infracciones_transito_2021_b1.csv,motivacion,character
infracciones_infracciones_transito_2021_b1.csv,placa,character
infracciones_infracciones_transito_2021_b1.csv,color,character
infracciones_infracciones_transito_2021_b1.csv,marca,character
infracciones_infracciones_transito_2021_b1.csv,modelo,character
infracciones_infracciones_transito_2021_b1.csv,calle,character
infracciones_infracciones_transito_2021_b1.csv,entre_calle_uno,character
infracciones_infracciones_transito_2021_b1.csv,entre_calle_dos,character
infracciones_infracciones_transito_2021_b1.csv,colonia,character
infracciones_infracciones_transito_2021_b1.csv,alcaldia,character
infracciones_infracciones_transito_2021_b1.csv,codigo_postal,numeric
infracciones_infracciones_transito_2021_b1.csv,longitud,numeric
infracciones_infracciones_transito_2021_b1.csv,latitud,numeric
infracciones_infracciones_transito_2021_b2.csv,id_folio,character
infracciones_infracciones_transito_2021_b2.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2021_b2.csv,año_infraccion,numeric
infracciones_infracciones_transito_2021_b2.csv,mes_infraccion,character
infracciones_infracciones_transito_2021_b2.csv,articulo,numeric
infracciones_infracciones_transito_2021_b2.csv,fraccion,character
infracciones_infracciones_transito_2021_b2.csv,inciso,character
infracciones_infracciones_transito_2021_b2.csv,parrafo,character
infracciones_infracciones_transito_2021_b2.csv,motivacion,character
infracciones_infracciones_transito_2021_b2.csv,placa,character
infracciones_infracciones_transito_2021_b2.csv,color,character
infracciones_infracciones_transito_2021_b2.csv,marca,character
infracciones_infracciones_transito_2021_b2.csv,modelo,character
infracciones_infracciones_transito_2021_b2.csv,calle,character
infracciones_infracciones_transito_2021_b2.csv,entre_calle_uno,character
infracciones_infracciones_transito_2021_b2.csv,entre_calle_dos,character
infracciones_infracciones_transito_2021_b2.csv,colonia,character
infracciones_infracciones_transito_2021_b2.csv,alcaldia,character
infracciones_infracciones_transito_2021_b2.csv,codigo_postal,numeric
infracciones_infracciones_transito_2021_b2.csv,longitud,numeric
infracciones_infracciones_transito_2021_b2.csv,latitud,numeric
infracciones_infracciones_transito_2021_b3.csv,id_infraccion,character
infracciones_infracciones_transito_2021_b3.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2021_b3.csv,ao_infraccion,numeric
infracciones_infracciones_transito_2021_b3.csv,mes,character
infracciones_infracciones_transito_2021_b3.csv,categoria,character
infracciones_infracciones_transito_2021_b3.csv,articulo,numeric
infracciones_infracciones_transito_2021_b3.csv,fraccion,character
infracciones_infracciones_transito_2021_b3.csv,inciso,character
infracciones_infracciones_transito_2021_b3.csv,parrafo,character
infracciones_infracciones_transito_2021_b3.csv,placa,character
infracciones_infracciones_transito_2021_b3.csv,color,character
infracciones_infracciones_transito_2021_b3.csv,marca_general,character
infracciones_infracciones_transito_2021_b3.csv,marca,character
infracciones_infracciones_transito_2021_b3.csv,submarca,character
infracciones_infracciones_transito_2021_b3.csv,en_la_calle,character
infracciones_infracciones_transito_2021_b3.csv,entre_calle,character
infracciones_infracciones_transito_2021_b3.csv,y_calle,character
infracciones_infracciones_transito_2021_b3.csv,colonia,character
infracciones_infracciones_transito_2021_b3.csv,alcaldia,character
infracciones_infracciones_transito_2021_b3.csv,codigo_postal,character
infracciones_infracciones_transito_2021_b3.csv,longitud,logical
infracciones_infracciones_transito_2021_b3.csv,latitud,logical
infracciones_infracciones_transito_2021_b4.csv,id_infraccion,character
infracciones_infracciones_transito_2021_b4.csv,fecha_infraccion,Date
infracciones_infracciones_transito_2021_b4.csv,ao_infraccion,numeric
infracciones_infracciones_transito_2021_b4.csv,mes,character
infracciones_infracciones_transito_2021_b4.csv,categoria,character
infracciones_infracciones_transito_2021_b4.csv,articulo,numeric
infracciones_infracciones_transito_2021_b4.csv,fraccion,character
