fuente,mes,observaciones
Curso en línea,2019-07-01,169
Curso en línea,2019-08-01,1738
Curso en línea,2019-09-01,4861
Curso en línea,2019-10-01,5112
Curso en línea,2019-11-01,6442
Curso en línea,2019-12-01,4735
Curso en línea,2020-01-01,3238
Curso en línea,2020-02-01,9824
Curso en línea,2020-03-01,7156
Curso en línea,2020-04-01,1006
Curso en línea,2020-05-01,490
Curso en línea,2020-06-01,476
Curso en línea,2020-07-01,372
Curso en línea,2020-08-01,2185
Curso en línea,2020-09-01,4365
Curso en línea,2020-10-01,4723
Curso en línea,2020-11-01,1
Curso en línea,2020-12-01,5
Curso en línea,2021-01-01,129
Curso en línea,2021-02-01,367
Curso en línea,2021-03-01,372
Curso en línea,2021-04-01,3845
Curso en línea,2021-05-01,1536
Curso en línea,2021-06-01,2321
Curso en línea,2021-07-01,12491
Curso en línea,2021-08-01,24140
Curso en línea,2021-09-01,15008
Curso en línea,2021-10-01,15092
Curso en línea,2021-11-01,15152
Curso en línea,2021-12-01,11323
Curso en línea,2022-01-01,4116
Curso en línea,2022-02-01,6292
Curso en línea,2022-03-01,6852
Curso en línea,2022-04-01,4830
Curso en línea,2022-05-01,5125
Curso en línea,2022-06-01,5349
Curso en línea,2022-07-01,2566
Presencial,2019-07-01,5
Presencial,2019-08-01,158
Presencial,2019-09-01,415
Presencial,2019-10-01,799
Presencial,2019-11-01,1382
Presencial,2019-12-01,1902
Presencial,2020-01-01,1523
Presencial,2020-02-01,2134
Presencial,2020-03-01,2192
Presencial,2020-04-01,216
Presencial,2020-05-01,102
Presencial,2020-06-01,17
Presencial,2020-07-01,21
Presencial,2021-01-01,5
Presencial,2021-02-01,78
Presencial,2021-03-01,143
Presencial,2021-04-01,805
Presencial,2021-05-01,460
Presencial,2021-06-01,860
Presencial,2021-07-01,4599
Presencial,2021-08-01,14342
Presencial,2021-09-01,13889
Presencial,2021-10-01,15495
Presencial,2021-11-01,16200
Presencial,2021-12-01,13711
Presencial,2022-01-01,7653
Presencial,2022-02-01,5517
Presencial,2022-03-01,7729
Presencial,2022-04-01,5754
Presencial,2022-05-01,4527
Presencial,2022-06-01,4639
Presencial,2022-07-01,4404
Presencial,2022-08-01,17
Presencial,2022-09-01,38
