via_princi,ubicaciones
Autopista Urbana Norte (AUN),7
Perif?rico 2P S-N,7
Eje 1 Norte,4
Eje Central,4
Av. Paseo de la Reforma,3
Calz. Vallejo,3
Calz. de Tlalpan,3
Circuito Bicentenario Av. R?o Consulado,3
Eje 2 Norte,3
Eje 3 Norte,3
Eje 3 Sur,3
Av. Constituyentes,2
Av. Instituto Polit?cnico Nacional,2
Av. Insurgentes Nte.,2
Av. Revolución,2
Calz. De Tlalpan,2
Calz. Ermita Iztapalapa,2
Calz. Gral. Ignacio Zaragoza,2
Calz. Ignacio Zaragoza,2
Eje 1 Oriente,2
Eje 5 Av. Montevideo,2
Eje 6 Sur,2
Eje 8 Sur Ermita Iztapalapa,2
Eje Central L?zaro C?rdenas,2
Ejercito Nacional,2
Puente de Alvarado -San Cosme,2
Universidad,2
Andr?s Molina Enr?quez,1
Anillo Perif?rico,1
Anillo Perif?rico Canal de Garay,1
Arcos de Bel?n,1
Av. Aquiles Serd?n,1
Av. Calzada Ignacio Zaragoza,1
Av. Canal del Nte.,1
Av. Chapultepec,1
Av. Chapultepec - Río de la Loza,1
Av. Ej?rcito Nacional,1
Av. Ej?rcito Nacional Mexicano,1
Av. Hidalgo - Paseo de la Reforma y Zarco,1
Av. Marina Nacional,1
Av. Ocean?a,1
Av. Revoluci?n,1
Av. Revolucion - Eje 10 Sur Loreto,1
Av. Rivera de San Cosme y Santa Mar?a La Rivera,1
Av. Tláhuac y Ganaderos,1
Av.608,1
Calz. Gral. Mariano Escobedo y Laguna de T?rminos,1
Calz. de los Misterios,1
Calzada de Misterios,1
Chapultepec,1
Circuito Bicentenario Av. Rio Churubusco,1
Circuito Bicentenario Av. Rio Consulado y Av. Ing. Eduardo Molina,1
Circuito Bicentenario Blvd. Puerto Aéreo,1
Circuito Bicentenario Boulebard Puerto Aereo,1
Circuito Bicentenario Calz. Melchor Ocampo,1
Circuito Bicentenario Instituto T?cnico Industrial,1
Circuito Bicentenario Maestro Jos? Vasconcelos,1
Circuito Bicentenario Melchor Ocampo,1
Eje 1 Nte. Jos? Antonio ?lzate,1
Eje 1 Nte. Mosqueta,1
Eje 1 Poniente Guerrero,1
Eje 2 Nte. Manuel Gonz?lez,1
Eje 2 Oriente La viga y Circuito Bicentenario Rio Churubusco,1
Eje 3 Oriente,1
Eje 3 Poniente,1
Eje 3 Sur Jos? Pe?n,1
Eje 4 Oriente,1
Eje 5 Norte,1
Eje 5 Sur,1
Eje 6 Sur Narciso Mendoza,1
Eje 7 Sur Municipio Libre y Division del Norte,1
Eje 8 Sur,1
Eje 8 Sur y Av. Universidad,1
Eje Central Lázaro Cárdenas y Circuito Bicentenario Paseo de las Jacarandas,1
Fray Servando,1
Fray Servando Teresa de Mier,1
Guadalupe I. Ramirez,1
Insurgentes,1
Izazaga,1
Marina Nacional,1
Miguel Ángel de Quevedo - Taxqueña - Canal de Miramontes,1
Paseo de la Reforma,1
Paseo de la Reforma - Eje 1 Poniente - Ju?rez,1
Perif?rico,1
Pino Su?rez,1
Poniente a Oriente,1
Revoluci?n,1
San Lorenzo y Eje 8 Sur,1
Taxque?a,1
Viaducto Miguel Aleman,1
Viaducto R?o de la Piedad,1
Zaragoza,1
