X,Y,n
-99.124752,19.452092,20
-99.124941,19.468471,19
-99.180131,19.346874,14
-99.149428,19.406861,14
-99.140003,19.444137,14
-99.133574,19.491188,10
-99.049156,19.362278,10
-99.184197,19.407957,9
-99.182418,19.448148,9
-99.138399,19.449558,9
-99.132917,19.425918,9
-99.131166,19.423568,8
-99.129933,19.377115,8
-99.114759,19.265928,8
-99.200777,19.350306,6
-99.2027342,19.3431643,5
-99.193844,19.359411,5
-99.1932155,19.3593912,5
-99.189106,19.363279,5
-99.160748,19.511921,5
-99.159553,19.447244,5
-99.1502647,19.4943507,5
-99.1463572,19.4565453,5
-99.145048,19.456251,5
-99.1447284,19.4698112,5
-99.1440693,19.4447801,5
-99.141868,19.426584,5
-99.1411463,19.4073524,5
-99.1398364,19.3287573,5
-99.139101,19.443908,5
-99.137389,19.340973,5
-99.137371,19.341127,5
-99.137033,19.445922,5
-99.133981,19.488276,5
-99.133978,19.482184,5
-99.1197212,19.4056047,5
-99.096795,19.419915,5
-99.095682,19.379954,5
-99.095667,19.37929,5
-99.0861399,19.4375679,5
-99.077477,19.408772,5
-99.059128,19.376515,5
-99.0564653,19.3427999,5
-99.0550857,19.3960176,5
-99.0423924,19.3889366,5
-99.213515,19.438951,4
-99.19739,19.43825,4
-99.19732,19.4383,4
-99.19011,19.34454,4
-99.1855748,19.4520233,4
-99.180692,19.346607,4
-99.17612,19.40597,4
-99.175399,19.423585,4
-99.174731,19.429957,4
-99.173931,19.421324,4
-99.17043,19.34556,4
-99.17042,19.34554,4
-99.17042,19.34555,4
-99.17037,19.47032,4
-99.1654,19.4435,4
-99.16049,19.44205,4
-99.15955,19.44182,4
-99.15889,19.473673,4
-99.15571,19.44385,4
-99.1557,19.44038,4
-99.1556279,19.4253317,4
-99.15243,19.34343,4
-99.151726,19.5084073,4
-99.144644,19.40712,4
-99.143201,19.486666,4
-99.1406917,19.4359178,4
-99.13935,19.3194,4
-99.13935,19.38422,4
-99.138265,19.454718,4
-99.13825,19.45557,4
-99.132297,19.430987,4
-99.129493,19.381404,4
-99.12944,19.45708,4
-99.097819,19.478628,4
-99.095867,19.419933,4
-99.075577,19.318721,4
-99.015352,19.352139,4
-99.199933,19.354244,3
-99.194411,19.489679,3
-99.189798,19.413017,3
-99.1445281,19.3544699,3
-99.1273266,19.4526233,3
-99.1184883,19.4215211,3
-99.101904,19.422735,3
-99.2135412,19.4389827,2
-99.2011302,19.3502218,2
-99.2010128,19.3500941,2
-99.1942383,19.4896537,2
-99.1937067,19.3592101,2
-99.1936347,19.3591454,2
-99.1890999,19.4730521,2
-99.1842578,19.408298,2
-99.1736078,19.4214147,2
-99.15952,19.473573,2
-99.1517019,19.5079152,2
-99.1504302,19.4944705,2
-99.1496257,19.43651959,2
-99.144651,19.4059829,2
-99.1433887,19.4868701,2
-99.1433099,19.3070388,2
-99.1418025,19.4072699,2
-99.1395186,19.4678526,2
-99.1382003,19.3201172,2
-99.1378576,19.4545243,2
-99.1373936,19.3406041,2
-99.134014,19.4881075,2
-99.1328328,19.4765952,2
-99.1180633,19.4215583,2
-99.1148805,19.2659594,2
-99.1074164,19.3730611,2
-99.1029554,19.4321581,2
-99.1021011,19.2946796,2
-99.0980104,19.4796439,2
-99.0978776,19.4784257,2
-99.0977499,19.4024604,2
-99.0968845,19.4200102,2
-99.095546100000007,19.3801184,2
-99.095534,19.4197559,2
-99.0948085,19.4280946,2
-99.0862147,19.3563236,2
-99.0575707,19.3429176,2
-99.0567057,19.3429138,2
-99.0423673,19.3887368,2
-99.0422815,19.389183,2
