id,n_registros,n_anios,anio_min,anio_max,tipos
BFCF001,5,5,2019,2023,radar fijo
BFCF006,5,5,2019,2023,radar fijo
BFCF007,5,5,2019,2023,radar fijo
BFCF009,5,5,2019,2023,radar fijo
BFCF010,5,5,2019,2023,radar fijo
BFCF011,5,5,2019,2023,radar fijo
BFCF014,5,5,2019,2023,radar fijo
BFCF016,5,5,2019,2023,radar fijo
BFCF017,5,5,2019,2023,radar fijo
BFCF018,5,5,2019,2023,radar fijo
BFCF019,5,5,2019,2023,radar fijo
BFCF021,5,5,2019,2023,radar fijo
BFCF022,5,5,2019,2023,radar fijo
BFCF023,5,5,2019,2023,radar fijo
BFCF024,5,5,2019,2023,radar fijo
BFCF025,5,5,2019,2023,radar fijo
BFCF029,5,5,2019,2023,radar fijo
BFCF030,5,5,2019,2023,radar fijo
BFCF031,5,5,2019,2023,radar fijo
BFCF033,5,5,2019,2023,radar fijo
BFCF034,5,5,2019,2023,radar fijo
JFCF002,5,5,2019,2023,radar fijo
JFCF006,5,5,2019,2023,radar fijo
JFCF007,5,5,2019,2023,radar fijo
JFCF009,5,5,2019,2023,radar fijo
JFCF010,5,5,2019,2023,radar fijo
JFCF011,5,5,2019,2023,radar fijo
JFCF012,5,5,2019,2023,radar fijo
JFCF013,5,5,2019,2023,radar fijo
JFCF016,5,5,2019,2023,radar fijo
JFCF022,5,5,2019,2023,radar fijo
JFCF028,5,5,2019,2023,radar fijo
JFCF035,5,5,2019,2023,radar fijo
JVEF008,5,5,2019,2023,radar fijo
JVEF009,5,5,2019,2023,radar fijo
JVEF010,5,5,2019,2023,radar fijo
JVEF011,5,5,2019,2023,radar fijo
JVEF012,5,5,2019,2023,radar fijo
JVEF013,5,5,2019,2023,radar fijo
RVEF008,5,5,2019,2023,radar fijo
RVEF012,5,5,2019,2023,radar fijo
RVEF013,5,5,2019,2023,radar fijo
RVEF016,5,5,2019,2023,radar fijo
RVEF023,5,5,2019,2023,radar fijo
RVEF030,5,5,2019,2023,radar fijo
RVEF034,5,5,2019,2023,radar fijo
VVEF002,5,5,2019,2023,radar fijo
VVEF005,5,5,2019,2023,radar fijo
VVEF006,5,5,2019,2023,radar fijo
VVEF007,5,5,2019,2023,radar fijo
VVEF008,5,5,2019,2023,radar fijo
VVEF035,5,5,2019,2023,radar fijo
BCFC003,4,4,2019,2022,radar fijo
BFCF004,4,4,2019,2022,radar fijo
BFCF005,4,4,2020,2023,radar fijo
BFCF026,4,4,2019,2022,radar fijo
BFCF035,4,4,2020,2023,radar fijo
JFCF001,4,4,2019,2022,radar fijo
JFCF003,4,4,2019,2022,radar fijo
JFCF008,4,4,2019,2022,radar fijo
JFCF015,4,4,2019,2022,radar fijo
JFCF018,4,4,2019,2022,radar fijo
JFCF020,4,4,2019,2022,radar fijo
JFCF021,4,4,2019,2022,radar fijo
JFCF023,4,4,2019,2022,radar fijo
JFCF024,4,4,2019,2022,radar fijo
JFCF025,4,4,2019,2022,radar fijo
JFCF026,4,4,2019,2022,radar fijo
JFCF027,4,4,2019,2022,radar fijo
JFCF029,4,4,2019,2022,radar fijo
JVEF014,4,4,2019,2022,radar fijo
RVEF002,4,4,2019,2022,radar fijo
RVEF007,4,4,2019,2022,radar fijo
RVEF011,4,4,2019,2022,radar fijo
RVEF021,4,4,2019,2022,radar fijo
RVEM001,4,4,2019,2022,radar móvil
RVEM002,4,4,2019,2022,radar móvil
RVEM004,4,4,2019,2022,radar móvil
RVEM005,4,4,2019,2022,radar móvil
RVEM007,4,4,2019,2022,radar móvil
RVEM008,4,4,2019,2022,radar móvil
RVEM010,4,4,2019,2022,radar móvil
RVEM011,4,4,2019,2022,radar móvil
RVEM012,4,4,2019,2022,radar móvil
VVEF001,4,4,2019,2022,radar fijo
VVEF003,4,4,2019,2022,radar fijo
