id_espacial,anio,tipo,id,calle1,calle2,lon,lat
-99.01535_19.35214,2019,radar fijo,JFCF003,Eje 1 Oriente Canal de Miramontes,y Eje 9 Sur Taxqueña y Cerro de Teponaxtle,-99.015352,19.352139
-99.01535_19.35214,2020,radar fijo,JFCF003,Eje 1 Oriente Canal de Miramontes,y Eje 9 Sur Taxqueña y Cerro de Teponaxtle,-99.015352,19.352139
-99.01535_19.35214,2021,radar fijo,JFCF003,Eje 1 Oriente Canal de Miramontes,y Eje 9 Sur Taxqueña y Cerro de Teponaxtle,-99.015352,19.352139
-99.01535_19.35214,2022,radar fijo,JFCF003,Eje 1 Oriente Canal De Miramontes Y Eje 9 Sur Taxqueña Y,Cerro De Teponaxtle,-99.015352,19.352139
-99.02095_19.34538,2019,radar móvil,RVEM008,Entre Av. de las Palmas y,Eje 6 Sur,-99.02095196,19.34538085
-99.04067_19.3433,2019,radar móvil,RVEM007,Entre Calle 39 y,Calle 17,-99.04066523,19.34330237
-99.04228_19.38918,2023,radar fijo,008-SSC-IZP-EV-124.62,Gral. Juan Manuel Torre,Lic. Juan C. Doria,-99.0422815,19.389183
-99.04228_19.38918,2024,radar fijo,008-SSC-IZP-EV-124.62,"Moctezuma Segunda Seccion, Venustiano Carranza",Lic. Juan C. Doria,-99.0422815,19.389183
-99.04237_19.38874,2023,radar fijo,001-SSC-IZP-EV-124.6,Av. Telecomunicaciones,Emilio Azcárraga,-99.0423673,19.3887368
-99.04237_19.38874,2024,radar fijo,001-SSC-IZP-EV-124.6,Av. Telecomunicaciones,Emilio Azcarraga,-99.0423673,19.3887368
-99.04239_19.38894,2019,radar fijo,VVEF035,Eje 1 Nte. Mosqueta,y Soto,-99.0423924,19.3889366
-99.04239_19.38894,2020,radar fijo,VVEF035,Eje 1 Nte. Mosqueta,y Soto,-99.0423924,19.3889366
-99.04239_19.38894,2021,radar fijo,VVEF035,Eje 1 Nte. Mosqueta,y Soto,-99.0423924,19.3889366
-99.04239_19.38894,2022,radar fijo,VVEF035,Eje 1 Nte. Mosqueta Y ,Soto,-99.0423924,19.3889366
-99.04239_19.38894,2023,radar fijo,VVEF035,Eje 1 Nte. Mosqueta Y,Soto,-99.0423924,19.3889366
-99.04916_19.36228,2019,radar fijo,JFCF009,Eje 6 Sur Av. Luis Méndez,y Carlos L Gracidas,-99.049156,19.362278
-99.04916_19.36228,2019,radar fijo,JFCF016,Av. Constituyentes,y Gob. Gregorio Villa Gelati,-99.049156,19.362278
-99.04916_19.36228,2020,radar fijo,JFCF009,Eje 6 Sur Av. Luis Méndez,y Carlos L Gracidas,-99.049156,19.362278
-99.04916_19.36228,2020,radar fijo,JFCF016,Av. Constituyentes,y Gob. Gregorio Villa Gelati,-99.049156,19.362278
-99.04916_19.36228,2021,radar fijo,JFCF009,Eje 6 Sur Av. Luis Méndez,y Carlos L Gracidas,-99.049156,19.362278
-99.04916_19.36228,2021,radar fijo,JFCF016,Av. Constituyentes,y Gob. Gregorio Villa Gelati,-99.049156,19.362278
-99.04916_19.36228,2022,radar fijo,JFCF009,Eje 6 Sur Av. Luis Méndez Y,Carlos L. Gracidas,-99.049156,19.362278
-99.04916_19.36228,2022,radar fijo,JFCF016,Av. Constituyentes Y,Gob. Gregorio Villa Gelati,-99.049156,19.362278
-99.04916_19.36228,2023,radar fijo,JFCF009,Eje 6 Sur Av. Luis Méndez Y,Carlos L. Gracidas,-99.049156,19.362278
-99.04916_19.36228,2023,radar fijo,JFCF016,Av. Constituyentes Y ,Gob. Gregorio Villa Gelati,-99.049156,19.362278
-99.04935_19.36222,2024,radar fijo,054-SSC-IZP-FC-119.174,Av. Genaro Estrada,G. Murillo,-99.049351,19.362216
-99.05509_19.39602,2019,radar fijo,JVEF009,AUN /Gral. Juan Cabral,y Batalla de Celaya,-99.0550857,19.3960176
-99.05509_19.39602,2020,radar fijo,JVEF009,AUN /Gral. Juan Cabral,y Batalla de Celaya,-99.0550857,19.3960176
-99.05509_19.39602,2021,radar fijo,JVEF009,AUN /Gral. Juan Cabral,y Batalla de Celaya,-99.0550857,19.3960176
-99.05509_19.39602,2022,radar fijo,JVEF009,Aun/Gral. Juan Cabral Y ,Batalla De Celaya,-99.0550857,19.3960176
-99.05509_19.39602,2023,radar fijo,JVEF009,Aun/Gral. Juan Cabral Y ,Batalla De Celaya,-99.0550857,19.3960176
-99.05647_19.3428,2019,radar fijo,RVEF013,Circuito Bicentenario Calz. Melchor Ocampo,y Nezahualpilli,-99.0564653,19.3427999
-99.05647_19.3428,2020,radar fijo,RVEF013,Circuito Bicentenario Calz. Melchor Ocampo,y Nezahualpilli,-99.0564653,19.3427999
-99.05647_19.3428,2021,radar fijo,RVEF013,Circuito Bicentenario Calz. Melchor Ocampo,y Nezahualpilli,-99.0564653,19.3427999
-99.05647_19.3428,2022,radar fijo,RVEF013,Circuito Bicentenario Calz. Melchor Ocampo Y,Nezahualpilli,-99.0564653,19.3427999
-99.05647_19.3428,2023,radar fijo,RVEF013,Circuito Bicentenario Calz. Melchor Ocampo Y,Nezahualpilli,-99.0564653,19.3427999
-99.05671_19.34291,2023,radar fijo,040-SSC-IZP-EV-119.62,Tulipán,Rocío,-99.0567057,19.3429138
-99.05671_19.34291,2024,radar fijo,040-SSC-IZP-EV-119.62,Tulipan ,Rocio,-99.0567057,19.3429138
-99.05757_19.34292,2023,radar fijo,017-SSC-IZP-EV-124.134,Pensamiento,Pabellón,-99.0575707,19.3429176
-99.05757_19.34292,2024,radar fijo,017-SSC-IZP-EV-124.134,Pensamiento,Pabellón,-99.0575707,19.3429176
-99.05883_19.37646,2024,radar fijo,061-SSC-IZP-FC-119.230,Anillo Periférico,Calle 5 Sur,-99.058833,19.376464
