id_espacial,n_registros,n_anios,anio_min,anio_max,ids,n_ids,tipos,lon,lat
-99.12475_19.45209,20,5,2019,2023,BFCF022 | BFCF023 | BFCF024 | BFCF025,4,radar fijo,-99.124752,19.452092
-99.12494_19.46847,19,5,2019,2023,BFCF014 | BFCF029 | BFCF033 | BFCF034,4,radar fijo,-99.124941,19.468471
-99.14943_19.40686,14,5,2019,2023,BCFC003 | BFCF003 | BFCF017 | BFCF018,4,radar fijo,-99.149428,19.406861
-99.18013_19.34687,14,5,2019,2023,BFBF008 | BFCF007 | BFCF008 | BFCF021,4,radar fijo,-99.180131,19.346874
-99.14_19.44414,14,5,2019,2023,BFCF005 | BFCF006 | BFCF016,3,radar fijo,-99.140003,19.444137
-99.1842_19.40796,9,5,2019,2023,BCFC002 | BFCF001 | BFCF002,3,radar fijo,-99.184197,19.407957
-99.19993_19.35424,3,1,2022,2022,RVEF041 | RVEF042 | RVEF043,3,radar fijo,-99.199933,19.354244
-99.04916_19.36228,10,5,2019,2023,JFCF009 | JFCF016,2,radar fijo,-99.049156,19.362278
-99.11972_19.4056,5,5,2019,2023,VVEF004 | VVEF011,2,radar fijo,-99.1197212,19.4056047
-99.12993_19.37712,8,5,2019,2023,JFCF006 | JFCF014,2,radar fijo,-99.129933,19.377115
-99.13117_19.42357,8,5,2019,2023,BFCF004 | BFCF035,2,radar fijo,-99.131166,19.423568
-99.13292_19.42592,9,5,2019,2023,BFCF030 | BFCF031,2,radar fijo,-99.132917,19.425918
-99.13357_19.49119,10,5,2019,2023,BFCF010 | BFCF011,2,radar fijo,-99.133574,19.491188
-99.1384_19.44956,9,5,2019,2023,JFCF007 | JFCF015,2,radar fijo,-99.138399,19.449558
-99.15955_19.44724,5,5,2019,2023,VVEF001 | VVEF001 ,2,radar fijo,-99.159553,19.447244
-99.18242_19.44815,9,5,2019,2023,JFCF027 | JFCF035,2,radar fijo,-99.182418,19.448148
-99.19384_19.35941,5,5,2019,2023,JVEF014 | JVEF014 ,2,radar fijo,-99.193844,19.359411
-99.20078_19.35031,6,5,2019,2023,JVEF012 | RVEF044,2,radar fijo,-99.200777,19.350306
-99.11476_19.26593,8,4,2019,2022,JFCF008 | JFCF025,2,radar fijo,-99.114759,19.265928
-99.13935_19.38422,4,4,2020,2023,RVEM005 | RVEM007,2,radar móvil,-99.13935,19.38422
-99.15243_19.34343,4,4,2020,2023,RVEM009 | RVEM012,2,radar móvil,-99.15243,19.34343
-99.15563_19.42533,4,4,2019,2023,RVEF017 | VVEF012 ,2,radar fijo,-99.1556279,19.4253317
-99.15955_19.44182,4,4,2020,2023,RVEM006 | RVEM008,2,radar móvil,-99.15955,19.44182
-99.1654_19.4435,4,4,2020,2023,RVEM003 | RVEM004,2,radar móvil,-99.1654,19.4435
-99.17037_19.47032,4,4,2020,2023,RVEM004 | RVEM005,2,radar móvil,-99.17037,19.47032
-99.19011_19.34454,4,4,2020,2023,RVEM008 | RVEM011,2,radar móvil,-99.19011,19.34454
-99.19732_19.4383,4,4,2020,2023,RVEM007 | RVEM010,2,radar móvil,-99.19732,19.4383
