vialidad,sentido,ubicacion,fecha_min,fecha_max,observaciones,dias
AV. 503,PONIENTE-ORIENTE,SOLES - CAIRO,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,ANILLO PERIFÉRICO - CALLE 6,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,CALLE 19,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,EJE 5 ORIENTE - EJE 4 ORIENTE (RÍO CHURBUSCO),2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,EMILIO CAMPA - MANUEL CARRIÓN Y RUBIO,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,ENNA - ZACANI,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,FCO. DEL PASO Y TRONCOSO - EDUARDO MOLINA,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,FERNANDO ARUTI - CIRILO ARENAS,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,FRANCISCO ARCE -FRANCISCO LEYVA,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,IGNACIO DE LA LLAVE -GENERAL T. SALGADO,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,PREVISIÓN SOCIAL - BIENES RAÍCES,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,ORIENTE-PONIENTE,SENTIMIENTO DE LA NACIÓN,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,AMADOR SALAZAR - MORELOS,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,ANSELMO DE LA PORTILLA - MANUEL RIVERA CAMBAS,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,AV. RÍO CHURBUSCO - ORIENTE 233,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,AVENIDA MÉXICO - CORONADO,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,AZCÁRRAGA VIDAURRETA - GUELATAO,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,BUGAMBILIA - BUSTAMANTE,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,CALLE 17 Y CALLE 19,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,CALLE 63 Y CALLE 65,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,GABRIEL TEPOPA - EVERARDO GONZÁLEZ,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,GENERAL ANTONIO DE LEÓN - AVENIDA TELECOMUNICACIONES,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,ORIENTE 247 - ORIENTE 245 D,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CALZADA IGNACIO ZARAGOZA,PONIENTE-ORIENTE,SANTIAGO DE LA VEGA - JOSÉ DEL RÍO,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CAMARONES,NORTE-SUR,PONIENTE 44 ESQUINA,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CAMARONES,PONIENTE-ORIENTE,ALMENDROS ESQUINA,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CAMARONES,PONIENTE-ORIENTE,NORTE 75 - NORTE 73,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CHAPULTEPEC,ORIENTE-PONIENTE,10 DE FRAY SERVANDO - 8 DE FRAY SERVANDO,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CHAPULTEPEC,ORIENTE-PONIENTE,CALLE 53 - CALLE 51,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CHAPULTEPEC,ORIENTE-PONIENTE,CORREO MAYOR - JOSÉ M. PINO SUÁREZ,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CHAPULTEPEC,ORIENTE-PONIENTE,ENRICO MARTÍNEZ - FRANCISCO DE GARAY,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
CHAPULTEPEC,ORIENTE-PONIENTE,TOLEDO - BURDEOS,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,744,31
