id,vialidades,combinaciones_vialidad_sentido
INSURGENTES,35,36
EJE TRONCAL METROPOLITANO-EJE 3 ORIENTE,26,26
EJE CENTRAL LÁZARO CÁRDENAS,25,25
CALZADA IGNACIO ZARAGOZA,23,23
TLALPAN,23,23
EJE 1 PONIENTE,21,21
EJE 3 NORTE,21,21
EJE 2 ORIENTE,19,19
EJE 1 ORIENTE,17,17
EJE 4 SUR,15,15
EJE 4 NORTE,13,13
CHAPULTEPEC,10,10
EDUARDO MOLINA,10,10
MARINA NACIONAL,10,10
EJE 2 NORTE,9,9
MÉXICO - TACUBA,9,9
RÍO SAN JOAQUÍN,9,9
UNIVERSIDAD,9,9
EJE 2 SUR,8,9
PERIFÉRICO,8,8
EJE 3 PONIENTE,6,6
VIADUCTO TLALPAN,5,5
EJE 2A SUR,4,4
CAMARONES,3,3
RUBÉN DARÍO,2,2
AV. 503,1,1
