fecha_busqueda,consultas
2022-04-05,6
2022-04-06,38
2022-04-07,37
2022-04-08,46
2022-04-09,29
2022-04-10,21
2022-04-11,37
2022-04-12,52
2022-04-13,41
2022-04-14,44
2022-04-15,30
2022-04-16,44
2022-04-17,20
2022-04-18,60
2022-04-19,47
2022-04-20,46
2022-04-21,28
2022-04-22,39
2022-04-23,11
2022-04-24,28
2022-04-25,41
2022-04-26,44
2022-04-27,28
2022-04-28,31
2022-04-29,30
2022-04-30,28
2022-05-01,23
2022-05-02,35
2022-05-03,26
2022-05-04,29
2022-05-05,25
2022-05-06,26
2022-05-07,19
2022-05-08,17
2022-05-09,26
2022-05-10,28
2022-05-11,24
2022-05-12,27
2022-05-13,16
2022-05-14,25
2022-05-15,14
2022-05-16,41
2022-05-17,26
2022-05-18,29
2022-05-19,16
2022-05-20,29
2022-05-21,21
2022-05-22,13
2022-05-23,21
2022-05-24,26
2022-05-25,17
2022-05-26,21
2022-05-27,18
2022-05-28,24
2022-05-29,17
2022-05-30,27
2022-05-31,40
2022-06-01,29
2022-06-02,29
2022-06-03,23
2022-06-04,18
2022-06-05,17
2022-06-06,41
2022-06-07,31
2022-06-08,27
2022-06-09,23
2022-06-10,18
2022-06-11,20
2022-06-12,20
2022-06-13,42
2022-06-14,21
2022-06-15,16
2022-06-16,10
2022-06-17,23
2022-06-18,20
2022-06-19,6
2022-06-20,23
2022-06-21,18
2022-06-22,22
2022-06-23,21
2022-06-24,29
2022-06-25,26
2022-06-26,22
2022-06-27,21
2022-06-28,25
2022-06-29,18
2022-06-30,12
2022-07-01,12
2022-07-02,17
2022-07-03,20
2022-07-04,28
2022-07-05,18
2022-07-06,21
2022-07-07,32
2022-07-08,24
2022-07-09,9
2022-07-10,21
2022-07-11,29
2022-07-12,22
2022-07-13,16
2022-07-14,10
2022-07-15,30
2022-07-16,14
2022-07-17,12
2022-07-18,28
2022-07-19,34
2022-07-20,23
2022-07-21,33
2022-07-22,29
2022-07-23,17
2022-07-24,24
2022-07-25,26
2022-07-26,26
2022-07-27,25
2022-07-28,60
2022-07-29,51
2022-07-30,56
2022-07-31,45
2022-08-01,91
2022-08-02,86
2022-08-03,76
2022-08-04,93
2022-08-05,83
2022-08-06,68
2022-08-07,61
2022-08-08,98
2022-08-09,94
2022-08-10,55
2022-08-11,76
2022-08-12,80
2022-08-13,73
2022-08-14,65
2022-08-15,95
2022-08-16,100
2022-08-17,89
2022-08-18,87
2022-08-19,72
2022-08-20,90
2022-08-21,59
2022-08-22,109
2022-08-23,72
2022-08-24,67
2022-08-25,71
2022-08-26,82
2022-08-27,77
2022-08-28,51
2022-08-29,76
2022-08-30,72
2022-08-31,50
2022-09-01,79
2022-09-02,73
2022-09-03,88
2022-09-04,73
2022-09-05,101
2022-09-06,90
2022-09-07,74
2022-09-08,71
2022-09-09,78
2022-09-10,73
2022-09-11,59
2022-09-12,123
2022-09-13,74
2022-09-14,90
2022-09-15,71
2022-09-16,37
2022-09-17,75
2022-09-18,68
2022-09-19,89
2022-09-20,68
2022-09-21,73
2022-09-22,71
2022-09-23,79
2022-09-24,45
2022-09-25,57
2022-09-26,63
2022-09-27,85
2022-09-28,60
2022-09-29,56
2022-09-30,51
2022-10-01,67
2022-10-02,69
2022-10-03,81
2022-10-04,74
2022-10-05,67
2022-10-06,52
2022-10-07,59
2022-10-08,81
2022-10-09,203
2022-10-10,70
2022-10-11,81
2022-10-12,48
2022-10-13,104
2022-10-14,65
2022-10-15,81
2022-10-16,61
2022-10-17,95
2022-10-18,93
2022-10-19,74
2022-10-20,70
2022-10-21,88
2022-10-22,72
2022-10-23,49
2022-10-24,114
2022-10-25,68
2022-10-26,64
2022-10-27,67
2022-10-28,82
2022-10-29,79
2022-10-30,100
2022-10-31,158
2022-11-01,112
2022-11-02,64
2022-11-03,82
2022-11-04,66
2022-11-05,79
2022-11-06,77
2022-11-07,69
2022-11-08,73
2022-11-09,81
2022-11-10,82
2022-11-11,68
2022-11-12,68
2022-11-13,55
2022-11-14,99
2022-11-15,85
2022-11-16,88
2022-11-17,75
2022-11-18,85
2022-11-19,63
2022-11-20,76
2022-11-21,55
2022-11-22,63
2022-11-23,79
2022-11-24,56
2022-11-25,68
2022-11-26,61
2022-11-27,62
2022-11-28,98
2022-11-29,72
2022-11-30,70
2022-12-01,67
