variable,valores_unicos,faltantes,porcentaje_faltantes
fecha_busqueda,71,0,0
placa,2000,0,0
placa_cdmx,2,0,0
estatus_padron,4,0,0
servicio,1,1189,59.45
estatus_registro,2,1189,59.45
marca,55,1189,59.45
linea,229,1189,59.45
clase_vehiculo,4,1189,59.45
tipo_vehiculo,11,1189,59.45
modelo,37,1189,59.45
fecha_alta,689,1189,59.45
combustible,6,1189,59.45
tipo_servicio,1,1189,59.45
estatus_tarjeta_circulacion,4,0,0
expedicion_tc,574,1189,59.45
expiracion_tc,575,1189,59.45
estatus_seguro,4,0,0
adeudos_tenencia,2,0,0
estatus_infracciones,2,0,0
infracciones,21,0,0
sanciones,7,0,0
