Año,Automóviles,Camiones para pasajeros,Camiones y camionetas para carga,Motocicletas,total_vehiculos,participacion_motos
1980,1601867,14487,187205,66249,1869808,3.543091055338302
1981,1706435,15047,204248,71013,1996743,3.5564416652518624
1982,1707384,15121,199088,44178,1965771,2.2473624852538774
1983,1542868,13072,180921,36279,1773140,2.046031334243207
1984,1564909,15154,178551,36665,1795279,2.0423009459810983
1985,1614986,13617,172224,32412,1833239,1.76801824530244
1986,1359962,13183,125860,20406,1519411,1.34302042041291
1987,1388280,13116,131709,16098,1549203,1.0391149513653148
1988,1508239,11071,143505,14755,1677570,0.8795460100025633
1989,1538193,11026,146614,15750,1711583,0.9202007732023513
1990,1768683,11106,178205,19560,1977554,0.9891006768968129
1991,1727836,10730,160290,20701,1919557,1.078425907644316
1992,2019494,11012,204335,22402,2257243,0.9924496387850134
1993,2314499,13394,229334,8816,2566043,0.34356400107090956
1994,1814187,11203,166663,23985,2016038,1.1897097177731768
1995,1919264,11372,171035,30654,2132325,1.4375857338820301
1996,1865359,11328,157003,33516,2067206,1.621318823571526
1997,1896403,11349,157914,34617,2100283,1.6482064559871217
1998,2304627,11934,174088,51308,2541957,2.0184448438742275
1999,2386039,12141,177597,55392,2631169,2.1052239517872096
2000,2308255,11611,136321,55356,2511543,2.204063398476554
2001,2233666,13259,104639,55798,2407362,2.3178067943250746
2002,2162180,17374,80320,61828,2321702,2.6630463341117854
2003,2093708,24705,61652,80058,2260123,3.542196597264839
2004,2384533,27175,62087,82237,2556032,3.217369735590165
2005,2528281,28514,69929,69496,2696220,2.5775344741897914
2006,2878442,30405,78722,92121,3079690,2.991242625069406
2007,3176288,30675,91167,125589,3423719,3.668204078664166
2008,3640886,32378,94089,155234,3922587,3.9574393123721667
2009,3824532,32304,98990,164709,4120535,3.9972721988770874
2010,4028300,32387,106069,NA,NA,NA
2011,4252089,32838,111985,NA,NA,NA
2012,4455914,31342,68890,59130,4615276,1.2811801504395404
2013,4593710,31047,71106,91324,4787187,1.9076756349814619
2014,4421797,31186,74746,210020,4737749,4.432906850911688
2015,4626870,33189,77448,260099,4997606,5.204471901146269
2016,4806901,32462,80701,300587,5220651,5.757653595308325
2017,5008454,32245,83354,347851,5471904,6.357037696567776
2018,5278405,31901,85492,406671,5802469,7.00858548317966
2019,5492819,31819,86689,473576,6084903,7.782802782558736
2020,5535792,31913,84783,497481,6149969,8.089162725860895
