Año,Tipo de vehiculo,numero_registro_num
1980,Automóviles,1601867
1980,Camiones para pasajeros,14487
1980,Camiones y camionetas para carga,187205
1980,Motocicletas,66249
1981,Automóviles,1706435
1981,Camiones para pasajeros,15047
1981,Camiones y camionetas para carga,204248
1981,Motocicletas,71013
1982,Automóviles,1707384
1982,Camiones para pasajeros,15121
1982,Camiones y camionetas para carga,199088
1982,Motocicletas,44178
1983,Automóviles,1542868
1983,Camiones para pasajeros,13072
1983,Camiones y camionetas para carga,180921
1983,Motocicletas,36279
1984,Automóviles,1564909
1984,Camiones para pasajeros,15154
1984,Camiones y camionetas para carga,178551
1984,Motocicletas,36665
1985,Automóviles,1614986
1985,Camiones para pasajeros,13617
1985,Camiones y camionetas para carga,172224
1985,Motocicletas,32412
1986,Automóviles,1359962
1986,Camiones para pasajeros,13183
1986,Camiones y camionetas para carga,125860
1986,Motocicletas,20406
1987,Automóviles,1388280
1987,Camiones para pasajeros,13116
1987,Camiones y camionetas para carga,131709
1987,Motocicletas,16098
1988,Automóviles,1508239
1988,Camiones para pasajeros,11071
1988,Camiones y camionetas para carga,143505
1988,Motocicletas,14755
1989,Automóviles,1538193
1989,Camiones para pasajeros,11026
1989,Camiones y camionetas para carga,146614
1989,Motocicletas,15750
1990,Automóviles,1768683
1990,Camiones para pasajeros,11106
1990,Camiones y camionetas para carga,178205
1990,Motocicletas,19560
1991,Automóviles,1727836
1991,Camiones para pasajeros,10730
1991,Camiones y camionetas para carga,160290
1991,Motocicletas,20701
1992,Automóviles,2019494
1992,Camiones para pasajeros,11012
1992,Camiones y camionetas para carga,204335
1992,Motocicletas,22402
1993,Automóviles,2314499
1993,Camiones para pasajeros,13394
1993,Camiones y camionetas para carga,229334
1993,Motocicletas,8816
1994,Automóviles,1814187
1994,Camiones para pasajeros,11203
1994,Camiones y camionetas para carga,166663
1994,Motocicletas,23985
1995,Automóviles,1919264
1995,Camiones para pasajeros,11372
1995,Camiones y camionetas para carga,171035
1995,Motocicletas,30654
1996,Automóviles,1865359
1996,Camiones para pasajeros,11328
1996,Camiones y camionetas para carga,157003
1996,Motocicletas,33516
1997,Automóviles,1896403
1997,Camiones para pasajeros,11349
1997,Camiones y camionetas para carga,157914
1997,Motocicletas,34617
1998,Automóviles,2304627
1998,Camiones para pasajeros,11934
1998,Camiones y camionetas para carga,174088
1998,Motocicletas,51308
1999,Automóviles,2386039
1999,Camiones para pasajeros,12141
1999,Camiones y camionetas para carga,177597
1999,Motocicletas,55392
2000,Automóviles,2308255
2000,Camiones para pasajeros,11611
2000,Camiones y camionetas para carga,136321
2000,Motocicletas,55356
2001,Automóviles,2233666
2001,Camiones para pasajeros,13259
2001,Camiones y camionetas para carga,104639
2001,Motocicletas,55798
2002,Automóviles,2162180
2002,Camiones para pasajeros,17374
2002,Camiones y camionetas para carga,80320
2002,Motocicletas,61828
2003,Automóviles,2093708
2003,Camiones para pasajeros,24705
2003,Camiones y camionetas para carga,61652
2003,Motocicletas,80058
2004,Automóviles,2384533
2004,Camiones para pasajeros,27175
2004,Camiones y camionetas para carga,62087
2004,Motocicletas,82237
2005,Automóviles,2528281
2005,Camiones para pasajeros,28514
2005,Camiones y camionetas para carga,69929
2005,Motocicletas,69496
2006,Automóviles,2878442
2006,Camiones para pasajeros,30405
2006,Camiones y camionetas para carga,78722
2006,Motocicletas,92121
2007,Automóviles,3176288
2007,Camiones para pasajeros,30675
2007,Camiones y camionetas para carga,91167
2007,Motocicletas,125589
2008,Automóviles,3640886
2008,Camiones para pasajeros,32378
2008,Camiones y camionetas para carga,94089
2008,Motocicletas,155234
2009,Automóviles,3824532
2009,Camiones para pasajeros,32304
2009,Camiones y camionetas para carga,98990
2009,Motocicletas,164709
2010,Automóviles,4028300
2010,Camiones para pasajeros,32387
2010,Camiones y camionetas para carga,106069
2010,Motocicletas,NA
2011,Automóviles,4252089
2011,Camiones para pasajeros,32838
2011,Camiones y camionetas para carga,111985
2011,Motocicletas,NA
2012,Automóviles,4455914
2012,Camiones para pasajeros,31342
2012,Camiones y camionetas para carga,68890
2012,Motocicletas,59130
2013,Automóviles,4593710
2013,Camiones para pasajeros,31047
2013,Camiones y camionetas para carga,71106
2013,Motocicletas,91324
2014,Automóviles,4421797
2014,Camiones para pasajeros,31186
2014,Camiones y camionetas para carga,74746
2014,Motocicletas,210020
2015,Automóviles,4626870
2015,Camiones para pasajeros,33189
2015,Camiones y camionetas para carga,77448
2015,Motocicletas,260099
2016,Automóviles,4806901
2016,Camiones para pasajeros,32462
2016,Camiones y camionetas para carga,80701
2016,Motocicletas,300587
2017,Automóviles,5008454
2017,Camiones para pasajeros,32245
2017,Camiones y camionetas para carga,83354
2017,Motocicletas,347851
2018,Automóviles,5278405
2018,Camiones para pasajeros,31901
2018,Camiones y camionetas para carga,85492
2018,Motocicletas,406671
2019,Automóviles,5492819
2019,Camiones para pasajeros,31819
2019,Camiones y camionetas para carga,86689
2019,Motocicletas,473576
2020,Automóviles,5535792
2020,Camiones para pasajeros,31913
2020,Camiones y camionetas para carga,84783
2020,Motocicletas,497481
