Año,Motocicletas,total_vehiculos,participacion_motos,crecimiento_motos,crecimiento_total
1980,66249,1869808,3.543091055338302,NA,NA
1981,71013,1996743,3.5564416652518624,7.191051940406656,6.7886649324422565
1982,44178,1965771,2.2473624852538774,-37.78885556165772,-1.5511260087051726
1983,36279,1773140,2.046031334243207,-17.87994024174928,-9.799259425436635
1984,36665,1795279,2.0423009459810983,1.0639764050828227,1.2485759725684442
1985,32412,1833239,1.76801824530244,-11.599618164462022,2.114434580920288
1986,20406,1519411,1.34302042041291,-37.041836356904845,-17.11877174770993
1987,16098,1549203,1.0391149513653148,-21.11143781240812,1.9607597944203414
1988,14755,1677570,0.8795460100025633,-8.342651261026212,8.286002544534199
1989,15750,1711583,0.9202007732023513,6.743476787529645,2.02751599039086
1990,19560,1977554,0.9891006768968129,24.190476190476183,15.539474276152543
1991,20701,1919557,1.078425907644316,5.833333333333335,-2.932764415029876
1992,22402,2257243,0.9924496387850134,8.216994348099128,17.591871457841577
1993,8816,2566043,0.34356400107090956,-60.64637085974467,13.680405698456033
1994,23985,2016038,1.1897097177731768,172.0621597096189,-21.433974411184852
1995,30654,2132325,1.4375857338820301,27.80487804878049,5.768095641054383
1996,33516,2067206,1.621318823571526,9.336465061655908,-3.053896568299863
1997,34617,2100283,1.6482064559871217,3.2849982098102304,1.6000824301013017
1998,51308,2541957,2.0184448438742275,48.21619435537452,21.029261294787418
1999,55392,2631169,2.1052239517872096,7.959772355188277,3.50957943033654
2000,55356,2511543,2.204063398476554,-0.06499133448873984,-4.546496253186316
2001,55798,2407362,2.3178067943250746,0.7984680974058911,-4.148087450622984
2002,61828,2321702,2.6630463341117854,10.806838954801258,-3.5582517294864724
2003,80058,2260123,3.542196597264839,29.485022966940555,-2.6523214434927445
2004,82237,2556032,3.217369735590165,2.7217767118838943,13.092606021884645
2005,69496,2696220,2.5775344741897914,-15.493026253389598,5.484594872051685
2006,92121,3079690,2.991242625069406,32.555830551398635,14.222504098330258
2007,125589,3423719,3.668204078664166,36.330478392548926,11.170897070809072
2008,155234,3922587,3.9574393123721667,23.604774303482003,14.57093879491862
2009,164709,4120535,3.9972721988770874,6.103688624914638,5.046363535085385
2010,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA
2012,59130,4615276,1.2811801504395404,NA,NA
2013,91324,4787187,1.9076756349814619,54.44613563335024,3.7248259909049786
2014,210020,4737749,4.432906850911688,129.97240593929305,-1.0327150370353144
2015,260099,4997606,5.204471901146269,23.844871916960297,5.484819900758775
2016,300587,5220651,5.757653595308325,15.566380493581299,4.463036902068707
2017,347851,5471904,6.357037696567776,15.723900235206445,4.812675660564181
2018,406671,5802469,7.00858548317966,16.90953885427957,6.041133031573653
2019,473576,6084903,7.782802782558736,16.451873873475108,4.867479688387832
2020,497481,6149969,8.089162725860895,5.047764244809705,1.069302172935216
