anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_origen,anio_destino,distancia_siguiente_m,id_destino,x_destino,y_destino,ids_destino,tipos_destino,calle1_destino,calle2_destino,rango_distancia
2019,2019_495729_2138814,495728.84245129337,2138814.311220906,1,RVEM007,radar móvil,Entre Calle 39 y,Calle 17,2019,2020,1660.4498006492433,2020_494069_2138759,494069.3082239816,2138759.1778475577,RVEF013,radar fijo,Circuito Bicentenario Calz. Melchor Ocampo,y Nezahualpilli,>100 m
2019,2019_487360_2154000,487359.8974110979,2153999.9999422217,1,,radar móvil,Entre Calle Hernández y ,Eje 2 Norte,2019,2020,1412.6151998046428,2020_486887_2152669,486887.2027161789,2152668.819478079,BFCF014 | BFCF029 | BFCF033 | BFCF034,radar fijo,Calzada de Misterios,y Eje 3 Norte Av. Alfredo Robles Domínguez,>100 m
2019,2019_487080_2149814,487080.0893753446,2149813.5941462293,1,,radar móvil,Entre Av. del Trabajo y,Congreso de la Unión,2019,2020,1057.2933589435752,2020_486906_2150856,486905.7239654484,2150856.4105014415,BFCF022 | BFCF023 | BFCF024 | BFCF025,radar fijo,"Eje 1 Oriente Av. del Trabajo, Eje 2 Norte Canal del Norte",y Av. Circunvalación,>100 m
2019,2019_497799_2139044,497799.39803833695,2139043.930304309,1,RVEM008,radar móvil,Entre Av. de las Palmas y,Eje 6 Sur,2019,2020,951.3868778029436,2020_498388_2139792,498387.6329406231,2139791.6713630906,JFCF003,radar fijo,Eje 1 Oriente Canal de Miramontes,y Eje 9 Sur Taxqueña y Cerro de Teponaxtle,>100 m
2019,2019_482853_2148317,482853.2358566447,2148316.7347182822,1,RVEM001,radar móvil,Entre Calle Niza y ,Glorieta de Colón,2019,2020,910.971342465143,2020_483662_2147898,483662.2313940677,2147897.9328471995,RVEF017,radar fijo,Eje 5 Av. Montevideo,y Nte. 31-A,>100 m
2019,2019_486607_2146093,486607.0712069568,2146092.685659949,1,RVEM003,radar móvil,Entre Eje 2 Oriente y ,Eje 1 Oriente,2019,2020,906.8631895874385,2020_487430_2145712,487430.19436023873,2145712.068898416,VVEF004,radar fijo,Eje 8 Sur Ermita Iztapalapa,y Rocío,>100 m
2019,2019_480582_2145078,480581.88082817796,2145078.4742827923,1,,radar móvil,Entre Benjamin Franklin y ,Viaducto,2019,2020,903.3203261668046,2020_480661_2145978,480660.9939688194,2145978.3235605294,BFCF001 | BFCF002,radar fijo,José María Izazaga ,y José María Pino Suárez,>100 m
2019,2019_482311_2145751,482310.91463193175,2145750.6735386592,1,RVEM004,radar móvil,Entre Av. Insurgentes y ,Circuito Bicentenario,2019,2020,802.1613544045478,2020_481509_2145758,481508.7829218684,2145757.569784808,RVEM010,radar móvil,Eje 3 Sur Av. Baja California Y,Choapan Direccion Poniente,>100 m
2019,2019_489735_2146499,489735.07854980463,2146498.726246669,1,,radar móvil,Entre Calle 9 y,Av. 12,2019,2020,801.9601567578819,2020_489838_2147294,489838.16025441815,2147294.033894816,VVEF002,radar fijo,Anillo Periférico,y Embarcadero del Parque Ecológico de Xochimilco,>100 m
2019,2019_487616_2152381,487615.8714639883,2152381.421695004,1,,radar móvil,Entre Gran Canal y ,Eje 1 Oriente,2019,2020,783.2979188984073,2020_486887_2152669,486887.2027161789,2152668.819478079,BFCF014 | BFCF029 | BFCF033 | BFCF034,radar fijo,Calzada de Misterios,y Eje 3 Norte Av. Alfredo Robles Domínguez,>100 m
2019,2019_484336_2149297,484335.96790705126,2149296.5177482115,1,,radar móvil,Entre Av. Guerrero y ,Av. Insurgentes,2019,2020,730.1957732798372,2020_483656_2149563,483656.16782172455,2149563.084271439,,radar móvil,Ribera De San Cosme Y ,Puente De Alvarado Sentido Oriente,>100 m
2019,2019_485648_2145405,485647.84899608017,2145405.1646117377,1,,radar móvil,Entre Viaducto y,Eje 5 Sur,2019,2020,685.6086856793545,2020_485181_2145907,485180.8785617652,2145907.1585194245,VVEF005,radar fijo,Av. Ejército Nacional,y Calle Luis Vives,>100 m
2019,2019_479825_2138313,479824.50509907736,2138313.3219432957,1,,radar móvil,Entre Av. La Paz y ,Eje 10 Sur,2019,2020,680.9366531294573,2020_480032_2138962,480032.4562703695,2138961.7284793,RVEM008,radar móvil,Av. Revolución Y ,Calle Rafael Checa,>100 m
2019,2019_485666_2145496,485666.35475805635,2145496.003788245,1,RVEM012,radar móvil,Entre Calle Fernando Ramírez y ,Viaducto,2019,2020,636.1881405187382,2020_485181_2145907,485180.8785617652,2145907.1585194245,VVEF005,radar fijo,Av. Ejército Nacional,y Calle Luis Vives,>100 m
