anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_origen,anio_destino,distancia_siguiente_m,id_destino,x_destino,y_destino,ids_destino,tipos_destino,calle1_destino,calle2_destino,rango_distancia
2019,2019_477587_2149411,477587.1109403335,2149411.468207614,1,JFCF023,radar fijo,Eje 2 Norte Manuel González,y Eje Central Lázaro Cárdenas,2019,2020,0,2020_477587_2149411,477587.1109403335,2149411.468207614,JFCF023,radar fijo,Eje 2 Norte Manuel González,y Eje Central Lázaro Cárdenas,≤10 m
2019,2019_478706_2138811,478706.3346307974,2138811.0095976684,1,JVEF011,radar fijo,AUN /  Calle 16,y Av. San Antonio,2019,2020,0,2020_478706_2138811,478706.3346307974,2138811.0095976684,JVEF011,radar fijo,AUN /  Calle 16,y Av. San Antonio,≤10 m
2019,2019_478913_2139601,478912.8221599009,2139601.0168050798,1,JVEF012,radar fijo,AUN / Av. Río Becerra ,y 11 de Abril,2019,2020,0,2020_478913_2139601,478912.8221599009,2139601.0168050798,JVEF012,radar fijo,AUN / Av. Río Becerra ,y 11 de Abril,≤10 m
2019,2019_479599_2155022,479598.8304460184,2155022.343298866,1,RVEF014,radar fijo,Viaducto Río de la Piedad,y 1ro de Mayo,2019,2020,0,2020_479599_2155022,479598.8304460184,2155022.343298866,RVEF014,radar fijo,Viaducto Río de la Piedad,y 1ro de Mayo,≤10 m
2019,2019_479642_2140608,479642.1121701955,2140607.6775308824,1,JVEF014,radar fijo,AUN / Av. Ejército Nacional,y Miguel de Cervantes Saavedra,2019,2020,0,2020_479642_2140608,479642.1121701955,2140607.6775308824,JVEF014,radar fijo,AUN / Av. Ejército Nacional,y Miguel de Cervantes Saavedra,≤10 m
2019,2019_479655_2149316,479655.1573653959,2149316.179939744,1,RVEM010,radar móvil,Entre Lago Victoria y ,Moliere,2019,2020,368.72905595593517,2020_479287_2149337,479287.0396629301,2149337.404308697,RVEM007,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniete,>100 m
2019,2019_479658_2149316,479657.86773849995,2149316.1768888286,1,RVEM009,radar móvil,Entre Arquimides y ,Lago Victoria,2019,2020,371.43514236686616,2020_479287_2149337,479287.0396629301,2149337.404308697,RVEM007,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniete,>100 m
2019,2019_479708_2140605,479708.1162554607,2140605.4127016896,1,JVEF013,radar fijo,AUN / Gobernador José Ceballos,y Av. Constituyentes,2019,2020,0,2020_479708_2140605,479708.1162554607,2140605.4127016896,JVEF013,radar fijo,AUN / Gobernador José Ceballos,y Av. Constituyentes,≤10 m
2019,2019_479825_2138313,479824.50509907736,2138313.3219432957,1,,radar móvil,Entre Av. La Paz y ,Eje 10 Sur,2019,2020,680.9366531294573,2020_480032_2138962,480032.4562703695,2138961.7284793,RVEM008,radar móvil,Av. Revolución Y ,Calle Rafael Checa,>100 m
2019,2019_480074_2146539,480073.5547555747,2146538.866602322,1,RVEF001,radar fijo,Av. Chapultepec ,y Guaymas,2019,2020,0,2020_480074_2146539,480073.5547555747,2146538.866602322,RVEF001,radar fijo,Av. Chapultepec ,y Guaymas,≤10 m
