anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_anterior,anio_actual,distancia_anterior_m,id_anterior,ids_anterior,tipos_anterior
2020,2020_477587_2149411,477587.1109403335,2149411.468207614,1,JFCF023,radar fijo,Eje 2 Norte Manuel González,y Eje Central Lázaro Cárdenas,2019,2020,0,2019_477587_2149411,JFCF023,radar fijo
2020,2020_478706_2138811,478706.3346307974,2138811.0095976684,1,JVEF011,radar fijo,AUN /  Calle 16,y Av. San Antonio,2019,2020,0,2019_478706_2138811,JVEF011,radar fijo
2020,2020_478913_2139601,478912.8221599009,2139601.0168050798,1,JVEF012,radar fijo,AUN / Av. Río Becerra ,y 11 de Abril,2019,2020,0,2019_478913_2139601,JVEF012,radar fijo
2020,2020_479280_2149332,479279.6852975932,2149331.880051976,1,,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniente,2019,2020,375.80016927106453,2019_479655_2149316,RVEM010,radar móvil
2020,2020_479287_2149337,479287.0396629301,2149337.404308697,1,RVEM007,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniete,2019,2020,368.72905595593517,2019_479655_2149316,RVEM010,radar móvil
2020,2020_479599_2155022,479598.8304460184,2155022.343298866,1,RVEF014,radar fijo,Viaducto Río de la Piedad,y 1ro de Mayo,2019,2020,0,2019_479599_2155022,RVEF014,radar fijo
2020,2020_479642_2140608,479642.1121701955,2140607.6775308824,1,JVEF014,radar fijo,AUN / Av. Ejército Nacional,y Miguel de Cervantes Saavedra,2019,2020,0,2019_479642_2140608,JVEF014,radar fijo
2020,2020_479708_2140605,479708.1162554607,2140605.4127016896,1,JVEF013,radar fijo,AUN / Gobernador José Ceballos,y Av. Constituyentes,2019,2020,0,2019_479708_2140605,JVEF013,radar fijo
2020,2020_480032_2138962,480032.4562703695,2138961.7284793,1,RVEM008,radar móvil,Av. Revolución Y ,Calle Rafael Checa,2019,2020,680.9366531294573,2019_479825_2138313,,radar móvil
2020,2020_480074_2146539,480073.5547555747,2146538.866602322,1,RVEF001,radar fijo,Av. Chapultepec ,y Guaymas,2019,2020,0,2019_480074_2146539,RVEF001,radar fijo
2020,2020_480140_2141035,480140.17624916753,2141035.1306192167,1,JFCF028,radar fijo,Av. Marina Nacional,y Felipe Carrillo Puerto,2019,2020,0,2019_480140_2141035,JFCF028,radar fijo
2020,2020_480522_2150855,480521.5908068836,2150854.5661406014,1,RVEF002,radar fijo,Fray Servando Teresa de Mier ,y Cucurpe,2019,2020,0,2019_480522_2150855,RVEF002,radar fijo
2020,2020_480661_2145978,480660.9939688194,2145978.3235605294,2,BFCF001 | BFCF002,radar fijo,José María Izazaga ,y José María Pino Suárez,2019,2020,0,2019_480661_2145978,BFCF001,radar fijo
2020,2020_480852_2150425,480852.4829398144,2150425.3956408612,2,JFCF027 | JFCF035,radar fijo,Av. Ejército Nacional Mexicano ,y Anillo Periférico Boulevard Manuel Ávila Camacho,2019,2020,0,2019_480852_2150425,JFCF027 | JFCF035,radar fijo
2020,2020_481022_2139189,481021.8847857099,2139189.386674418,1,JFCF024,radar fijo,Eje 3 Oriente Ing. Eduardo Molina,y Eje 5 Norte San Juan de Aragón,2019,2020,0,2019_481022_2139189,JFCF024,radar fijo
2020,2020_481081_2139219,481080.8376463651,2139218.869400922,3,BFBF008 | BFCF007 | BFCF021,radar fijo,Insurgentes Buenavista,y Eje 1 Norte,2019,2020,0,2019_481081_2139219,BFBF008 | BFCF007,radar fijo
2020,2020_481509_2145758,481508.7829218684,2145757.569784808,1,RVEM010,radar móvil,Eje 3 Sur Av. Baja California Y,Choapan Direccion Poniente,2019,2020,802.1613544045478,2019_482311_2145751,RVEM004,radar móvil
2020,2020_481586_2147707,481586.4658871726,2147706.6487749,1,VVEF032,radar fijo,Calz. Vallejo ,y Calle Pino Suárez,2019,2020,0,2019_481586_2147707,VVEF032,radar fijo
2020,2020_481657_2148412,481657.30843529844,2148411.6606288855,1,JFCF018,radar fijo,Calz. Gral. Ignacio Zaragoza,y Circuito Bicentenario Boulevard Puerto Aéreo,2019,2020,0,2019_481657_2148412,JFCF018,radar fijo
2020,2020_481740_2147456,481740.3255781062,2147456.3054555757,1,BFCF026,radar fijo,Chapultepec - Sonora ,y Lieja,2019,2020,0,2019_481740_2147456,BFCF026,radar fijo
2020,2020_482100_2139072,482099.5930145589,2139072.4395822664,1,,radar móvil,Miguel Angel De Quevedo Y ,Calle Delta,2019,2020,72.1378123635133,2019_482028_2139063,,radar móvil
2020,2020_482101_2139070,482100.64114490343,2139070.2255005813,1,RVEM012,radar móvil,Alfredo Robles Dominguez Sentido Poniente ,-,2019,2020,72.93099005958265,2019_482028_2139063,,radar móvil
2020,2020_482101_2139071,482100.6422351752,2139071.3320239643,1,RVEM011,radar móvil,Miguel Ángel De Quevedo Y ,Calle Delta Dirección Oriente,2019,2020,73.04695393023071,2019_482028_2139063,,radar móvil
2020,2020_482120_2152878,482119.53538082755,2152877.513607224,1,RVEM004,radar móvil,Eje 3 Norte Av. Cuitlahuac Y  ,Calle Piñon Sentido Poniente,2019,2020,993.1408721628824,2019_483065_2153183,,radar móvil
2020,2020_482638_2149909,482638.28820150794,2149909.2727574455,1,RVEM003,radar móvil,Ribera De San Cosme Y,Virginia Fabregas Direccion Oriente,2019,2020,740.4820100844839,2019_483252_2150323,VVEF001,radar fijo
2020,2020_483134_2157480,483133.6831731268,2157479.8608000493,1,RVEF023,radar fijo,Eje 2 Nte. Manuel González,y Calle General Ignacio Zaragoza,2019,2020,0,2019_483134_2157480,RVEF023,radar fijo
2020,2020_483154_2149748,483153.53269181866,2149748.3373035477,1,,radar móvil,Av. Ribera De San Cosme Sentido Poniente  ,-,2019,2020,547.9841466773013,2019_483640_2149497,,radar móvil
2020,2020_483252_2149723,483252.1801188704,2149722.7952807476,1,RVEM006,radar móvil,Ribera De San Cosme Y ,Jaime Torres Bodet Sentido Poniente,2019,2020,449.19314465334577,2019_483640_2149497,,radar móvil
2020,2020_483252_2150323,483252.4215946765,2150322.9801209937,1,VVEF001,radar fijo,Av.608,y Av. 508,2019,2020,0,2019_483252_2150323,VVEF001,radar fijo
2020,2020_483325_2153247,483324.71583814407,2153247.3819637955,1,VVEF031,radar fijo,Calz. Vallejo,y Cuauhtémoc,2019,2020,0,2019_483325_2153247,VVEF031,radar fijo
2020,2020_483655_2149947,483655.46545055846,2149947.0526854345,1,,radar móvil,Av. Revolucion  Sentido Norte ,-,2019,2020,450.6095586786071,2019_483640_2149497,,radar móvil
2020,2020_483656_2149563,483656.16782172455,2149563.084271439,1,,radar móvil,Ribera De San Cosme Y ,Puente De Alvarado Sentido Oriente,2019,2020,68.25148093528688,2019_483640_2149497,,radar móvil
2020,2020_483662_2147898,483662.2313940677,2147897.9328471995,1,RVEF017,radar fijo,Eje 5 Av. Montevideo,y Nte. 31-A,2019,2020,0,2019_483662_2147898,RVEF017,radar fijo
2020,2020_483990_2138835,483989.94424220757,2138834.9857656844,1,RVEM009,radar móvil,Miguel Angel De Quevedo Y,Calle Inglaterra Direccion Oriente,2019,2020,1476.8424260546863,2019_484821_2140056,RVEF018,radar fijo
2020,2020_484080_2157090,484079.96506656124,2157090.1927551692,1,VVEF003,radar fijo,Anillo Periférico Canal de Garay,y Lebrija,2019,2020,0,2019_484080_2157090,VVEF003,radar fijo
2020,2020_484232_2155535,484231.93223760696,2155534.636712037,1,RVEF008,radar fijo,Eje 1 Nte. José Antonio Álzate ,y Naranjo,2019,2020,0,2019_484232_2155535,RVEF008,radar fijo
2020,2020_484311_2145854,484311.3241975992,2145853.5162685877,3,BCFC003 | BFCF017 | BFCF018,radar fijo,Eje 3 Sur (Dr. Morones Prieto) ,y Dr. José Ma. Vértiz,2019,2020,0,2019_484311_2145854,BCFC003 | BFCF017,radar fijo
2020,2020_484638_2151351,484638.4048130572,2151350.970706135,1,VVEF006,radar fijo,Circuito Bicentenario Av. Río Consulado ,y Av. Congreso de la Unión,2019,2020,0,2019_484638_2151351,VVEF006,radar fijo
2020,2020_484776_2151318,484775.7907100563,2151318.2889615246,1,JFCF010,radar fijo,Eje 4 Pte. Av. Revolución,y Av. Barranca del Muerto,2019,2020,0,2019_484776_2151318,JFCF010,radar fijo
2020,2020_484811_2152819,484810.5988130709,2152818.746455701,1,RVEF034,radar fijo,Av. Revolución,y Calle 13,2019,2020,0,2019_484811_2152819,RVEF034,radar fijo
2020,2020_484814_2145882,484813.62861509604,2145881.747092912,1,RVEF021,radar fijo,Av. Insurgentes Nte.,y Pte. 112,2019,2020,0,2019_484814_2145882,RVEF021,radar fijo
2020,2020_484821_2140056,484820.9204257583,2140055.863373705,1,RVEF018,radar fijo,Circuito Bicentenario Instituto Técnico Industrial,y Calle Eligio Ancona,2019,2020,0,2019_484821_2140056,RVEF018,radar fijo
2020,2020_484877_2150049,484877.45224910794,2150048.9073517825,1,VVEF008,radar fijo,Av. Oceanía,y Pablo R. Sidar,2019,2020,0,2019_484877_2150049,VVEF008,radar fijo
2020,2020_484972_2154684,484972.4556793939,2154683.6605248,1,VVEF033,radar fijo,Calz. Ignacio Zaragoza,y Anselmo de la Portilla,2019,2020,0,2019_484972_2154684,VVEF033,radar fijo
2020,2020_485107_2148035,485106.8579642713,2148035.2566221436,1,JFCF022,radar fijo,Eje Central Lázaro Cárdenas,y Avenida Hidalgo,2019,2020,0,2019_485107_2148035,JFCF022,radar fijo
2020,2020_485181_2145907,485180.8785617652,2145907.1585194245,1,VVEF005,radar fijo,Av. Ejército Nacional,y Calle Luis Vives,2019,2020,0,2019_485181_2145907,VVEF005,radar fijo
2020,2020_485231_2149068,485231.188506412,2149067.9707175293,1,RVEF007,radar fijo,Eje 3 Sur José Peón,y Contreras y José María Bustillos,2019,2020,0,2019_485231_2149068,RVEF007,radar fijo
2020,2020_485304_2149977,485304.2230727506,2149977.393897573,3,BFCF005 | BFCF006 | BFCF016,radar fijo,Eje 1 Norte Mosqueta - Paseo de la Reforma ,y Eje Central Lázaro Cárdenas,2019,2020,0,2019_485304_2149977,BFCF006 | BFCF016,radar fijo
2020,2020_485311_2137210,485311.3676919761,2137210.303271821,1,RVEF012,radar fijo,Circuito Bicentenario Av. Río Consulado,y Cantón,2019,2020,0,2019_485311_2137210,RVEF012,radar fijo
2020,2020_485362_2136175,485361.62667267147,2136174.8585717916,1,,radar móvil,Calzada De Tlalpan Y ,Calle Elvira Dirección Norte,2019,2020,1036.6637313802034,2019_485311_2137210,RVEF012,radar fijo
2020,2020_485367_2143347,485367.4071642836,2143347.3398127854,1,RVEM005,radar móvil,Calzada De Tlalpan Y,Calle Elvira Direccion Norte,2019,2020,176.2822284110319,2019_485338_2143174,RVEM011,radar móvil
