id,registros,anios,anio_min,anio_max,tipos,calles1,calles2
002-SSC-AZC-EV-124.14,2,2023 | 2024,2023,2024,radar fijo,Camino A Nextengo,Aquiles Elourdy
004-SSC-XOC-FC-124.30,2,2023 | 2024,2023,2024,radar fijo,Cto. Cuemanco Nte. | Cto. Cuemanco Nte,Antiguo Canal De Cuemanco
005-SSC-IZT-FC-124.38,2,2023 | 2024,2023,2024,radar fijo,Avena,Añil
007-SSC-COY-EV-124.54,2,2023 | 2024,2023,2024,radar fijo,Hidalgo ,Tlamanalco
010-SSC-GAM-EV-124.78,2,2023 | 2024,2023,2024,radar fijo,Debussy,Meyeber
012-SSC-VCA-FC-124.94,2,2023 | 2024,2023,2024,radar fijo,Ote. 144,Ote. 146 | Ote.146
013-SSC-VCA-EV-124.102,2,2023 | 2024,2023,2024,radar fijo,Ote. 176,Ote. 178
019-SSC-IZP-EV-124.150,2,2023 | 2024,2023,2024,radar fijo,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos
026-SSC-IZP-FC-124.206,2,2023 | 2024,2023,2024,radar fijo,José Guadalupe Gómez | Jose Guadalupe Gomez,Rojo Gómez | Rojo Gomez
035-SSC-GAM-EV-119.22,2,2023 | 2024,2023,2024,radar fijo,Pte. 112 | Pte 112,Pte. 116
