anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_anterior,anio_actual,distancia_anterior_m,id_anterior,ids_anterior,tipos_anterior,distancia_historica_m,anio_historico_cercano,id_historico_cercano,ids_historicos,tipos_historicos,calle1_historica,calle2_historica,clasificacion_100m,rango_historico,tratamiento_100m,tratamiento_250m,tratamiento_500m,tratamiento_1000m,distancia_raw_m,id_raw,num_raw,num_disp_raw,num_disp_2_raw,tipo_raw,calle1_raw,calle2_raw
2023,2023_489273_2133437,489272.9238442253,2133436.778496281,1,004-SSC-XOC-FC-124.30,radar fijo,Cto. Cuemanco Nte.,Antiguo Canal De Cuemanco,2022,2023,3448.219921370266,2022_487941_2130256,JFCF008 | JFCF025,radar fijo,3448.219921370266,2019,2019_487941_2130256,JFCF008 | JFCF025,radar fijo,Av. Guadalupe I. Ramírez,y Prol. División del Norte,nueva_historica_candidata,>1000 m,TRUE,TRUE,TRUE,TRUE,0,004-SSC-XOC-FC-124.30,54,67,NA,radar fijo,Cto. Cuemanco Nte.,Antiguo Canal De Cuemanco
2023,2023_490945_2140257,490945.398817397,2140256.8922951436,1,026-SSC-IZP-FC-124.206,radar fijo,José Guadalupe Gómez,Rojo Gómez,2022,2023,2728.2752691377186,2022_489954_2142799,JVEF010,radar fijo,2728.2752691377186,2019,2019_489954_2142799,JVEF010,radar fijo,AUN /   Fernando Alencastre,y Av. de los Constituyentes,nueva_historica_candidata,>1000 m,TRUE,TRUE,TRUE,TRUE,0,026-SSC-IZP-FC-124.206,76,89,NA,radar fijo,José Guadalupe Gómez,Rojo Gómez
2023,2023_480154_2153182,480154.14502876386,2153181.8866764423,1,002-SSC-AZC-EV-124.14,radar fijo,Camino A Nextengo,Aquiles Elourdy,2022,2023,1988.8192982899336,2022_482120_2152878,RVEM005,radar móvil,1922.4086102680392,2019,2019_479599_2155022,RVEF014,radar fijo,Viaducto Río de la Piedad,y 1ro de Mayo,nueva_historica_candidata,>1000 m,TRUE,TRUE,TRUE,TRUE,0,002-SSC-AZC-EV-124.14,52,65,NA,radar fijo,Camino A Nextengo,Aquiles Elourdy
2023,2023_489737_2145363,489736.81670430576,2145362.688766255,1,005-SSC-IZT-FC-124.38,radar fijo,Avena,Añil,2022,2023,1934.0022028853325,2022_489838_2147294,VVEF002,radar fijo,1136.038810114453,2019,2019_489735_2146499,NA,radar móvil,Entre Calle 9 y,Av. 12,nueva_historica_candidata,>1000 m,TRUE,TRUE,TRUE,TRUE,0,005-SSC-IZT-FC-124.38,55,68,NA,radar fijo,Avena,Añil
2023,2023_478765_2145797,478765.0149026487,2145796.509127491,1,VVEF010,radar fijo,Avenida Constituyentes Y,Camino De Los Toros,2022,2023,1904.676641169968,2022_480661_2145978,BCFC002 | BFCF001,radar fijo,1504.450453532091,2019,2019_480074_2146539,RVEF001,radar fijo,Av. Chapultepec,y Guaymas,nueva_historica_candidata,>1000 m,TRUE,TRUE,TRUE,TRUE,0,VVEF010 ,30,43,NA,radar fijo,Avenida Constituyentes Y,Camino De Los Toros
2023,2023_489192_2148649,489192.2314362317,2148649.1453568065,1,012-SSC-VCA-FC-124.94,radar fijo,Ote. 144,Ote. 146,2022,2023,1501.1832375102697,2022_489838_2147294,VVEF002,radar fijo,1048.5208430303544,2019,2019_489302_2147606,RVEF040,radar fijo,Eje Central Lázaro Cárdenas,y Toribio Medina,nueva_historica_candidata,>1000 m,TRUE,TRUE,TRUE,TRUE,0,012-SSC-VCA-FC-124.94,62,75,NA,radar fijo,Ote. 144,Ote. 146
2023,2023_484945_2134807,484944.5167967457,2134807.4085839503,1,007-SSC-COY-EV-124.54,radar fijo,Hidalgo,Tlamanalco,2022,2023,1429.6503481068316,2022_485362_2136175,NA,radar móvil,1429.6503481068316,2020,2020_485362_2136175,NA,radar móvil,Calzada De Tlalpan Y,Calle Elvira Dirección Norte,nueva_historica_candidata,>1000 m,TRUE,TRUE,TRUE,TRUE,0,007-SSC-COY-EV-124.54,57,70,NA,radar fijo,Hidalgo ,Tlamanalco
2023,2023_488720_2142110,488719.8637480818,2142110.1828828044,1,019-SSC-IZP-EV-124.150,radar fijo,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,2022,2023,1413.2822078692082,2022_489954_2142799,JVEF010,radar fijo,1413.2822078692082,2019,2019_489954_2142799,JVEF010,radar fijo,AUN /   Fernando Alencastre,y Av. de los Constituyentes,nueva_historica_candidata,>1000 m,TRUE,TRUE,TRUE,TRUE,0,019-SSC-IZP-EV-124.150,69,82,NA,radar fijo,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos
2023,2023_490047_2148199,490047.2074097959,2148199.0154452655,1,013-SSC-VCA-EV-124.102,radar fijo,Ote. 176,Ote. 178,2022,2023,909.9166587136898,2022_489936_2147296,RVEF011,radar fijo,909.9166587136898,2019,2019_489936_2147296,RVEF011,radar fijo,Eje Central Lázaro Cárdenas,y Fortuna,nueva_historica_candidata,500–1000 m,TRUE,TRUE,TRUE,FALSE,0,013-SSC-VCA-EV-124.102,63,76,NA,radar fijo,Ote. 176,Ote. 178
2023,2023_482792_2150998,482791.9494018213,2150997.9577649888,1,VVEF009,radar fijo,"Circuito Bicentenario,Instituto Técnico Industrial Y",Calle Eligio Ancona,2022,2023,817.0859564856246,2022_483252_2150323,VVEF001,radar fijo,817.0859564856246,2019,2019_483252_2150323,VVEF001,radar fijo,Av.608,y Av. 508,nueva_historica_candidata,500–1000 m,TRUE,TRUE,TRUE,FALSE,0,VVEF009 ,28,41,NA,radar fijo,"Circuito Bicentenario,Instituto Técnico Industrial Y",Calle Eligio Ancona
