anio,tipo,num,num_disp,calle1,calle2,y,x,id,num_disp_2
2023,radar fijo,52,65,Camino A Nextengo,Aquiles Elourdy,19.4730521,-99.1890999,002-SSC-AZC-EV-124.14,NA
2024,radar fijo,2,2,Camino A Nextengo,Aquiles Elourdy,19.4730521,-99.1890999,002-SSC-AZC-EV-124.14,NA
2023,radar fijo,54,67,Cto. Cuemanco Nte.,Antiguo Canal De Cuemanco,19.2946796,-99.1021011,004-SSC-XOC-FC-124.30,NA
2024,radar fijo,4,4,Cto. Cuemanco Nte,Antiguo Canal De Cuemanco,19.2946796,-99.1021011,004-SSC-XOC-FC-124.30,NA
2023,radar fijo,55,68,Avena,Añil,19.4024604,-99.0977499,005-SSC-IZT-FC-124.38,NA
2024,radar fijo,5,5,Avena,Añil,19.4024604,-99.0977499,005-SSC-IZT-FC-124.38,NA
2023,radar fijo,57,70,Hidalgo ,Tlamanalco,19.3070388,-99.1433099,007-SSC-COY-EV-124.54,NA
2024,radar fijo,7,7,Hidalgo ,Tlamanalco,19.3070388,-99.1433099,007-SSC-COY-EV-124.54,NA
2023,radar fijo,60,73,Debussy,Meyeber,19.4678526,-99.1395186,010-SSC-GAM-EV-124.78,NA
2024,radar fijo,10,10,Debussy,Meyeber,19.4678526,-99.1395186,010-SSC-GAM-EV-124.78,NA
2023,radar fijo,62,75,Ote. 144,Ote. 146,19.4321581,-99.1029554,012-SSC-VCA-FC-124.94,NA
2024,radar fijo,12,12,Ote. 144,Ote.146,19.4321581,-99.1029554,012-SSC-VCA-FC-124.94,NA
2023,radar fijo,63,76,Ote. 176,Ote. 178,19.4280946,-99.0948085,013-SSC-VCA-EV-124.102,NA
2024,radar fijo,13,13,Ote. 176,Ote. 178,19.4280946,-99.0948085,013-SSC-VCA-EV-124.102,NA
2023,radar fijo,69,82,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,19.3730611,-99.1074164,019-SSC-IZP-EV-124.150,NA
2024,radar fijo,19,19,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,19.3730611,-99.1074164,019-SSC-IZP-EV-124.150,NA
2023,radar fijo,76,89,José Guadalupe Gómez,Rojo Gómez,19.3563236,-99.0862147,026-SSC-IZP-FC-124.206,NA
2024,radar fijo,26,26,Jose Guadalupe Gomez,Rojo Gomez,19.3563236,-99.0862147,026-SSC-IZP-FC-124.206,NA
2023,radar fijo,85,98,Pte. 112,Pte. 116,19.4765952,-99.1328328,035-SSC-GAM-EV-119.22,NA
2024,radar fijo,35,35,Pte 112,Pte. 116,19.4765952,-99.1328328,035-SSC-GAM-EV-119.22,NA
