id_raw,tipo_raw,calle1_raw,calle2_raw,x_utm,y_utm,distancia_historica_m,distancia_raw_m
004-SSC-XOC-FC-124.30,radar fijo,Cto. Cuemanco Nte.,Antiguo Canal De Cuemanco,489272.9238442253,2133436.778496281,3448.219921370266,0
026-SSC-IZP-FC-124.206,radar fijo,José Guadalupe Gómez,Rojo Gómez,490945.398817397,2140256.8922951436,2728.2752691377186,0
002-SSC-AZC-EV-124.14,radar fijo,Camino A Nextengo,Aquiles Elourdy,480154.14502876386,2153181.8866764423,1922.4086102680392,0
VVEF010 ,radar fijo,Avenida Constituyentes Y,Camino De Los Toros,478765.0149026487,2145796.509127491,1504.450453532091,0
007-SSC-COY-EV-124.54,radar fijo,Hidalgo ,Tlamanalco,484944.5167967457,2134807.4085839503,1429.6503481068316,0
019-SSC-IZP-EV-124.150,radar fijo,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,488719.8637480818,2142110.1828828044,1413.2822078692082,0
005-SSC-IZT-FC-124.38,radar fijo,Avena,Añil,489736.81670430576,2145362.688766255,1136.038810114453,0
012-SSC-VCA-FC-124.94,radar fijo,Ote. 144,Ote. 146,489192.2314362317,2148649.1453568065,1048.5208430303544,0
013-SSC-VCA-EV-124.102,radar fijo,Ote. 176,Ote. 178,490047.2074097959,2148199.0154452655,909.9166587136898,0
VVEF009 ,radar fijo,"Circuito Bicentenario,Instituto Técnico Industrial Y",Calle Eligio Ancona,482791.9494018213,2150997.9577649888,817.0859564856246,0
035-SSC-GAM-EV-119.22,radar fijo,Pte. 112,Pte. 116,486059.6368247859,2153568.413497444,629.9920978787975,4.656612873077393e-10
010-SSC-GAM-EV-124.78,radar fijo,Debussy,Meyeber,485357.1978931763,2152601.5680331606,588.1641111026624,0
