id_raw,tipo_raw,calle1_raw,calle2_raw,x_utm,y_utm,distancia_historica_m,distancia_raw_m,distancia_fotocivica_2022_m,ubi_2022,no_2022,via_2022,ubicacion_2022,sentido_2022,rango_2022,ausente_2022_100m,ausente_2022_250m,ausente_2022_500m
004-SSC-XOC-FC-124.30,radar fijo,Cto. Cuemanco Nte.,Antiguo Canal De Cuemanco,489272.9238442253,2133436.778496281,3448.219921370266,0,731.423279634939,55,9,Anillo Perif?rico,Anillo Perif?rico y Embarcadero del Parque Ecol?gico de Xochimilco,Poniente a Oriente,500–1000 m,TRUE,TRUE,TRUE
026-SSC-IZP-FC-124.206,radar fijo,José Guadalupe Gómez,Rojo Gómez,490945.398817397,2140256.8922951436,2728.2752691377186,0,1339.1915521672108,133,8,San Lorenzo y Eje 8 Sur,San Lorenzo,Sur a Norte,>1000 m,TRUE,TRUE,TRUE
002-SSC-AZC-EV-124.14,radar fijo,Camino A Nextengo,Aquiles Elourdy,480154.14502876386,2153181.8866764423,1922.4086102680392,0,1922.4086102680394,42,42,Av. Aquiles Serd?n,Av. Aquiles Serd?n y Av. Tezozomoc,Sur a Norte,>1000 m,TRUE,TRUE,TRUE
VVEF010,radar fijo,Avenida Constituyentes Y,Camino De Los Toros,478765.0149026487,2145796.509127491,1504.450453532091,0,2.6775524020195007e-9,78,32,Av. Constituyentes,Av. Constituyentes y Camino de los Toros,Poniente a Oriente,≤10 m,FALSE,FALSE,FALSE
007-SSC-COY-EV-124.54,radar fijo,Hidalgo,Tlamanalco,484944.5167967457,2134807.4085839503,1429.6503481068316,0,2430.737019985839,65,19,Calz. De Tlalpan,Calz. De Tlalpan y Museo,Norte a Sur,>1000 m,TRUE,TRUE,TRUE
019-SSC-IZP-EV-124.150,radar fijo,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,488719.8637480818,2142110.1828828044,1413.2822078692082,0,1413.2822078692082,85,39,Circuito Bicentenario Av. Rio Churubusco,Circuito Bicentenario Av. Rio Churubusco y Gerentes,Sur a Norte,>1000 m,TRUE,TRUE,TRUE
005-SSC-IZT-FC-124.38,radar fijo,Avena,Añil,489736.81670430576,2145362.688766255,1136.038810114453,0,1934.0022028853325,45,45,Calz. Gral. Ignacio Zaragoza,Calz Gral. Ignacio Zaragoza y Circuito Bicentenario Boulevard Puerto  A?reo,Poniente a Oriente,>1000 m,TRUE,TRUE,TRUE
012-SSC-VCA-FC-124.94,radar fijo,Ote. 144,Ote. 146,489192.2314362317,2148649.1453568065,1048.5208430303544,0,983.5838840153262,80,34,Av. Ocean?a,Av. Ocean?a y Pablo R. Sidar,Poniente a Oriente,500–1000 m,TRUE,TRUE,TRUE
013-SSC-VCA-EV-124.102,radar fijo,Ote. 176,Ote. 178,490047.2074097959,2148199.0154452655,909.9166587136898,0,909.9166587136898,41,41,Calz. Gral. Ignacio Zaragoza,Calz. Gral. Ignacio Zaragoza y Circuito Bicentenario Boulevard Puerto  A?reo,Oriente a Poniente,500–1000 m,TRUE,TRUE,TRUE
VVEF009,radar fijo,"Circuito Bicentenario,Instituto Técnico Industrial Y",Calle Eligio Ancona,482791.9494018213,2150997.9577649888,817.0859564856246,0,0,74,28,Circuito Bicentenario Instituto T?cnico Industrial,Circuito Bicentenario Instituto T?cnico Industrial y Calle Eligio Ancona,Sur a Norte,≤10 m,FALSE,FALSE,FALSE
035-SSC-GAM-EV-119.22,radar fijo,Pte. 112,Pte. 116,486059.6368247859,2153568.413497444,629.9920978787975,4.656612873077393e-10,389.13172474499163,81,35,Av. Insurgentes Nte.,Av. Insurgentes Nte. y Pte. 112,Sur a Norte,250–500 m,TRUE,TRUE,FALSE
010-SSC-GAM-EV-124.78,radar fijo,Debussy,Meyeber,485357.1978931763,2152601.5680331606,588.1641111026624,0,396.92638759424034,137,12,Eje Central Lázaro Cárdenas y Circuito Bicentenario Paseo de las Jacarandas,Eje Central Lázaro Cárdenas,Sur a Norte,250–500 m,TRUE,TRUE,FALSE
