id_raw,calle1_raw,calle2_raw,distancia_historica_m,distancia_fotocivica_2022_m,ubi_2022,no_2022,via_2022,ubicacion_2022,sentido_2022,rango_2022
007-SSC-COY-EV-124.54,Hidalgo,Tlamanalco,1429.6503481068316,2430.737019985839,65,19,Calz. De Tlalpan,Calz. De Tlalpan y Museo,Norte a Sur,>1000 m
005-SSC-IZT-FC-124.38,Avena,Añil,1136.038810114453,1934.0022028853325,45,45,Calz. Gral. Ignacio Zaragoza,Calz Gral. Ignacio Zaragoza y Circuito Bicentenario Boulevard Puerto  A?reo,Poniente a Oriente,>1000 m
002-SSC-AZC-EV-124.14,Camino A Nextengo,Aquiles Elourdy,1922.4086102680392,1922.4086102680394,42,42,Av. Aquiles Serd?n,Av. Aquiles Serd?n y Av. Tezozomoc,Sur a Norte,>1000 m
019-SSC-IZP-EV-124.150,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,1413.2822078692082,1413.2822078692082,85,39,Circuito Bicentenario Av. Rio Churubusco,Circuito Bicentenario Av. Rio Churubusco y Gerentes,Sur a Norte,>1000 m
026-SSC-IZP-FC-124.206,José Guadalupe Gómez,Rojo Gómez,2728.2752691377186,1339.1915521672108,133,8,San Lorenzo y Eje 8 Sur,San Lorenzo,Sur a Norte,>1000 m
012-SSC-VCA-FC-124.94,Ote. 144,Ote. 146,1048.5208430303544,983.5838840153262,80,34,Av. Ocean?a,Av. Ocean?a y Pablo R. Sidar,Poniente a Oriente,500–1000 m
013-SSC-VCA-EV-124.102,Ote. 176,Ote. 178,909.9166587136898,909.9166587136898,41,41,Calz. Gral. Ignacio Zaragoza,Calz. Gral. Ignacio Zaragoza y Circuito Bicentenario Boulevard Puerto  A?reo,Oriente a Poniente,500–1000 m
004-SSC-XOC-FC-124.30,Cto. Cuemanco Nte.,Antiguo Canal De Cuemanco,3448.219921370266,731.423279634939,55,9,Anillo Perif?rico,Anillo Perif?rico y Embarcadero del Parque Ecol?gico de Xochimilco,Poniente a Oriente,500–1000 m
010-SSC-GAM-EV-124.78,Debussy,Meyeber,588.1641111026624,396.92638759424034,137,12,Eje Central Lázaro Cárdenas y Circuito Bicentenario Paseo de las Jacarandas,Eje Central Lázaro Cárdenas,Sur a Norte,250–500 m
035-SSC-GAM-EV-119.22,Pte. 112,Pte. 116,629.9920978787975,389.13172474499163,81,35,Av. Insurgentes Nte.,Av. Insurgentes Nte. y Pte. 112,Sur a Norte,250–500 m
VVEF010,Avenida Constituyentes Y,Camino De Los Toros,1504.450453532091,2.6775524020195007e-9,78,32,Av. Constituyentes,Av. Constituyentes y Camino de los Toros,Poniente a Oriente,≤10 m
VVEF009,"Circuito Bicentenario,Instituto Técnico Industrial Y",Calle Eligio Ancona,817.0859564856246,0,74,28,Circuito Bicentenario Instituto T?cnico Industrial,Circuito Bicentenario Instituto T?cnico Industrial y Calle Eligio Ancona,Sur a Norte,≤10 m
