id_raw,calle1_raw,calle2_raw,distancia_historica_m,distancia_fotocivica_2022_m,via_2022,ubicacion_2022,distancia_linea_2022_m,via_linea_2022,ubicacion_linea_2022,distancia_infraestructura_2022_m,tratamiento_250m,tratamiento_500m,tratamiento_1000m
007-SSC-COY-EV-124.54,Hidalgo,Tlamanalco,1429.6503481068316,2430.737019985839,Calz. De Tlalpan,Calz. De Tlalpan y Museo,3833.937745421872,Miguel Ángel de Quevedo - Taxqueña - Canal de Miramontes,Entre Av. Melchor Ocampo y Calle Cerro del Sombrero,2430.737019985839,TRUE,TRUE,TRUE
002-SSC-AZC-EV-124.14,Camino A Nextengo,Aquiles Elourdy,1922.4086102680392,1922.4086102680392,Av. Aquiles Serd?n,Av. Aquiles Serd?n y Av. Tezozomoc,1469.4971637794104,Eje 3 Norte,Entre Av. Ceylan y Mariano Escobedo,1469.4971637794104,TRUE,TRUE,TRUE
019-SSC-IZP-EV-124.150,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,1413.2822078692082,1413.2822078692082,Circuito Bicentenario Av. Rio Churubusco,Circuito Bicentenario Av. Rio Churubusco y Gerentes,3545.0121749813825,Calz. de Tlalpan,Entre Eje 5 Sur y Viaducto,1413.2822078692082,TRUE,TRUE,TRUE
026-SSC-IZP-FC-124.206,José Guadalupe Gómez,Rojo Gómez,2728.2752691377186,1339.1915521672108,San Lorenzo y Eje 8 Sur,San Lorenzo,4996.235476096437,Calz. Ermita Iztapalapa,Entre Calle 39 y Calle 17,1339.1915521672108,TRUE,TRUE,TRUE
005-SSC-IZT-FC-124.38,Avena,Añil,1136.038810114453,1934.0022028853325,Calz. Gral. Ignacio Zaragoza,Calz Gral. Ignacio Zaragoza y Circuito Bicentenario Boulevard Puerto  A?reo,1136.0392869650445,Circuito Bicentenario Blvd. Puerto Aéreo,Entre Calle 9 y Av. 12,1136.0392869650445,TRUE,TRUE,TRUE
012-SSC-VCA-FC-124.94,Ote. 144,Ote. 146,1048.5208430303544,983.5838840153262,Av. Ocean?a,Av. Ocean?a y Pablo R. Sidar,1766.8761291152791,Eje 1 Norte,Entre Av. del Trabajo y Congreso de la Unión,983.5838840153262,TRUE,TRUE,FALSE
013-SSC-VCA-EV-124.102,Ote. 176,Ote. 178,909.9166587136898,909.9166587136898,Calz. Gral. Ignacio Zaragoza,Calz. Gral. Ignacio Zaragoza y Circuito Bicentenario Boulevard Puerto  A?reo,1532.5741645705841,Circuito Bicentenario Blvd. Puerto Aéreo,Entre Calle 9 y Av. 12,909.9166587136898,TRUE,TRUE,FALSE
004-SSC-XOC-FC-124.30,Cto. Cuemanco Nte.,Antiguo Canal De Cuemanco,3448.219921370266,731.423279634939,Anillo Perif?rico,Anillo Perif?rico y Embarcadero del Parque Ecol?gico de Xochimilco,6595.826304845936,Miguel Ángel de Quevedo - Taxqueña - Canal de Miramontes,Entre Av. Melchor Ocampo y Calle Cerro del Sombrero,731.423279634939,TRUE,TRUE,FALSE
010-SSC-GAM-EV-124.78,Debussy,Meyeber,588.1641111026624,396.92638759424034,Eje Central Lázaro Cárdenas y Circuito Bicentenario Paseo de las Jacarandas,Eje Central Lázaro Cárdenas,391.3912165682539,Eje Central,Entre Av. Paseo de la Reforma y Circuito Bicentenario,391.3912165682539,TRUE,FALSE,FALSE
035-SSC-GAM-EV-119.22,Pte. 112,Pte. 116,629.9920978787975,389.1317247449916,Av. Insurgentes Nte.,Av. Insurgentes Nte. y Pte. 112,682.4921761040287,Eje 3 Norte,Entre Calz. de los Misterios y Vallejo,389.1317247449916,TRUE,FALSE,FALSE
