id_radar,tratamiento_500m,tratamiento_1000m,total_accidentes_250m,total_accidentes_500m,total_accidentes_1000m,media_mensual_250m,media_mensual_500m,media_mensual_1000m
010-SSC-GAM-EV-124.78,FALSE,FALSE,1887,10309,26342,15.467213114754099,84.5,215.91803278688525
019-SSC-IZP-EV-124.150,TRUE,TRUE,1042,6347,17175,8.540983606557377,52.02459016393443,140.77868852459017
013-SSC-VCA-EV-124.102,TRUE,FALSE,1211,5512,15987,9.926229508196721,45.18032786885246,131.04098360655738
026-SSC-IZP-FC-124.206,TRUE,TRUE,3449,5438,10961,28.270491803278688,44.57377049180328,89.84426229508196
004-SSC-XOC-FC-124.30,TRUE,FALSE,3097,4224,7436,25.385245901639344,34.622950819672134,60.950819672131146
005-SSC-IZT-FC-124.38,TRUE,TRUE,2479,3945,13322,20.31967213114754,32.33606557377049,109.19672131147541
012-SSC-VCA-FC-124.94,TRUE,FALSE,750,3580,12644,6.147540983606557,29.34426229508197,103.63934426229508
007-SSC-COY-EV-124.54,TRUE,TRUE,1321,3250,11142,10.827868852459016,26.639344262295083,91.32786885245902
035-SSC-GAM-EV-119.22,FALSE,FALSE,1609,3119,14857,13.188524590163935,25.565573770491802,121.77868852459017
002-SSC-AZC-EV-124.14,TRUE,TRUE,1105,2986,11326,9.057377049180328,24.475409836065573,92.8360655737705
