mes,accidentes_250m,accidentes_500m,accidentes_1000m
2014-01-01,67,203,583
2014-02-01,72,171,522
2014-03-01,109,299,723
2014-04-01,80,224,647
2014-05-01,100,231,681
2014-06-01,104,244,662
2014-07-01,119,233,602
2014-08-01,84,214,673
2014-09-01,96,246,686
2014-10-01,96,268,741
2014-11-01,113,258,684
2014-12-01,134,288,811
2015-01-01,101,238,624
2015-02-01,100,248,636
2015-03-01,113,253,710
2015-04-01,115,231,605
2015-05-01,117,308,704
2015-06-01,110,262,715
2015-07-01,96,237,623
2015-08-01,111,263,682
2015-09-01,137,289,829
2015-10-01,127,290,861
2015-11-01,130,273,812
2015-12-01,145,276,793
2016-01-01,94,247,655
2016-02-01,115,250,642
2016-03-01,74,227,618
2016-04-01,71,197,618
2016-05-01,96,211,578
2016-06-01,94,239,656
2016-07-01,100,242,736
2016-08-01,114,314,839
2016-09-01,108,297,814
2016-10-01,129,285,822
2016-11-01,148,334,887
2016-12-01,144,338,916
2017-01-01,138,300,796
2017-02-01,129,304,849
2017-03-01,136,322,905
2017-04-01,89,177,579
2017-05-01,94,320,856
2017-06-01,97,288,807
2017-07-01,107,293,739
2017-08-01,126,310,841
2017-09-01,118,255,786
2017-10-01,140,309,892
2017-11-01,164,323,874
2017-12-01,114,307,887
2018-01-01,120,337,833
2018-02-01,96,226,695
2018-03-01,115,327,870
2018-04-01,132,333,922
2018-05-01,193,370,951
2018-06-01,141,376,994
2018-07-01,125,291,798
2018-08-01,177,390,1046
2018-09-01,155,363,880
2018-10-01,136,349,982
2018-11-01,122,292,866
2018-12-01,167,436,1159
2019-01-01,101,215,704
2019-02-01,131,337,837
2019-03-01,149,363,1025
2019-04-01,100,285,785
2019-05-01,129,323,836
2019-06-01,139,330,965
2019-07-01,104,289,854
2019-08-01,139,356,964
2019-09-01,142,361,953
2019-10-01,150,373,1104
2019-11-01,129,361,1101
2019-12-01,219,466,1115
2020-01-01,133,309,903
2020-02-01,136,347,928
2020-03-01,132,297,817
2020-04-01,68,168,438
2020-05-01,60,152,367
2020-06-01,71,158,462
2020-07-01,67,201,576
2020-08-01,89,215,588
2020-09-01,73,197,558
2020-10-01,116,270,803
2020-11-01,100,287,782
2020-12-01,91,208,661
2021-01-01,79,198,587
2021-02-01,112,256,632
2021-03-01,205,363,950
2021-04-01,66,229,742
2021-05-01,128,278,860
2021-06-01,116,276,823
2021-07-01,103,244,715
2021-08-01,69,228,744
2021-09-01,114,283,914
2021-10-01,111,270,911
2021-11-01,145,320,971
2021-12-01,119,315,980
2022-01-01,92,254,751
2022-02-01,110,270,803
2022-03-01,138,310,903
2022-04-01,120,318,971
2022-05-01,157,360,1042
2022-06-01,120,330,950
2022-07-01,113,377,1028
2022-08-01,149,341,979
2022-09-01,125,361,1041
2022-10-01,168,405,1165
2022-11-01,139,359,1046
2022-12-01,119,314,1105
2023-01-01,93,231,754
2023-02-01,123,310,921
2023-03-01,165,339,1038
2023-04-01,125,287,928
2023-05-01,159,333,911
2023-06-01,113,274,864
2023-07-01,119,297,866
2023-08-01,110,296,872
2023-09-01,108,284,953
2023-10-01,120,345,993
2023-11-01,164,365,983
2023-12-01,185,395,1138
2024-01-01,109,301,888
2024-02-01,82,272,948
