id_control,total_accidentes_250m,total_accidentes_500m,total_accidentes_1000m,media_mensual_500m
CTRL_057,4816,10325,25804,84.6311475409836
CTRL_100,6274,9318,18246,76.37704918032787
CTRL_029,2954,8541,24109,70.00819672131148
CTRL_022,1469,8501,22731,69.68032786885246
CTRL_070,5634,8333,17758,68.30327868852459
CTRL_016,2207,8213,21753,67.31967213114754
CTRL_087,2366,7288,21737,59.73770491803279
CTRL_035,4728,7248,14231,59.40983606557377
CTRL_086,2508,7220,21948,59.18032786885246
CTRL_060,1422,7126,20108,58.40983606557377
CTRL_028,3035,6985,16401,57.25409836065574
CTRL_075,1327,6962,21950,57.0655737704918
CTRL_033,2471,6883,17324,56.41803278688525
CTRL_012,2326,6766,22903,55.459016393442624
CTRL_062,3415,6747,13678,55.30327868852459
CTRL_076,1757,6699,24380,54.90983606557377
CTRL_109,1172,6693,16593,54.86065573770492
CTRL_067,1425,6686,26325,54.80327868852459
CTRL_063,1755,6547,12107,53.66393442622951
CTRL_081,2019,6506,20162,53.32786885245902
CTRL_003,1629,6444,21313,52.81967213114754
CTRL_040,1727,6263,23254,51.33606557377049
CTRL_034,2203,6256,26859,51.278688524590166
CTRL_054,3878,6246,21332,51.19672131147541
CTRL_045,890,6224,15816,51.01639344262295
CTRL_078,1556,6084,13927,49.868852459016395
CTRL_027,2016,6023,25970,49.368852459016395
CTRL_025,1621,5952,22171,48.78688524590164
CTRL_107,2156,5836,19067,47.83606557377049
CTRL_049,1524,5813,21175,47.64754098360656
CTRL_098,2417,5770,18575,47.295081967213115
CTRL_073,3098,5720,16355,46.885245901639344
CTRL_074,3098,5720,16355,46.885245901639344
CTRL_108,2846,5627,13434,46.122950819672134
CTRL_085,2852,5620,13209,46.0655737704918
CTRL_064,611,5599,24628,45.89344262295082
CTRL_083,2518,5548,19649,45.47540983606557
CTRL_010,2484,5536,19650,45.377049180327866
CTRL_056,2727,5527,18162,45.30327868852459
CTRL_094,878,5497,16570,45.057377049180324
CTRL_082,2971,5487,18101,44.97540983606557
CTRL_102,2971,5487,18101,44.97540983606557
CTRL_032,2927,5381,9721,44.10655737704918
CTRL_015,1023,5323,22307,43.631147540983605
CTRL_072,1502,5309,16110,43.51639344262295
CTRL_006,922,5085,23085,41.68032786885246
CTRL_013,448,5076,16789,41.60655737704918
CTRL_011,1322,5064,18439,41.50819672131148
CTRL_055,1874,5053,21012,41.41803278688525
CTRL_103,785,5035,15388,41.27049180327869
CTRL_002,2516,5026,23250,41.19672131147541
CTRL_099,3076,4975,11288,40.778688524590166
CTRL_096,2129,4961,22198,40.66393442622951
CTRL_039,1752,4938,17086,40.47540983606557
CTRL_050,1764,4897,15529,40.13934426229508
CTRL_106,1630,4830,18664,39.59016393442623
CTRL_019,2348,4827,18581,39.5655737704918
CTRL_024,2815,4775,8989,39.13934426229508
CTRL_018,1613,4697,13956,38.5
CTRL_053,3371,4652,11330,38.131147540983605
CTRL_101,3371,4652,11330,38.131147540983605
CTRL_008,3265,4651,11389,38.122950819672134
CTRL_095,434,4618,10256,37.85245901639344
CTRL_041,1655,4548,19803,37.278688524590166
CTRL_031,1269,4535,10474,37.17213114754098
CTRL_043,1177,4474,14420,36.67213114754098
CTRL_112,1974,4455,19746,36.51639344262295
CTRL_080,1905,4427,14445,36.28688524590164
CTRL_088,1841,4394,17425,36.01639344262295
CTRL_091,790,4325,10736,35.450819672131146
CTRL_071,1823,4282,15874,35.09836065573771
CTRL_113,661,4261,15304,34.92622950819672
CTRL_104,1321,4260,17903,34.91803278688525
CTRL_051,2729,4202,12768,34.442622950819676
CTRL_014,1771,4191,15311,34.35245901639344
CTRL_036,2326,4173,14363,34.204918032786885
CTRL_004,1401,4085,18440,33.48360655737705
CTRL_017,1656,4057,9884,33.25409836065574
CTRL_001,1250,4026,18816,33
CTRL_079,1869,3974,9328,32.57377049180328
CTRL_009,2634,3972,14416,32.557377049180324
CTRL_030,884,3966,17185,32.50819672131148
CTRL_042,848,3639,14045,29.827868852459016
CTRL_068,824,3623,9316,29.69672131147541
CTRL_093,1439,3473,16143,28.4672131147541
CTRL_066,1266,3459,13945,28.352459016393443
CTRL_110,1049,3434,8555,28.147540983606557
CTRL_026,2165,3403,10062,27.89344262295082
CTRL_052,2063,3326,10057,27.262295081967213
CTRL_044,1459,3325,13905,27.25409836065574
CTRL_105,1085,3311,19785,27.139344262295083
CTRL_090,924,3290,11375,26.9672131147541
CTRL_059,1395,3177,10920,26.040983606557376
CTRL_005,1963,3074,8166,25.19672131147541
CTRL_061,1706,3044,17370,24.950819672131146
CTRL_097,517,2999,8245,24.581967213114755
CTRL_047,1139,2942,8720,24.114754098360656
CTRL_007,667,2929,15035,24.008196721311474
CTRL_038,885,2880,19217,23.60655737704918
CTRL_058,1790,2551,10161,20.90983606557377
CTRL_092,386,2529,14257,20.729508196721312
CTRL_069,876,2405,11046,19.71311475409836
CTRL_046,952,2384,16035,19.540983606557376
CTRL_089,856,2273,9609,18.631147540983605
CTRL_037,1148,2188,11331,17.934426229508198
CTRL_084,755,2186,11000,17.918032786885245
CTRL_048,1037,2094,12111,17.16393442622951
CTRL_111,221,1276,7311,10.459016393442623
