id_control,ubi,no,via_princi,ubicacion,sentido,x_utm,y_utm,distancia_tratado_m
CTRL_001,52,6,Viaducto R?o de la Piedad,Viaducto R?o de la Piedad y 1ro de Mayo,Poniente a Oriente,487430.19436023873,2145712.068898416,2332.9322996817054
CTRL_002,3,3,Circuito Bicentenario Maestro Jos? Vasconcelos,Circuito Bicentenario Maestro Jos? Vasconcelos y Av. Benjam?n Franklin,Norte a Sur,480660.9939688194,2145978.3235605294,7221.372266610895
CTRL_003,2,2,Fray Servando,Escuela M?dico Militar - Jos? Antonio Torres Xocongo y Fray Servando Teresa de Mier,Poniente a Oriente,486230.08932339784,2147700.636394946,3110.2982409012816
CTRL_004,27,27,Eje Central,Eje Central L?zaro C?rdenas y Av. Ricardo Flores Mag?n,Sur a Norte,485473.0737431347,2150577.1100179497,4189.174343559834
CTRL_005,90,44,Perif?rico 2P S-N,Perif?rico 2P S-N / R?o San ?ngel y Rinc. Atlamaya,Norte a Sur,479001.96982659993,2140036.663896595,7915.742265714152
CTRL_006,97,51,Autopista Urbana Norte (AUN),AUN / Av. R?o Becerra y 11 de Abril,Norte a Sur,480185.31491420575,2144572.32465534,8609.61844433105
CTRL_007,89,43,Perif?rico 2P S-N,Perif?rico 2P S-N / Etna y Ajusco,Norte a Sur,479642.1121701955,2140607.6775308824,7858.664942622674
CTRL_008,5,5,Universidad,Eje 9 Sur Miguel ?ngel de Quevedo y Av. Universidad,Sur a Norte,481080.8376463651,2139218.869400922,5864.213767996923
CTRL_009,85,39,Circuito Bicentenario Av. Rio Churubusco,Circuito Bicentenario Av. Rio Churubusco y Gerentes,Sur a Norte,489954.0882078002,2142798.700552957,1413.2822078692082
CTRL_010,18,18,Eje 1 Oriente,"Eje 1 Oriente Av. del Trabajo, Eje 2 Norte Canal del Norte y Av. Circunvalaci?n",Norte a Sur,486905.7239654484,2150856.4105014415,3178.0710867865164
CTRL_011,20,20,Eje 1 Poniente Guerrero,Eje 1 Poniente Guerrero y Eje 2 Norte Manuel Gonz?lez,Norte a Sur,484775.7907100563,2151318.2889615246,4983.232409436252
CTRL_012,33,33,Arcos de Bel?n,Jose Maria Izazaga y Eje Central L?zaro C?rdenas,Oriente a Poniente,485106.8579642713,2148035.2566221436,4131.239013170746
CTRL_013,81,35,Av. Insurgentes Nte.,Av. Insurgentes Nte. y Pte. 112,Sur a Norte,485858.0666730109,2153235.557713182,5670.258633520978
CTRL_014,40,40,Av. Marina Nacional,Av. Marina Nacional y Felipe Carrillo Puerto,Sur a Norte,480521.5908068849,2150854.5661406014,2356.1488230597656
CTRL_015,136,11,Av. Rivera de San Cosme y Santa Mar?a La Rivera,Av. San Cosme,Oriente a Poniente,483375.9580859721,2149629.4000398894,4795.856615713713
CTRL_016,47,1,Av. Paseo de la Reforma,Av. Paseo de la Reforma y Estela  de Luz,Oriente a Poniente,481586.4658871726,2147706.6487749,5659.485234534896
CTRL_017,46,46,Poniente a Oriente,Av. Cuitl?huac,19.473673,483324.71583814407,2153247.3819637955,3171.2472136305223
CTRL_018,94,48,Autopista Urbana Norte (AUN),AUN /Gral. Juan Cabral y Batalla de Celaya,Sur a Norte,477507.0446918593,2149391.0413915343,4623.596886380791
CTRL_019,50,4,Fray Servando Teresa de Mier,Fray Servando Teresa de Mier y Cucurpe,Poniente a Oriente,487560.8501315193,2147473.176356762,2011.046506282294
CTRL_022,11,11,Chapultepec,Chapultepec - Sonora - Lieja,Oriente a Poniente,481740.3255781062,2147456.3054555757,5941.232957211224
