folio,fecha_creacion,colonia_fuente,alcaldia_fuente,id_colonia,colonia,id_alcaldia,alcaldia
AO/150320/01990,2015-03-20,CRUZ ROJA TEPANTONGO (U HAB),AZCAPOTZALCO,02-012,CRUZ ROJA TEPANTONGO (U HAB),2,AZCAPOTZALCO
AO/150320/01990,2015-03-20,CRUZ ROJA TEPANTONGO (U HAB),AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
AO/150320/02274,2015-03-20,CRUZ ROJA TEPANTONGO (U HAB),AZCAPOTZALCO,02-012,CRUZ ROJA TEPANTONGO (U HAB),2,AZCAPOTZALCO
AO/150320/02274,2015-03-20,CRUZ ROJA TEPANTONGO (U HAB),AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
AO/180318/06431,2018-03-18,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
AO/180318/06431,2018-03-18,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-083,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),2,AZCAPOTZALCO
AO/180731/02404,2018-07-31,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
AO/180731/02404,2018-07-31,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-083,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),2,AZCAPOTZALCO
AO/201119/05575,2020-11-19,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
AO/201119/05575,2020-11-19,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-083,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),2,AZCAPOTZALCO
AO/210227/00697,2021-02-27,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
AO/210227/00697,2021-02-27,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-083,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),2,AZCAPOTZALCO
C2N/20210429/00042,2021-04-29,TORRES DE SAN JUAN (U HAB),GUSTAVO A. MADERO,05-163,SAN JUAN III (U HAB),5,GUSTAVO A. MADERO
C2N/20210429/00042,2021-04-29,TORRES DE SAN JUAN (U HAB),GUSTAVO A. MADERO,05-186,TORRES DE SAN JUAN (U HAB),5,GUSTAVO A. MADERO
C2O/20210328/00217,2021-03-28,PRIVADA GAVILAN (U HAB),IZTAPALAPA,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C2O/20210328/00217,2021-03-28,PRIVADA GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20210423/00247,2021-04-23,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C2O/20210423/00247,2021-04-23,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20210424/00011,2021-04-24,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C2O/20210424/00011,2021-04-24,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20210424/00012,2021-04-24,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C2O/20210424/00012,2021-04-24,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20210515/00103,2021-05-15,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C2O/20210515/00103,2021-05-15,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20210515/00107,2021-05-15,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C2O/20210515/00107,2021-05-15,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20210702/00052,2021-07-02,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C2O/20210702/00052,2021-07-02,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20210915/00034,2021-09-15,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C2O/20210915/00034,2021-09-15,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20220407/00183,2022-04-07,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C2O/20220407/00183,2022-04-07,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20220410/00175,2022-04-10,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C2O/20220410/00175,2022-04-10,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20220605/00371,2022-06-05,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C2O/20220605/00371,2022-06-05,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20220731/00150,2022-07-31,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C2O/20220731/00150,2022-07-31,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20230511/00030,2023-05-11,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C2O/20230511/00030,2023-05-11,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2O/20230909/00009,2023-09-09,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C2O/20230909/00009,2023-09-09,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C2P/20210712/00149,2021-07-12,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
C2P/20210712/00149,2021-07-12,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-083,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),2,AZCAPOTZALCO
C2P/20210712/00152,2021-07-12,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
