id_colonia,colonia,id_alcaldia,alcaldia,n_incidentes
15-017,JUAREZ,15,CUAUHTEMOC,15118
07-157,PASEOS DE CHURUBUSCO,7,IZTAPALAPA,10769
08-045,SAN JERONIMO ACULCO - LIDICE (PBLO),8,LA MAGDALENA CONTRERAS,10217
15-009,CUAUHTEMOC,15,CUAUHTEMOC,9804
17-047,PEÑON DE LOS BAÑOS,17,VENUSTIANO CARRANZA,9458
03-037,DEL CARMEN,3,COYOACAN,9229
16-078,TACUBAYA,16,MIGUEL HIDALGO,9193
14-043,SAN PEDRO DE LOS PINOS,14,BENITO JUAREZ,9125
05-226,LINDAVISTA II,5,GUSTAVO A. MADERO,8570
15-042,CENTRO VI,15,CUAUHTEMOC,8367
05-246,SAN JUAN DE ARAGON 4A Y 5A SECCION (U HAB) II,5,GUSTAVO A. MADERO,7839
10-091,JARDINES DEL PEDREGAL,10,ALVARO OBREGON,7795
15-044,CENTRO VIII,15,CUAUHTEMOC,7651
10-010,ALPES,10,ALVARO OBREGON,7609
03-012,CAMPESTRE CHURUBUSCO,3,COYOACAN,7583
16-031,GRANADA,16,MIGUEL HIDALGO,7463
12-177,TLALPAN CENTRO,12,TLALPAN,7403
17-053,PUEBLA,17,VENUSTIANO CARRANZA,7132
04-012,CORREDOR SANTA FE,4,CUAJIMALPA DE MORELOS,7052
15-078,SANTA MARIA LA RIBERA IV,15,CUAUHTEMOC,7014
07-088,GUADALUPE DEL MORAL,7,IZTAPALAPA,6850
15-040,CENTRO IV,15,CUAUHTEMOC,6773
07-215,SANTA MARTHA ACATITLA,7,IZTAPALAPA,6764
16-013,ANZURES,16,MIGUEL HIDALGO,6679
05-225,LINDAVISTA I,5,GUSTAVO A. MADERO,6617
06-050,GRANJAS MEXICO I,6,IZTACALCO,6523
12-049,FUENTES DEL PEDREGAL,12,TLALPAN,6438
13-073,XALTOCAN (BARR),13,XOCHIMILCO,6438
12-160,SAN PEDRO MARTIR (PBLO),12,TLALPAN,6408
16-053,MOLINO DEL REY,16,MIGUEL HIDALGO,6399
15-072,ROMA SUR II,15,CUAUHTEMOC,6375
06-051,GRANJAS MEXICO II,6,IZTACALCO,6347
17-074,IGNACIO ZARAGOZA I,17,VENUSTIANO CARRANZA,6253
07-277,JUAN ESCUTIA I,7,IZTAPALAPA,6238
12-147,SAN ANDRES TOTOLTEPEC (PBLO),12,TLALPAN,6183
