id_colonia,colonia,id_alcaldia,alcaldia,n_fotocivicas_2022
05-225,LINDAVISTA I,5,GUSTAVO A. MADERO,4
15-078,SANTA MARIA LA RIBERA IV,15,CUAUHTEMOC,4
15-042,CENTRO VI,15,CUAUHTEMOC,3
03-012,CAMPESTRE CHURUBUSCO,3,COYOACAN,2
03-019,CHIMALISTAC,3,COYOACAN,2
10-010,ALPES,10,ALVARO OBREGON,2
15-001,ALGARIN,15,CUAUHTEMOC,2
15-009,CUAUHTEMOC,15,CUAUHTEMOC,2
15-051,GUERRERO II,15,CUAUHTEMOC,2
15-053,GUERRERO IV,15,CUAUHTEMOC,2
15-059,NONOALCO-TLATELOLCO (U HAB) I,15,CUAUHTEMOC,2
16-025,DANIEL GARZA (AMPL),16,MIGUEL HIDALGO,2
16-035,IRRIGACION,16,MIGUEL HIDALGO,2
17-045,NICOLAS BRAVO,17,VENUSTIANO CARRANZA,2
02-001,AGUILERA,2,AZCAPOTZALCO,1
02-006,ARENAL,2,AZCAPOTZALCO,1
02-061,PORVENIR,2,AZCAPOTZALCO,1
02-098,SANTO DOMINGO (PBLO),2,AZCAPOTZALCO,1
03-025,COUNTRY CLUB,3,COYOACAN,1
03-106,SANTA CATARINA (BARR),3,COYOACAN,1
03-125,XOTEPINGO,3,COYOACAN,1
05-040,DM NACIONAL,5,GUSTAVO A. MADERO,1
05-071,GUADALUPE INSURGENTES,5,GUSTAVO A. MADERO,1
05-113,LINDAVISTA VALLEJO (U HAB),5,GUSTAVO A. MADERO,1
05-119,MAGDALENA DE LAS SALINAS,5,GUSTAVO A. MADERO,1
05-129,NUEVA INDUSTRIAL VALLEJO (FRACC),5,GUSTAVO A. MADERO,1
05-193,VALLE DEL TEPEYAC,5,GUSTAVO A. MADERO,1
05-223,INDUSTRIAL I,5,GUSTAVO A. MADERO,1
05-246,SAN JUAN DE ARAGON 4A Y 5A SECCION (U HAB) II,5,GUSTAVO A. MADERO,1
06-004,CARLOS ZAPATA VELA,6,IZTACALCO,1
06-019,MILITAR MARTE,6,IZTACALCO,1
06-028,REFORMA IZTACCIHUATL SUR,6,IZTACALCO,1
07-007,AÑO DE JUAREZ,7,IZTAPALAPA,1
07-097,JACARANDAS,7,IZTAPALAPA,1
07-135,LOS REYES (PBLO),7,IZTAPALAPA,1
07-145,MODELO (U),7,IZTAPALAPA,1
07-157,PASEOS DE CHURUBUSCO,7,IZTAPALAPA,1
07-196,SAN MIGUEL (BARR),7,IZTAPALAPA,1
07-245,VICENTE GUERRERO SUPER MANZANA 4 (U HAB),7,IZTAPALAPA,1
07-261,CERRO DE LA ESTRELLA II,7,IZTAPALAPA,1
07-262,CHINAMPAC DE JUAREZ I,7,IZTAPALAPA,1
07-278,JUAN ESCUTIA II,7,IZTAPALAPA,1
07-302,TEPALCATES II,7,IZTAPALAPA,1
07-308,2A AMPLIACION SANTIAGO ACAHUALTEPEC I,7,IZTAPALAPA,1
