anio,accidentes_250m,accidentes_500m,accidentes_1000m,cambio_250m,cambio_500m,cambio_1000m
2014,1174,2879,8015,NA,NA,NA
2015,1402,3168,8594,19.42078364565587,10.03820771101076,7.223955084217093
2016,1287,3181,8781,-8.202567760342372,0.4103535353535248,2.175936700023273
2017,1452,3508,9811,12.82051282051282,10.279786230745058,11.72987131306229
2018,1679,4090,10996,15.633608815426992,16.59064994298747,12.07827948221385
2019,1632,4059,11243,-2.7992852888624187,-0.7579462102689449,2.246271371407782
2020,1136,2809,7883,-30.3921568627451,-30.795762503079573,-29.88526194076314
2021,1367,3260,9829,20.334507042253524,16.0555357778569,24.68603323607763
2022,1550,3999,11784,13.386978785662041,22.668711656441708,19.89012107030217
2023,1584,3756,11221,2.1935483870967776,-6.076519129782443,-4.777664630006784
