mes,accidentes_250m,accidentes_500m,accidentes_1000m,ma12_250m,ma12_500m,ma12_1000m
2014-01-01,67,203,583,NA,NA,NA
2014-02-01,72,171,522,NA,NA,NA
2014-03-01,109,299,723,NA,NA,NA
2014-04-01,80,224,647,NA,NA,NA
2014-05-01,100,231,681,NA,NA,NA
2014-06-01,104,244,662,NA,NA,NA
2014-07-01,119,233,602,NA,NA,NA
2014-08-01,84,214,673,NA,NA,NA
2014-09-01,96,246,686,NA,NA,NA
2014-10-01,96,268,741,NA,NA,NA
2014-11-01,113,258,684,NA,NA,NA
2014-12-01,134,288,811,97.83333333333333,239.91666666666666,667.9166666666666
2015-01-01,101,238,624,100.66666666666667,242.83333333333334,671.3333333333334
2015-02-01,100,248,636,103,249.25,680.8333333333334
2015-03-01,113,253,710,103.33333333333333,245.41666666666666,679.75
2015-04-01,115,231,605,106.25,246,676.25
2015-05-01,117,308,704,107.66666666666667,252.41666666666666,678.1666666666666
2015-06-01,110,262,715,108.16666666666667,253.91666666666666,682.5833333333334
2015-07-01,96,237,623,106.25,254.25,684.3333333333334
2015-08-01,111,263,682,108.5,258.3333333333333,685.0833333333334
2015-09-01,137,289,829,111.91666666666667,261.9166666666667,697
2015-10-01,127,290,861,114.5,263.75,707
2015-11-01,130,273,812,115.91666666666667,265,717.6666666666666
2015-12-01,145,276,793,116.83333333333333,264,716.1666666666666
2016-01-01,94,247,655,116.25,264.75,718.75
2016-02-01,115,250,642,117.5,264.9166666666667,719.25
2016-03-01,74,227,618,114.25,262.75,711.5833333333334
2016-04-01,71,197,618,110.58333333333333,259.9166666666667,712.6666666666666
2016-05-01,96,211,578,108.83333333333333,251.83333333333334,702.1666666666666
2016-06-01,94,239,656,107.5,249.91666666666666,697.25
2016-07-01,100,242,736,107.83333333333333,250.33333333333334,706.6666666666666
2016-08-01,114,314,839,108.08333333333333,254.58333333333334,719.75
2016-09-01,108,297,814,105.66666666666667,255.25,718.5
2016-10-01,129,285,822,105.83333333333333,254.83333333333334,715.25
2016-11-01,148,334,887,107.33333333333333,259.9166666666667,721.5
2016-12-01,144,338,916,107.25,265.0833333333333,731.75
2017-01-01,138,300,796,110.91666666666667,269.5,743.5
2017-02-01,129,304,849,112.08333333333333,274,760.75
2017-03-01,136,322,905,117.25,281.9166666666667,784.6666666666666
2017-04-01,89,177,579,118.75,280.25,781.4166666666666
2017-05-01,94,320,856,118.58333333333333,289.3333333333333,804.5833333333334
2017-06-01,97,288,807,118.83333333333333,293.4166666666667,817.1666666666666
2017-07-01,107,293,739,119.41666666666667,297.6666666666667,817.4166666666666
2017-08-01,126,310,841,120.41666666666667,297.3333333333333,817.5833333333334
2017-09-01,118,255,786,121.25,293.8333333333333,815.25
2017-10-01,140,309,892,122.16666666666667,295.8333333333333,821.0833333333334
2017-11-01,164,323,874,123.5,294.9166666666667,820
2017-12-01,114,307,887,121,292.3333333333333,817.5833333333334
2018-01-01,120,337,833,119.5,295.4166666666667,820.6666666666666
2018-02-01,96,226,695,116.75,288.9166666666667,807.8333333333334
2018-03-01,115,327,870,115,289.3333333333333,804.9166666666666
2018-04-01,132,333,922,118.58333333333333,302.3333333333333,833.5
2018-05-01,193,370,951,126.83333333333333,306.5,841.4166666666666
2018-06-01,141,376,994,130.5,313.8333333333333,857
2018-07-01,125,291,798,132,313.6666666666667,861.9166666666666
2018-08-01,177,390,1046,136.25,320.3333333333333,879
2018-09-01,155,363,880,139.33333333333334,329.3333333333333,886.8333333333334
2018-10-01,136,349,982,139,332.6666666666667,894.3333333333334
2018-11-01,122,292,866,135.5,330.0833333333333,893.6666666666666
2018-12-01,167,436,1159,139.91666666666666,340.8333333333333,916.3333333333334
2019-01-01,101,215,704,138.33333333333334,330.6666666666667,905.5833333333334
2019-02-01,131,337,837,141.25,339.9166666666667,917.4166666666666
2019-03-01,149,363,1025,144.08333333333334,342.9166666666667,930.3333333333334
2019-04-01,100,285,785,141.41666666666666,338.9166666666667,918.9166666666666
2019-05-01,129,323,836,136.08333333333334,335,909.3333333333334
2019-06-01,139,330,965,135.91666666666666,331.1666666666667,906.9166666666666
2019-07-01,104,289,854,134.16666666666666,331,911.5833333333334
2019-08-01,139,356,964,131,328.1666666666667,904.75
2019-09-01,142,361,953,129.91666666666666,328,910.8333333333334
2019-10-01,150,373,1104,131.08333333333334,330,921
2019-11-01,129,361,1101,131.66666666666666,335.75,940.5833333333334
2019-12-01,219,466,1115,136,338.25,936.9166666666666
2020-01-01,133,309,903,138.66666666666666,346.0833333333333,953.5
2020-02-01,136,347,928,139.08333333333334,346.9166666666667,961.0833333333334
2020-03-01,132,297,817,137.66666666666666,341.4166666666667,943.75
2020-04-01,68,168,438,135,331.6666666666667,914.8333333333334
2020-05-01,60,152,367,129.25,317.4166666666667,875.75
2020-06-01,71,158,462,123.58333333333333,303.0833333333333,833.8333333333334
2020-07-01,67,201,576,120.5,295.75,810.6666666666666
2020-08-01,89,215,588,116.33333333333333,284,779.3333333333334
2020-09-01,73,197,558,110.58333333333333,270.3333333333333,746.4166666666666
2020-10-01,116,270,803,107.75,261.75,721.3333333333334
2020-11-01,100,287,782,105.33333333333333,255.58333333333334,694.75
2020-12-01,91,208,661,94.66666666666667,234.08333333333334,656.9166666666666
2021-01-01,79,198,587,90.16666666666667,224.83333333333334,630.5833333333334
2021-02-01,112,256,632,88.16666666666667,217.25,605.9166666666666
2021-03-01,205,363,950,94.25,222.75,617
2021-04-01,66,229,742,94.08333333333333,227.83333333333334,642.3333333333334
2021-05-01,128,278,860,99.75,238.33333333333334,683.4166666666666
2021-06-01,116,276,823,103.5,248.16666666666666,713.5
2021-07-01,103,244,715,106.5,251.75,725.0833333333334
2021-08-01,69,228,744,104.83333333333333,252.83333333333334,738.0833333333334
2021-09-01,114,283,914,108.25,260,767.75
2021-10-01,111,270,911,107.83333333333333,260,776.75
2021-11-01,145,320,971,111.58333333333333,262.75,792.5
2021-12-01,119,315,980,113.91666666666667,271.6666666666667,819.0833333333334
2022-01-01,92,254,751,115,276.3333333333333,832.75
2022-02-01,110,270,803,114.83333333333333,277.5,847
2022-03-01,138,310,903,109.25,273.0833333333333,843.0833333333334
2022-04-01,120,318,971,113.75,280.5,862.1666666666666
2022-05-01,157,360,1042,116.16666666666667,287.3333333333333,877.3333333333334
2022-06-01,120,330,950,116.5,291.8333333333333,887.9166666666666
2022-07-01,113,377,1028,117.33333333333333,302.9166666666667,914
2022-08-01,149,341,979,124,312.3333333333333,933.5833333333334
2022-09-01,125,361,1041,124.91666666666667,318.8333333333333,944.1666666666666
2022-10-01,168,405,1165,129.66666666666666,330.0833333333333,965.3333333333334
2022-11-01,139,359,1046,129.16666666666666,333.3333333333333,971.5833333333334
2022-12-01,119,314,1105,129.16666666666666,333.25,982
2023-01-01,93,231,754,129.25,331.3333333333333,982.25
2023-02-01,123,310,921,130.33333333333334,334.6666666666667,992.0833333333334
2023-03-01,165,339,1038,132.58333333333334,337.0833333333333,1003.3333333333334
2023-04-01,125,287,928,133,334.5,999.75
2023-05-01,159,333,911,133.16666666666666,332.25,988.8333333333334
2023-06-01,113,274,864,132.58333333333334,327.5833333333333,981.6666666666666
