mes,tratado,n_colonias,media_incidentes,mediana_incidentes,sd_incidentes,total_incidentes,grupo
2013-12-01,0,1722,0.010452961672473868,0,0.11762675161733481,18,Sin infraestructura
2013-12-01,1,92,0.06521739130434782,0,0.2891574659831201,6,Con infraestructura
2014-01-01,0,1722,5.923344947735192,2,8.897044326803664,10200,Sin infraestructura
2014-01-01,1,92,21.5,15.5,18.19098919553546,1978,Con infraestructura
2014-02-01,0,1722,6.16376306620209,2,9.3818788457922615,10614,Sin infraestructura
2014-02-01,1,92,22.554347826086957,18,18.49345838037598,2075,Con infraestructura
2014-03-01,0,1722,7.09581881533101,3,10.70998464063313,12219,Sin infraestructura
2014-03-01,1,92,25.641304347826086,18.5,23.680836375998084,2359,Con infraestructura
2014-04-01,0,1722,6.083623693379791,2,9.50280420364445,10476,Sin infraestructura
2014-04-01,1,92,21.52173913043478,15,18.95076226300097,1980,Con infraestructura
2014-05-01,0,1722,6.859465737514518,3,10.490359446564094,11812,Sin infraestructura
2014-05-01,1,92,26.282608695652176,21.5,23.159896224290893,2418,Con infraestructura
2014-06-01,0,1722,6.609175377468061,2,10.167852606588385,11381,Sin infraestructura
2014-06-01,1,92,24.347826086956523,17.5,22.814798928923835,2240,Con infraestructura
2014-07-01,0,1722,6.2404181184668985,2,9.574153750900244,10746,Sin infraestructura
2014-07-01,1,92,24.01086956521739,18,21.93722039812671,2209,Con infraestructura
2014-08-01,0,1722,6.975609756097561,3,10.437856713219055,12012,Sin infraestructura
2014-08-01,1,92,26.57608695652174,17.5,23.512088868949235,2445,Con infraestructura
2014-09-01,0,1722,7.105110336817654,3,10.792479547153782,12235,Sin infraestructura
2014-09-01,1,92,25.66304347826087,19,23.064304361727377,2361,Con infraestructura
2014-10-01,0,1722,7.87862950058072,3,11.876363705069691,13567,Sin infraestructura
2014-10-01,1,92,29.097826086956523,21,26.817683104442505,2677,Con infraestructura
2014-11-01,0,1722,7.5615563298490125,3,11.342534732068955,13021,Sin infraestructura
2014-11-01,1,92,28.52173913043478,21,26.028504350047278,2624,Con infraestructura
2014-12-01,0,1722,7.799651567944251,3,11.276048152409965,13431,Sin infraestructura
2014-12-01,1,92,29.347826086956523,22,25.302319218987254,2700,Con infraestructura
2015-01-01,0,1722,6.349593495934959,2,9.42530945322462,10934,Sin infraestructura
2015-01-01,1,92,23.141304347826086,18,18.19405863760344,2129,Con infraestructura
2015-02-01,0,1722,6.804878048780488,2.5,10.544734374276581,11718,Sin infraestructura
2015-02-01,1,92,25.91304347826087,20,19.629901039263434,2384,Con infraestructura
2015-03-01,0,1722,7.577816492450639,3,11.678386115397988,13049,Sin infraestructura
2015-03-01,1,92,28.92391304347826,23,23.68809860012109,2661,Con infraestructura
2015-04-01,0,1722,6.835656213704994,3,10.509797059373444,11771,Sin infraestructura
2015-04-01,1,92,25.956521739130434,20.5,20.968795782303804,2388,Con infraestructura
2015-05-01,0,1722,7.540650406504065,3,11.310360814310068,12985,Sin infraestructura
2015-05-01,1,92,28.108695652173914,22,23.72343234517351,2586,Con infraestructura
