grupo,mes,accidentes
Controles emparejados,2021-01-01,31.450000000000003
Controles emparejados,2021-02-01,27.75
Controles emparejados,2021-03-01,31.425
Controles emparejados,2021-04-01,28.6
Controles emparejados,2021-05-01,37.050000000000004
Controles emparejados,2021-06-01,41.85
Controles emparejados,2021-07-01,30.475
Controles emparejados,2021-08-01,29.875
Controles emparejados,2021-09-01,35.925000000000004
Controles emparejados,2021-10-01,41.175000000000004
Controles emparejados,2021-11-01,36.4
Controles emparejados,2021-12-01,47.5
Controles emparejados,2022-01-01,28.1
Controles emparejados,2022-02-01,38.1
Controles emparejados,2022-03-01,38.175000000000004
Controles emparejados,2022-04-01,37.85
Controles emparejados,2022-05-01,40.225
Controles emparejados,2022-06-01,36.85
Controles emparejados,2022-07-01,37.975
Controles emparejados,2022-08-01,45.75
Controles emparejados,2022-09-01,43.225
Controles emparejados,2022-10-01,50.675000000000004
Controles emparejados,2022-11-01,42.650000000000006
Controles emparejados,2022-12-01,38.675000000000004
Controles emparejados,2023-01-01,33.625
Controles emparejados,2023-02-01,33.95
Controles emparejados,2023-03-01,41.825
Controles emparejados,2023-04-01,30.55
Controles emparejados,2023-05-01,44.225
Controles emparejados,2023-06-01,37.85
Controles emparejados,2023-07-01,40.050000000000004
Controles emparejados,2023-08-01,40.15
Controles emparejados,2023-09-01,43.5
Controles emparejados,2023-10-01,39.35
Controles emparejados,2023-11-01,37.900000000000006
Controles emparejados,2023-12-01,45.75
Controles emparejados,2024-01-01,36.775000000000006
Controles emparejados,2024-02-01,34.275
Tratamientos,2021-01-01,24.75
Tratamientos,2021-02-01,32
Tratamientos,2021-03-01,45.375
Tratamientos,2021-04-01,28.625
Tratamientos,2021-05-01,34.75
Tratamientos,2021-06-01,34.5
Tratamientos,2021-07-01,30.5
Tratamientos,2021-08-01,28.5
Tratamientos,2021-09-01,35.375
Tratamientos,2021-10-01,33.75
Tratamientos,2021-11-01,40
Tratamientos,2021-12-01,39.375
Tratamientos,2022-01-01,31.75
Tratamientos,2022-02-01,33.75
Tratamientos,2022-03-01,38.75
Tratamientos,2022-04-01,39.75
Tratamientos,2022-05-01,45
Tratamientos,2022-06-01,41.25
Tratamientos,2022-07-01,47.125
Tratamientos,2022-08-01,42.625
Tratamientos,2022-09-01,45.125
Tratamientos,2022-10-01,50.625
Tratamientos,2022-11-01,44.875
Tratamientos,2022-12-01,39.25
Tratamientos,2023-01-01,28.875
Tratamientos,2023-02-01,38.75
Tratamientos,2023-03-01,42.375
Tratamientos,2023-04-01,35.875
Tratamientos,2023-05-01,41.625
Tratamientos,2023-06-01,34.25
Tratamientos,2023-07-01,37.125
Tratamientos,2023-08-01,37
Tratamientos,2023-09-01,35.5
Tratamientos,2023-10-01,43.125
Tratamientos,2023-11-01,45.625
Tratamientos,2023-12-01,49.375
Tratamientos,2024-01-01,37.625
Tratamientos,2024-02-01,34
