id_tratamiento,id_control,seleccionado_504,seleccionado_302
002-SSC-AZC-EV-124.14,CTRL_061,TRUE,TRUE
002-SSC-AZC-EV-124.14,CTRL_097,TRUE,TRUE
002-SSC-AZC-EV-124.14,CTRL_059,TRUE,TRUE
002-SSC-AZC-EV-124.14,CTRL_066,TRUE,TRUE
002-SSC-AZC-EV-124.14,CTRL_105,TRUE,TRUE
004-SSC-XOC-FC-124.30,CTRL_071,TRUE,TRUE
004-SSC-XOC-FC-124.30,CTRL_113,TRUE,TRUE
004-SSC-XOC-FC-124.30,CTRL_031,TRUE,TRUE
004-SSC-XOC-FC-124.30,CTRL_091,TRUE,TRUE
004-SSC-XOC-FC-124.30,CTRL_014,TRUE,TRUE
005-SSC-IZT-FC-124.38,CTRL_009,TRUE,TRUE
005-SSC-IZT-FC-124.38,CTRL_066,TRUE,TRUE
005-SSC-IZT-FC-124.38,CTRL_036,TRUE,TRUE
005-SSC-IZT-FC-124.38,CTRL_017,TRUE,TRUE
005-SSC-IZT-FC-124.38,CTRL_110,TRUE,TRUE
007-SSC-COY-EV-124.54,CTRL_090,TRUE,TRUE
007-SSC-COY-EV-124.54,CTRL_005,TRUE,TRUE
007-SSC-COY-EV-124.54,CTRL_110,TRUE,TRUE
007-SSC-COY-EV-124.54,CTRL_066,TRUE,TRUE
007-SSC-COY-EV-124.54,CTRL_047,TRUE,TRUE
012-SSC-VCA-FC-124.94,CTRL_044,TRUE,TRUE
012-SSC-VCA-FC-124.94,CTRL_090,TRUE,TRUE
012-SSC-VCA-FC-124.94,CTRL_110,TRUE,TRUE
012-SSC-VCA-FC-124.94,CTRL_059,TRUE,TRUE
012-SSC-VCA-FC-124.94,CTRL_066,TRUE,TRUE
013-SSC-VCA-EV-124.102,CTRL_082,TRUE,TRUE
013-SSC-VCA-EV-124.102,CTRL_102,TRUE,TRUE
013-SSC-VCA-EV-124.102,CTRL_056,TRUE,TRUE
013-SSC-VCA-EV-124.102,CTRL_064,TRUE,TRUE
013-SSC-VCA-EV-124.102,CTRL_099,TRUE,TRUE
019-SSC-IZP-EV-124.150,CTRL_063,TRUE,TRUE
019-SSC-IZP-EV-124.150,CTRL_033,TRUE,TRUE
019-SSC-IZP-EV-124.150,CTRL_034,TRUE,TRUE
019-SSC-IZP-EV-124.150,CTRL_054,TRUE,TRUE
019-SSC-IZP-EV-124.150,CTRL_027,TRUE,TRUE
026-SSC-IZP-FC-124.206,CTRL_082,TRUE,TRUE
026-SSC-IZP-FC-124.206,CTRL_102,TRUE,TRUE
026-SSC-IZP-FC-124.206,CTRL_072,TRUE,TRUE
026-SSC-IZP-FC-124.206,CTRL_064,TRUE,TRUE
026-SSC-IZP-FC-124.206,CTRL_056,TRUE,TRUE
