definicion,id_control,veces_seleccionado
250m,CTRL_066,4
250m,CTRL_090,3
250m,CTRL_110,3
250m,CTRL_005,2
250m,CTRL_047,2
250m,CTRL_056,2
250m,CTRL_059,2
250m,CTRL_064,2
250m,CTRL_082,2
250m,CTRL_102,2
250m,CTRL_009,1
250m,CTRL_014,1
250m,CTRL_017,1
250m,CTRL_022,1
250m,CTRL_027,1
250m,CTRL_029,1
250m,CTRL_031,1
250m,CTRL_033,1
250m,CTRL_034,1
250m,CTRL_036,1
250m,CTRL_038,1
250m,CTRL_044,1
250m,CTRL_052,1
250m,CTRL_054,1
250m,CTRL_057,1
250m,CTRL_061,1
250m,CTRL_063,1
250m,CTRL_070,1
250m,CTRL_071,1
250m,CTRL_072,1
250m,CTRL_091,1
250m,CTRL_097,1
250m,CTRL_099,1
250m,CTRL_100,1
250m,CTRL_105,1
250m,CTRL_113,1
500m,CTRL_066,4
500m,CTRL_110,3
500m,CTRL_056,2
500m,CTRL_059,2
500m,CTRL_064,2
500m,CTRL_082,2
500m,CTRL_090,2
500m,CTRL_102,2
500m,CTRL_005,1
500m,CTRL_009,1
500m,CTRL_014,1
500m,CTRL_017,1
500m,CTRL_027,1
500m,CTRL_031,1
500m,CTRL_033,1
500m,CTRL_034,1
500m,CTRL_036,1
500m,CTRL_044,1
500m,CTRL_047,1
500m,CTRL_054,1
500m,CTRL_061,1
500m,CTRL_063,1
500m,CTRL_071,1
500m,CTRL_072,1
500m,CTRL_091,1
500m,CTRL_097,1
500m,CTRL_099,1
500m,CTRL_105,1
500m,CTRL_113,1
1000m,CTRL_066,3
1000m,CTRL_110,2
1000m,CTRL_005,1
1000m,CTRL_009,1
1000m,CTRL_017,1
1000m,CTRL_027,1
1000m,CTRL_033,1
1000m,CTRL_034,1
1000m,CTRL_036,1
1000m,CTRL_047,1
1000m,CTRL_054,1
1000m,CTRL_056,1
1000m,CTRL_059,1
1000m,CTRL_061,1
1000m,CTRL_063,1
1000m,CTRL_064,1
1000m,CTRL_072,1
1000m,CTRL_082,1
1000m,CTRL_090,1
1000m,CTRL_097,1
1000m,CTRL_102,1
1000m,CTRL_105,1
