term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,escenario,evento,buffer_m,outcome
fixest::tiempo_evento::-12:tratada,6.930706691630663,1.1201198334007731,6.187468951949976,7.539781369632292e-10,4.733845544935921,9.127567838325405,-12,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-11:tratada,3.6875605392406623,0.8684259401872433,4.246257934724496,2.2837544399464183e-5,1.984339910616545,5.3907811678647795,-11,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-10:tratada,-3.979205026442975,0.6775782038182456,-5.872687468427425,5.0889194971053585e-9,-5.3081210811620245,-2.650288971723925,-10,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-9:tratada,-3.981334264193256,0.7055824677126401,-5.642620737303693,1.9395688101389497e-8,-5.365174334590697,-2.597494193795815,-9,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-8:tratada,-2.6286138139125903,0.6303674784466361,-4.169970539073608,3.1901433601313144e-5,-3.864936732447919,-1.3922908953772617,-8,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-7:tratada,-0.05076719466073798,0.6554353011785257,-0.07745569176615062,0.9382695849214169,-1.3362549651608076,1.2347205758393316,-7,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-6:tratada,-0.9248629230951639,0.665387992671722,-1.3899603438612955,0.1647115525146157,-2.22987064190296,0.38014479571263204,-6,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-5:tratada,0.05302732807873223,0.7273039601751402,0.07290944499458363,0.9418862203030308,-1.3734145259994874,1.4794691821569517,-5,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-4:tratada,1.9014703956926438,0.7181485493847134,2.6477396596035216,0.008173418470119698,0.4929848045496614,3.309955986835626,-4,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-3:tratada,1.6746134938500559,0.7135173775423462,2.346983474485413,0.019033181644210712,0.2752108964911171,3.0740160912089944,-3,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-2:tratada,1.4317465857535552,0.6833598750324548,2.0951575268968745,0.03629542077275634,0.09149109352548779,2.7720020779816226,-2,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
NA,0,NA,NA,NA,0,0,-1,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::0:tratada,0.9958927817774715,0.6763937744593128,1.4723565168433963,0.14109819600294005,-0.33070028323810663,2.32248584679305,0,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::1:tratada,2.7272859490176673,0.7975166430213347,3.419722927267749,6.407369911628114e-4,1.1631378332069888,4.291434064828346,1,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::2:tratada,1.4499876375737104,0.813305835509502,1.782831960950279,0.07478093507202957,-0.14512740023997162,3.045102675387392,2,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::3:tratada,2.826219875745065,0.8548676171920112,3.306032207686573,9.647461369777715e-4,1.1495908243025883,4.502848927187541,3,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::4:tratada,4.393836263893766,0.9566461366131417,4.592958770992863,4.670901823475849e-6,2.51759171755772,6.270080810229812,4,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::5:tratada,2.7975420683945647,0.8855045189084993,3.159263457901833,0.0016077698153043722,1.0608256789467294,4.5342584578424,5,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::6:tratada,2.8704830053173094,0.8852664873740794,3.2425072520613267,0.0012063486414302651,1.1342334607677274,4.606732549866892,6,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::7:tratada,4.5119362391689295,0.9843042319184458,4.583883816464953,4.8759493528311075e-6,2.5814466083731897,6.442425869964669,7,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::8:tratada,5.932850473355255,1.0928558250609788,5.428758613263754,6.43959199691535e-8,3.7894614988682034,8.076239447842307,8,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::9:tratada,5.211070872733155,0.993988256651718,5.242587966065936,1.768470334663701e-7,3.2615882225784376,7.160553522887874,9,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::10:tratada,8.707907558450538,1.154903587893473,7.539943290273807,7.387739923756968e-14,6.442825962030182,10.972989154870895,10,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::11:tratada,1.2602673181881492,0.8485915061358532,1.4851283675073572,0.1376836691937474,-0.4040525640739603,2.924587200450259,11,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::12:tratada,3.0409761914655338,0.9042684656597423,3.3629130141643033,7.872941242355759e-4,1.2674585738390116,4.814493809092056,12,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-12:tratada,0.14172229736438388,0.0664284482314185,2.1334578954887258,0.03302109189062706,0.011437954026083358,0.27200664070268443,-12,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-11:tratada,0.18151170062511673,0.06929677551352402,2.619338335442358,0.00888351663854477,0.04560178350965091,0.31742161774058253,-11,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-10:tratada,0.0021117849802690727,0.0645050326916887,0.03273829796138016,0.9738868865280259,-0.1244002147728345,0.12862378473337263,-10,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-9:tratada,-0.016687755430155982,0.057812170080655874,-0.2886547141695993,0.7728786193742752,-0.13007322229641335,0.0966977114361014,-9,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-8:tratada,0.026696918130335076,0.06323598193162665,0.4221792295279116,0.6729442588406849,-0.0973261262227919,0.15071996248346203,-8,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-7:tratada,0.12421426181892142,0.076246800046208,1.629107867394351,0.10346391276418766,-0.025326552999759888,0.27375507663760273,-7,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-6:tratada,0.04615966374167953,0.07032770377516488,0.656351071680803,0.5116815567514709,-0.09177218547024087,0.18409151295359993,-6,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-5:tratada,0.0034003810504829035,0.06477700322349815,0.05249364560368239,0.9581411414629462,-0.12364502725102935,0.13044578935199516,-5,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-4:tratada,0.09419550009285764,0.06756595326464741,1.3941267094080003,0.16345017269107368,-0.03831980152075824,0.2267108017064735,-4,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-3:tratada,0.1482118184313284,0.07624960124451748,1.9437717183076442,0.05207752655552907,-0.0013344903028669197,0.29775812716552374,-3,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::-2:tratada,0.039905755048748714,0.0685680231203461,0.5819878309559654,0.5606472366946664,-0.09457487943963183,0.17438638953712926,-2,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
NA,0,NA,NA,NA,0,0,-1,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::0:tratada,0.0467065171529684,0.0667864358796351,0.699341363823405,0.4844284328839592,-0.08427993780938578,0.17769297211532256,0,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::1:tratada,0.0011722442789567841,0.06520515170535139,0.017977786237718053,0.985658552709574,-0.12671288021787008,0.12905736877578367,1,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::2:tratada,0.1250723562674861,0.07410029443735981,1.6878793426821697,0.09160638685758736,-0.020258574365032672,0.2704032869000049,2,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::3:tratada,0.19312070043603816,0.07781933999162932,2.4816543092862426,0.013167416495360146,0.04049570497461885,0.34574569589745746,3,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::4:tratada,0.10420175400154932,0.06974517790133256,1.4940352456905617,0.1353404202718232,-0.03258760275464759,0.24099111075774624,4,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
fixest::tiempo_evento::5:tratada,-0.04604331195529101,0.0725777871115333,-0.6343995013864826,0.5259001736813498,-0.188388189587113,0.09630156567653098,5,2021-02-01 | n_victimas | 250m,2021-02,250,n_victimas
