escenario,evento,anio_inventario,buffer_m,outcome,ventana,n_obs,n_colonias,n_tratadas,media_control_pre,wald_pre_stat,wald_pre_p
2021-02-01 | n_incidentes | 250m,2021-02,2020,250,n_incidentes,-12 a +12,45350,1814,215,5.989,8.861722434009716,1.5973450698363144e-15
2021-02-01 | n_victimas | 250m,2021-02,2020,250,n_victimas,-12 a +12,45350,1814,215,0.136,1.6536269231492353,0.07829639232940648
2021-02-01 | n_incidentes | 500m,2021-02,2020,500,n_incidentes,-12 a +12,45350,1814,328,5.588,11.526625472635539,4.819630157557796e-21
2021-02-01 | n_victimas | 500m,2021-02,2020,500,n_victimas,-12 a +12,45350,1814,328,0.127,1.8960045503565484,0.03563082043175466
2021-02-01 | n_incidentes | 1000m,2021-02,2020,1000,n_incidentes,-12 a +12,45350,1814,590,5.001,13.852633350360055,7.11942694499713e-26
2021-02-01 | n_victimas | 1000m,2021-02,2020,1000,n_victimas,-12 a +12,45350,1814,590,0.11,1.8078679807374343,0.04776625845817659
2022-04-01 | n_incidentes | 250m,2022-04,2021,250,n_incidentes,-12 a +12,45350,1814,215,7.859,6.777791292923459,2.940315113551187e-11
2022-04-01 | n_victimas | 250m,2022-04,2021,250,n_victimas,-12 a +12,45350,1814,215,0.152,1.3264763850380048,0.20309729632993564
2022-04-01 | n_incidentes | 500m,2022-04,2021,500,n_incidentes,-12 a +12,45350,1814,328,7.341,9.448089610201462,9.829121670872748e-17
2022-04-01 | n_victimas | 500m,2022-04,2021,500,n_victimas,-12 a +12,45350,1814,328,0.141,1.5449386323624557,0.10915106056353281
2022-04-01 | n_incidentes | 1000m,2022-04,2021,1000,n_incidentes,-12 a +12,45350,1814,590,6.514,10.801346182163895,1.5442837245484702e-19
2022-04-01 | n_victimas | 1000m,2022-04,2021,1000,n_victimas,-12 a +12,45350,1814,590,0.125,1.432190639776978,0.15165401921442742
2023-09-01 | n_incidentes | 250m,2023-09,2022,250,n_incidentes,-12 a +5,32652,1814,200,9.024,6.000703677662856,1.0800234353302521e-9
2023-09-01 | n_victimas | 250m,2023-09,2022,250,n_victimas,-12 a +10,41722,1814,200,0.165,0.9777407808340232,0.46444243545049
2023-09-01 | n_incidentes | 500m,2023-09,2022,500,n_incidentes,-12 a +5,32652,1814,307,8.426,7.647147217083925,4.995064417146028e-13
2023-09-01 | n_victimas | 500m,2023-09,2022,500,n_victimas,-12 a +10,41722,1814,307,0.155,1.184230625252072,0.29253266339394174
2023-09-01 | n_incidentes | 1000m,2023-09,2022,1000,n_incidentes,-12 a +5,32652,1814,550,7.459,8.215456222077949,3.417150745790263e-14
2023-09-01 | n_victimas | 1000m,2023-09,2022,1000,n_victimas,-12 a +10,41722,1814,550,0.14,0.819868246498163,0.6201845590593194
