term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,escenario,evento,buffer_m,outcome
fixest::tiempo_evento::-11:tratada,-224.6958622415277,162.26716596289452,-1.3847278400912522,0.16630608380725156,-542.9461258814933,93.55440139843793,-11,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::-10:tratada,-653.5504079604815,211.82946443715994,-3.085266772009235,0.002064425586740782,-1069.0058853751457,-238.09493054581742,-10,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::-9:tratada,-876.8357083662324,265.3704135316698,-3.3041954327044425,9.710510884728982e-4,-1397.2996208746488,-356.3717958578161,-9,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::-8:tratada,-885.3541690320565,270.12679376269267,-3.2775503558889576,0.0010669147462609972,-1415.1466431968777,-355.56169486723525,-8,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::-7:tratada,-700.0187093697865,228.97793665380968,-3.057144804427775,0.0022672075247224745,-1149.1070278560655,-250.93039088350747,-7,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::-6:tratada,333.3535058228082,254.89257238042163,1.307819614787697,0.1911003027120402,-166.56049636348592,833.2675080091024,-6,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::-5:tratada,501.7079657323328,275.377293714312,1.8218930071003814,0.0686359134841701,-38.3821739147744,1041.7981053794401,-5,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::-4:tratada,313.8489666486115,245.3119963715296,1.2793869492353784,0.20092453520396264,-167.27490740202614,794.9728406992492,-4,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::-3:tratada,441.80247247346847,252.16644039911694,1.7520272395256273,0.07993817824843549,-52.764839785635104,936.369784732572,-3,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::-2:tratada,365.1851622359644,213.76130443750796,1.7083782455244347,0.08773735175111406,-54.05918143375936,784.4295059056882,-2,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
NA,0,NA,NA,NA,0,0,-1,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
fixest::tiempo_evento::0:tratada,285.57387029479,256.98076223098093,1.1112655586183875,0.26660140598946364,-218.43564293668226,789.5833835262623,0,2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones
