escenario,evento,buffer_m,outcome,media_control_pre,media_tratada_pre,efecto_post,ee_post,efecto_post_pct,wald_pre_p
2021-02-01 | n_infracciones | 250m,2021-02,250,n_infracciones,51.77,829.68,-316.751,219.3,-38.2,0.019017537305260974
2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad,48.76,710.47,-288.407,215.184,-40.6,0.014990841604334434
2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones,45.93,588.12,-235.574,146.192,-40.1,0.00693360364773924
2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad,43.8,504.99,-220.247,143.431,-43.6,0.007621802537789478
2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones,34.26,371.58,-83.792,89.218,-22.6,0.0014162643881319372
2021-02-01 | n_infracciones_velocidad | 1000m,2021-02,1000,n_infracciones_velocidad,32.83,322.95,-77.509,87.786,-24,0.005870993633792137
2022-04-01 | n_infracciones | 250m,2022-04,250,n_infracciones,30.44,388.8,132.423,113.477,34.1,0.4135923892206218
2022-04-01 | n_infracciones_velocidad | 250m,2022-04,250,n_infracciones_velocidad,24.69,302.82,118.785,112.693,39.2,0.22130529145266117
2022-04-01 | n_infracciones | 500m,2022-04,500,n_infracciones,30.38,265.63,98.853,75.075,37.2,0.36642997664199745
2022-04-01 | n_infracciones_velocidad | 500m,2022-04,500,n_infracciones_velocidad,26.56,198.5,79.077,73.962,39.8,0.21504959873761392
2022-04-01 | n_infracciones | 1000m,2022-04,1000,n_infracciones,5.22,213.36,48.092,42.315,22.5,0.24406347192490557
2022-04-01 | n_infracciones_velocidad | 1000m,2022-04,1000,n_infracciones_velocidad,3.1,170.83,35.747,41.67,20.9,0.3756564675860625
