term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,outcome,etiqueta,rol,buffer_m
fixest::tiempo_evento::-10:tratada,-0.004063586253015783,0.0718313254715108,-0.05657122747411158,0.954892988599882,-0.14494444858436348,0.1368172760783319,-10,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-9:tratada,-0.154308652209942,0.07175808416672116,-2.1504009478768227,0.03165538187237715,-0.29504586832413715,-0.013571436095746875,-9,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-8:tratada,-0.04729118489752218,0.06887138346333668,-0.6866594297862101,0.4923851805622309,-0.18236679193356367,0.08778442213851931,-8,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-7:tratada,-0.09063804412640558,0.07433272881850912,-1.2193558015030974,0.22286778874641686,-0.23642484210978865,0.055148753856977484,-7,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-6:tratada,0.008991084544141326,0.07202577654669498,0.12483148360521072,0.9006708011196279,-0.13227114949339977,0.15025331858168242,-6,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-5:tratada,-0.06441235074245578,0.08020852317098347,-0.8030611735007962,0.42204464215560467,-0.2217231874349193,0.09289848595000776,-5,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-4:tratada,0.023686315575164485,0.07028909915126808,0.3369841961438364,0.7361678180626128,-0.11416981941780116,0.16154245056813013,-4,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-3:tratada,-0.052686999141891094,0.07533607899303571,-0.6993594549400645,0.4844171324130807,-0.20044164105519965,0.09506764277141747,-3,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-2:tratada,-0.07711505737595875,0.07332629881320497,-1.0516698459362506,0.2930912003188727,-0.22092797103947603,0.06669785628755853,-2,n_victimas,Víctimas de tránsito (FGJ),principal,250
NA,0,NA,NA,NA,0,0,-1,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::0:tratada,0.06038657882109842,0.079581980599152,0.7587971343068317,0.4480725539793652,-0.09569543664013329,0.21646859428233012,0,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::1:tratada,0.03544948150735923,0.08502018145565851,0.4169537267554243,0.6767616167882166,-0.13129833221342946,0.2021972952281479,1,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::2:tratada,0.13867388047766016,0.10435481131726893,1.3288690643697423,0.18405838814788408,-0.06599442698149655,0.34334218793681687,2,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::3:tratada,0.10349782567596566,0.0972190483593168,1.0645838179102804,0.2872060674023048,-0.0871753002616264,0.2941709516135577,3,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::4:tratada,0.09564117108079422,0.08763147218962289,1.0914020806798659,0.27524101501109055,-0.07622809749251093,0.2675104396540994,4,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::5:tratada,0.050185435664764855,0.08722330820800453,0.5753672578559604,0.565114342574196,-0.12088331178038991,0.22125418310991962,5,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::6:tratada,-0.0200125078173682,0.06657452808141388,-0.3006030743904776,0.7637516529361305,-0.1505833536683468,0.11055833803361041,6,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::7:tratada,-0.030681966926981996,0.07875946927291108,-0.3895654352451928,0.6969036701954632,-0.18515081286701254,0.12378687901304855,7,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::8:tratada,0.008324970548472435,0.08381975149705938,0.09931991445673156,0.9208952473228009,-0.15606847191958328,0.17271841301652813,8,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::9:tratada,-0.09384353593087262,0.07116814752132858,-1.3186170948562121,0.18746369864933446,-0.23342372504078768,0.04573665317904242,9,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::10:tratada,0.10498421978856909,0.08291455982822712,1.2661735165218673,0.20561362994633317,-0.05763389440810707,0.26760233398524524,10,n_victimas,Víctimas de tránsito (FGJ),principal,250
fixest::tiempo_evento::-10:tratada,0.01127597413255705,0.05926288127104549,0.19027043388229992,0.8491185220647326,-0.10495473388934187,0.12750668215445596,-10,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-9:tratada,-0.13656320782591908,0.059071105559844864,-2.3118444547743744,0.02089784907139642,-0.25241779126163216,-0.020708624390205987,-9,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-8:tratada,-0.015297245839219868,0.05666154043080004,-0.26997581998149495,0.7872095816974114,-0.12642601346971,0.09583152179127027,-8,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-7:tratada,-0.07095903226867807,0.05763279802815663,-1.2312265705720358,0.21839782534262214,-0.18399270151365588,0.04207463697629972,-7,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-6:tratada,-0.015806059810267052,0.05814232203474233,-0.2718511964627472,0.7857673906968103,-0.12983904489628117,0.09822692527574706,-6,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-5:tratada,-0.02684814364968207,0.06389251748860779,-0.42020794773768566,0.6743833445733369,-0.15215883367566216,0.098462546376298,-5,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-4:tratada,0.036462265699375856,0.07253949202117821,0.5026539983038556,0.6152686071061719,-0.10580750479336903,0.17873203619212075,-4,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-3:tratada,-0.04810754029479814,0.05798789800161629,-0.8296134530252717,0.4068665854601048,-0.16183765764436614,0.06562257705476987,-3,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::-2:tratada,-0.016039950103411797,0.06400898825132623,-0.2505890272852338,0.8021602600592936,-0.14157907112910484,0.10949917092228123,-2,n_victimas,Víctimas de tránsito (FGJ),principal,500
NA,0,NA,NA,NA,0,0,-1,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::0:tratada,0.031915766667777595,0.06328855124474521,0.5042897339260477,0.6141190689100929,-0.09221038047672481,0.15604191381228,0,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::1:tratada,0.016437973935600383,0.06649757477492901,0.2471965931274511,0.804784070527586,-0.11398194544832956,0.1468578933195303,1,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::2:tratada,0.08996569609036595,0.07819367009537542,1.150549603064184,0.25006930372372893,-0.06339346301715298,0.24332485519788488,2,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::3:tratada,0.030926862095008813,0.07434726195298733,0.41597849446782686,0.6774749728734881,-0.11488843933731144,0.17674216352732905,3,n_victimas,Víctimas de tránsito (FGJ),principal,500
fixest::tiempo_evento::4:tratada,0.06145570035782832,0.06892064050672436,0.8916878877791666,0.37267857209284916,-0.07371651320333014,0.1966279139189868,4,n_victimas,Víctimas de tránsito (FGJ),principal,500
